Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-28.619995	15.657651	23.807611	-69.89288	-22.986526	27.020485	35.98359	-71.63497	15.197719	20.2	3999	-6.356312	9.148524	20.655588	-38.121166	-6.3579354	9.147472	21.924217	-36.70216	4.9927897	5.288913	40.248077154159546
2	-26.566168	17.0823	60.41744	-61.509045	-26.773693	13.223526	-6.8151627	-50.25375	15.59375	16.5	7999	-14.2021885	12.199351	62.510025	-40.356182	-14.202549	12.203567	62.51567	-40.40914	12.16044	3.5477533	82.55308961868286
3	-27.1172	19.295692	73.049416	-114.69789	-25.95602	54.17214	45.592655	-109.53797	17.68584	33.9	11999	-16.217857	14.59153	78.89031	-57.42465	-16.217255	14.595264	78.463715	-53.29395	13.366654	4.729509	122.10707998275757
4	113.58161	509.83292	2902.779	-76.378	584.0465	683.7584	1983.1932	-32.520725	79.39535	209.3	15999	-13.065257	24.676405	91.21351	-52.8506	-13.064809	24.678444	89.15373	-52.249676	10.91751	5.0162306	164.5252890586853
5	1416.2318	1224.689	3090.1982	-40.78297	397.1645	506.48474	1812.7449	-32.89212	489.8889	154.3	19999	6.5363193	44.999958	117.10921	-59.847233	6.5364914	45.003605	118.85264	-62.393925	-9.638791	8.790309	207.04966950416565
6	443.8474	651.99243	3225.4155	-45.6147	601.3118	400.75247	1184.0107	-33.268543	162.29167	195.2	23999	29.559065	60.03198	151.08716	-69.027336	29.558912	60.03404	149.8264	-69.86616	-33.371838	15.414894	254.00548815727234
7	932.48895	1706.1304	6778.8438	-51.30856	1164.2128	991.76825	3116.8894	169.85344	243.52942	340.4	27999	49.73001	70.797935	183.47762	-79.73798	49.73003	70.798805	182.85777	-79.54995	-54.301476	26.765759	311.3183491230011
8	744.26013	887.1218	3432.8135	-34.97746	438.3939	498.561	1896.2478	-13.055711	223.5	192.4	31999	71.00887	81.72063	234.93956	-78.36337	71.00845	81.72312	233.37036	-80.38108	-76.53714	36.32301	370.3175747394562
9	1261.3107	820.09204	2341.6125	-31.822779	990.80334	462.75336	1601.4111	82.0773	342.5	257.5	35999	93.77862	93.03704	273.58444	-75.82358	93.77852	93.04157	274.40372	-76.33973	-99.98026	48.776833	415.7497282028198
10	2598.2297	2064.6614	5032.9194	3.8333898	4697.228	1605.6301	5724.6484	-34.795048	589.6667	901.1	39999	118.17669	104.377106	318.63837	-68.91545	118.17687	104.38142	320.78876	-69.53023	-125.24699	65.603096	476.16804337501526
11	6747.0815	2799.2397	9816.857	2258.0383	3974.614	1796.5881	7498.464	-45.092663	871.5	901.2	43999	148.02608	117.11406	384.3073	-72.2486	148.02693	117.1208	385.64825	-76.72596	-155.69753	89.41551	539.4884293079376
12	7912.1904	3011.2708	12731.837	4511.6323	11302.315	3372.3164	15019.672	4757.1787	1000.0	1000.0	47999	181.57433	133.21492	473.26083	-61.591614	181.5747	133.22261	476.5865	-66.09965	-189.98813	117.383736	624.2426519393921
13	17584.512	1105.902	18808.785	15871.134	19366.137	272.69232	19724.85	18634.398	1000.0	1000.0	51999	233.64832	168.41728	613.87585	-69.60864	233.64728	168.42215	614.90326	-71.05524	-243.94263	197.73122	698.7887902259827
14	19027.3	365.98	19322.223	18425.883	19355.82	117.580635	19646.342	19228.076	1000.0	1000.0	55999	317.05182	226.02574	742.5809	-66.80529	317.05115	226.03467	741.27826	-65.44224	-333.00027	370.13818	771.1201691627502
15	19184.184	147.69008	19410.611	19022.232	19245.52	196.47925	19503.791	18882.555	1000.0	1000.0	59999	416.77405	281.73346	854.7596	-69.71632	416.77173	281.7483	857.89935	-66.67517	-433.27295	644.66	842.1082761287689
16	18971.684	117.14778	19066.744	18777.475	17209.02	5755.421	19359.037	-51.804653	1000.0	902.8	63999	514.7091	324.342	950.1757	-74.4392	514.7083	324.35724	956.4289	-73.745735	-532.7834	766.2353	911.6498773097992
17	18564.754	387.53607	19138.404	18125.55	19147.393	202.13503	19430.613	18699.61	1000.0	1000.0	67999	606.15546	355.70447	1053.7334	-87.5735	606.1551	355.7158	1052.5032	-83.58378	-624.9024	1024.9287	986.8486244678497
18	14979.326	7521.0947	19254.611	-36.055477	19257.37	242.75255	19699.434	18677.895	802.2	1000.0	71999	696.6678	381.43436	1134.3945	-98.96128	696.66815	381.43192	1136.9376	-95.00147	-715.86163	1235.8528	1065.6643271446228
19	18497.426	260.11856	18916.105	18221.39	16672.121	5732.473	19215.094	-151.38463	997.25	906.7	75999	778.1659	402.29633	1209.3878	-98.49183	778.1663	402.29382	1209.7982	-97.1333	-796.87524	1585.2292	1140.3667392730713
20	19089.977	102.51661	19226.105	18969.021	17195.371	5757.41	19444.49	-69.65086	1000.0	902.1	79999	856.62067	419.90005	1271.6692	-89.61499	856.62585	419.89566	1274.4974	-96.85605	-876.82764	1819.6804	1216.690354347229
21	18878.98	62.655933	18958.092	18791.496	19247.8	213.8805	19573.807	18817.994	1000.0	1000.0	83999	927.7397	435.81076	1347.4698	-97.938324	927.74133	435.8145	1341.2452	-111.00291	-946.9755	2023.5469	1294.6906304359436
22	19254.24	123.50661	19423.402	19076.777	18980.256	307.65103	19458.482	18384.617	1000.0	1000.0	87999	992.4725	449.89523	1401.8823	-98.14155	992.4743	449.8997	1401.1885	-102.79371	-1012.2203	2433.488	1372.604521036148
