Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	133.38367	25.916468	226.43411	89.66686	163.34712	1.5258789e-05	163.3471	163.3471	20.40306	38.0	3999	33.03906	62.98903	272.60754	-32.08595	33.04334	62.992287	272.95636	-31.619015	2.087097	3.2450619	16.132559	-12.893499	-37.897087	16.5375	43.67677712440491
2	134.21161	25.905952	227.84645	90.305	78.011154	7.6293945e-06	78.01115	78.01115	20.309645	35.0	7999	118.94271	185.4503	679.9111	-35.529423	118.94051	185.45132	677.9012	-34.11052	4.7328134	4.952623	27.94691	-12.293251	-142.1915	22.551378	98.88822889328003
3	178.22192	241.62181	2066.018	56.042564	1585.4714	0.0	1585.4714	1585.4714	38.7767	296.0	11999	320.6789	335.91168	1018.67017	-139.91371	320.67297	335.9204	1014.1937	-166.83917	9.503188	5.3792133	115.777336	-11.005106	-369.8127	154.809	158.73893642425537
4	1231.7737	656.84125	3548.3774	635.1138	2416.4067	0.00024414062	2416.407	2416.407	241.5	240.0	15999	544.7101	372.61197	1152.4512	-355.1484	544.7197	372.5975	1158.9569	-325.8796	9.056471	5.7139077	79.993286	-9.336023	-582.63837	407.425	217.82410883903503
5	1908.2338	1356.4567	5542.267	459.95197	1443.6865	0.0	1443.6865	1443.6865	411.4	187.0	19999	584.3458	445.01596	1219.9883	-126.20199	584.32874	445.03754	1215.5773	-124.42518	6.8618245	4.644475	46.823204	-15.01922	-617.3768	301.67407	276.12738013267517
6	3811.7014	2344.3428	6803.1064	862.52924	19290.152	0.001953125	19290.15	19290.15	628.6667	1000.0	23999	657.06714	483.53088	1311.2124	-80.62775	657.06635	483.52832	1308.9971	-88.11116	6.4752827	4.987609	32.15679	-11.090902	-689.9191	301.2398	350.51303148269653
7	3381.3645	1696.1366	5486.921	1273.4984	19689.314	0.0	19689.314	19689.314	561.1667	1000.0	27999	739.0025	488.52966	1365.9694	-104.73811	739.00665	488.52432	1366.5332	-96.17254	6.192489	4.8508563	36.87807	-9.941603	-768.2452	528.27966	424.9085030555725
8	7107.5996	1048.033	7817.4243	5295.94	5207.579	0.0	5207.579	5207.579	1000.0	1000.0	31999	767.36707	477.01605	1398.7987	-100.553925	767.3713	476.99826	1397.6586	-98.53542	5.879322	4.5234222	30.670725	-10.9737625	-792.27686	697.31024	499.4592795372009
9	6184.5977	1308.101	8026.1455	4023.0002	19802.926	0.001953125	19802.928	19802.928	962.6	1000.0	35999	796.6336	468.3132	1444.8344	-85.30619	796.636	468.29636	1444.5624	-88.48592	6.349253	4.5578456	34.496113	-10.249517	-820.4001	807.2227	573.8830564022064
10	16487.26	2199.3037	19707.639	13975.563	19841.855	0.001953125	19841.854	19841.854	1000.0	1000.0	39999	828.1991	467.37952	1474.9597	-110.07215	828.19904	467.37146	1475.8013	-125.28216	6.561697	4.447277	30.85903	-10.5256605	-850.73724	1023.5712	653.8821499347687
11	18890.086	1167.2312	19823.488	16892.338	19804.72	0.0	19804.72	19804.72	1000.0	1000.0	43999	883.58813	481.88895	1531.2163	-140.45038	883.58606	481.8887	1536.9725	-206.23302	7.022068	4.364168	37.22251	-9.519611	-905.5233	1176.3906	727.8587005138397
