Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-118.924904	45.659653	-27.286339	-403.53238	-100.186165	52.776913	-21.232088	-187.30533	15.193916	16.9	3999	-25.247757	19.113857	9.190888	-94.86609	-25.247765	19.121723	11.2478	-94.84584	21.378572	41.987206	23.605286121368408
2	-119.974525	47.666645	-27.70068	-286.85834	-119.1628	27.003582	-59.538074	-147.0254	15.48062	14.6	7999	-52.74347	21.617085	8.850367	-146.98215	-52.745457	21.64964	10.926162	-147.91576	46.381615	42.580624	59.57380223274231
3	-115.45608	47.198883	-9.690876	-302.9484	-111.75167	31.013561	-47.93011	-147.4358	15.996	15.0	11999	-67.81406	23.617428	12.964028	-195.70139	-67.81405	23.69867	14.049313	-187.39638	60.557766	53.62258	93.48518013954163
4	-130.67717	112.602905	-9.162568	-1245.2197	-104.570786	38.172924	-44.69602	-181.21837	19.694582	16.6	15999	-79.30656	25.814783	8.374327	-204.49767	-79.3075	25.879694	11.2646265	-198.73973	74.68045	65.48509	128.5109624862671
5	-102.17673	102.74053	708.94434	-538.65826	39.603504	325.98047	1005.2413	-174.52185	28.992754	67.8	19999	-81.511345	29.996632	22.360353	-204.65529	-81.51261	30.026346	24.793558	-198.37303	77.009346	63.203842	164.62399673461914
6	25.971575	522.4661	2680.3494	-326.62225	38.907593	294.01697	868.7889	-136.99095	54.728573	92.4	23999	-75.22197	38.328884	81.27353	-203.1465	-75.221756	38.358646	80.22363	-199.37856	70.73251	57.28132	200.04685831069946
7	-39.56233	407.89893	2445.8523	-377.34033	58.496845	374.3076	1132.3751	-140.03203	96.690475	44.1	27999	-60.92443	52.088818	131.56207	-197.96802	-60.92542	52.107143	131.63159	-196.90207	55.99579	54.745594	236.03901648521423
8	120.79673	529.06366	2409.7288	-226.05278	-150.02463	245.2416	108.92463	-846.63104	103.0	75.1	31999	-43.53913	66.54847	180.2729	-196.223	-43.53978	66.563545	179.4315	-194.54239	38.338196	56.91829	270.35468792915344
9	145.45007	509.5822	1797.4866	-338.43713	250.86606	778.01855	2557.5425	-164.58984	179.57895	224.1	35999	-25.563118	80.42325	216.67294	-194.61179	-25.563858	80.437096	214.117	-194.59761	19.963736	62.14497	308.772741317749
10	1494.8298	1988.2161	4599.5415	-175.2319	573.15753	990.82306	2369.7253	-92.23132	374.2	160.4	39999	-4.9316974	94.00252	257.0372	-196.05069	-4.931958	94.01286	256.35196	-194.67789	-1.077117	72.91907	345.0256996154785
11	1278.112	2308.2522	6932.486	-188.52827	2283.57	4775.3706	15062.114	-205.1828	242.0	253.3	43999	20.355072	109.597115	299.8279	-193.16144	20.35464	109.60376	297.47864	-187.00787	-27.3467	87.77804	384.4811632633209
12	3811.7502	5253.08	12894.741	-190.44339	6476.3335	4291.627	10022.869	-75.86735	379.0909	703.0	47999	53.71707	132.37262	354.28314	-201.60168	53.719463	132.38615	354.78555	-198.38776	-62.37415	120.84065	432.38812017440796
13	8951.052	6594.985	15200.4375	-70.95007	12648.807	8395.774	18811.697	-270.19418	637.3333	707.2	51999	105.09751	166.08846	436.88373	-214.4775	105.1011	166.10107	438.09604	-218.1456	-115.321205	178.35857	480.5469388961792
14	13396.139	6807.226	18447.504	-89.06933	12558.354	8266.99	18518.824	-83.7269	798.4	703.0	55999	168.03868	208.03142	550.85693	-220.28644	168.0415	208.04352	550.9958	-217.52545	-180.47061	278.80585	529.9247422218323
15	18117.61	376.46088	18592.734	17676.334	14267.443	7174.5156	18515.463	-81.14906	997.25	801.8	59999	241.55486	252.25008	661.996	-229.25618	241.55354	252.26376	660.9289	-227.28127	-254.91861	403.93832	582.4723002910614
16	18370.824	259.18124	18609.793	17932.879	16700.172	5630.173	19085.107	-170.23387	1000.0	901.5	63999	319.83896	296.5764	770.47394	-232.743	319.83884	296.5876	765.2271	-239.95987	-333.7883	548.4348	642.4228875637054
17	12083.181	8615.678	18917.393	-127.24687	16805.371	5633.7666	19084.83	-71.40679	670.3333	900.9	67999	403.72675	340.4648	875.2311	-231.85457	403.72903	340.4722	873.23456	-226.08679	-420.60495	707.131	696.6915838718414
18	18604.133	251.61382	18945.678	18258.65	16895.006	5679.869	19175.537	-68.07921	994.5	901.0	71999	486.14868	379.14996	964.94073	-243.69197	486.15063	379.1467	967.26636	-241.44727	-504.03662	942.565	750.8085882663727
19	14896.609	7509.2188	18934.63	-116.69604	14847.505	7489.0806	18882.4	-128.96344	804.8	803.5	75999	572.4823	409.94974	1047.769	-254.14674	572.4845	409.94247	1051.6307	-251.60667	-590.9085	1190.8767	803.5543358325958
20	14905.256	7486.7954	19098.709	-48.57715	16543.463	5556.3584	18662.889	-99.427574	797.2	901.3	79999	652.1975	436.67596	1143.2361	-259.30936	652.1996	436.6822	1136.627	-257.1883	-671.953	1456.0208	862.0571670532227
21	18624.582	161.3755	18790.074	18438.064	16671.5	5595.386	18934.45	-90.01068	997.5	901.0	83999	731.1893	457.2207	1203.4496	-236.91293	731.1884	457.22977	1198.0676	-231.46242	-752.53644	1858.2782	922.0772671699524
22	14756.74	7478.9478	18788.883	-195.22557	18741.54	219.65744	19061.576	18214.133	804.2	1000.0	87999	806.2806	473.77158	1259.5957	-232.98997	806.28094	473.7622	1259.9764	-247.70958	-827.1867	1666.9292	984.7422072887421
23	17620.266	793.5134	18966.934	16917.508	16845.371	5661.414	19084.264	-126.0805	994.75	901.8	91999	875.6306	487.62146	1309.4248	-245.73457	875.6251	487.623	1307.9806	-251.36136	-896.653	2165.5295	1044.5905272960663
24	18319.57	496.8527	18886.559	17560.162	18656.203	614.8141	19085.758	16895.713	1000.0	1000.0	95999	938.60144	498.39285	1355.0863	-309.12146	938.5988	498.4009	1353.486	-338.97665	-961.2283	2209.912	1106.4062149524689
25	17638.871	1003.0713	18544.14	16011.743	16806.75	5641.0938	19021.436	-106.31383	1000.0	901.1	99999	993.4332	506.10965	1394.9733	-314.46936	993.42993	506.10904	1396.9575	-339.909	-1016.1984	2754.9136	1167.0912284851074
26	17223.834	927.23083	18664.186	16145.392	16613.38	5600.408	19114.723	-120.78034	1000.0	901.9	103999	1040.3037	510.11282	1432.5894	-341.51273	1040.3016	510.09875	1439.894	-351.0283	-1064.2373	3408.1797	1227.32452750206
27	18311.2	734.79974	18893.615	17051.9	18660.691	505.9321	19165.32	17523.652	1000.0	1000.0	107999	1084.8281	514.5135	1469.8033	-296.21808	1084.8304	514.4935	1470.1118	-324.46344	-1108.367	3324.4648	1289.9946763515472
28	18437.865	516.5254	18933.719	17594.807	19047.426	235.64902	19369.754	18609.258	1000.0	1000.0	111999	1127.3673	515.67096	1492.9832	-278.4771	1127.366	515.6631	1492.0952	-293.27097	-1150.8387	3067.9998	1351.4466753005981
29	18659.918	243.36292	18982.25	18412.994	18762.078	278.82498	19251.623	18235.465	1000.0	1000.0	115999	1162.3964	515.75415	1516.3221	-258.80505	1162.3994	515.7422	1517.1156	-252.2212	-1184.338	3659.6755	1412.2534997463226
30	18087.707	473.94186	18721.367	17505.473	18629.244	451.458	19228.53	17962.633	1000.0	1000.0	119999	1191.8228	515.50726	1537.8159	-229.45418	1191.8258	515.5009	1538.6298	-213.42894	-1215.1433	3828.734	1473.6461882591248
