Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	218.88658	101.96193	622.4434	-7.7909026	225.02359	65.09266	317.33786	128.50815	15.244275	17.4	3999	49.815804	48.212708	312.2452	-27.537054	49.847378	48.19476	316.73328	-25.885326	-57.66012	117.61437	30.654351949691772
2	220.6246	99.22104	574.7461	-2.0978603	269.50494	117.16774	485.2955	137.17929	15.340996	14.2	7999	174.53412	128.84557	671.26764	-77.53627	174.54918	128.85312	669.3435	-39.418526	-220.6549	375.69696	66.09279704093933
3	226.31796	87.23422	539.9446	31.051117	225.08398	67.88412	346.68073	114.02288	15.1673	14.0	11999	667.34406	463.6801	1950.5756	-582.4139	667.22186	463.8026	1980.0801	-637.21765	-766.628	4088.8262	103.13112568855286
4	236.08252	84.08155	522.9039	-3.128064	231.19717	51.21721	318.2912	123.44279	14.407942	15.6	15999	112.13126	142.90445	1334.3442	-227.92688	112.02832	142.76062	1329.6903	-185.39977	-99.27729	668.7274	141.26463675498962
5	232.04317	87.92253	564.94403	28.727608	271.4386	102.93353	511.12143	121.99764	14.892592	16.9	19999	79.782295	73.88212	382.00455	-103.63316	79.76901	73.83518	379.20328	-108.571556	-80.91458	215.3287	179.66932129859924
6	236.43227	81.158005	564.78156	27.238739	256.24347	95.323326	398.7876	85.56901	14.807407	14.4	23999	87.29968	81.91786	413.52643	-124.55393	87.29708	81.890755	419.2979	-121.186264	-88.87881	153.90517	218.34740710258484
7	237.08624	81.134636	468.2369	21.954527	274.858	80.52251	393.10156	70.07131	15.075472	15.4	27999	86.07601	82.36479	420.52252	-141.92235	86.07502	82.35584	424.11084	-135.83356	-87.70142	130.9473	256.3245358467102
8	260.91333	108.23714	758.39844	51.16057	319.55273	97.41079	457.6822	143.17995	15.744095	23.7	31999	84.69568	82.50675	467.03976	-175.01926	84.69744	82.504814	469.59097	-172.05484	-87.89536	131.15068	294.06247425079346
9	565.8739	364.0938	2062.6826	-29.050692	1073.7141	570.56067	2240.0164	329.82877	45.908047	93.1	35999	106.49517	116.83506	640.90393	-153.67413	106.50047	116.82136	642.09515	-153.0583	-124.46499	280.05807	334.50845646858215
10	1193.0333	961.1358	4542.864	151.30322	818.33203	535.981	2012.9703	118.68024	96.12195	79.6	39999	143.93855	176.02467	794.09644	-82.702225	143.9414	176.03455	812.34436	-72.11577	-172.74138	351.13388	373.8116602897644
11	1052.3512	841.8224	4567.817	25.230345	1825.8822	1123.4315	3681.7468	287.43823	107.65714	212.6	43999	190.0465	224.9434	919.60645	-68.05216	190.04614	224.96095	902.9913	-81.4343	-221.13332	452.3087	429.43017840385437
12	2643.852	1756.6769	6901.098	373.43253	1839.5908	909.0224	3352.102	582.416	226.3158	146.1	47999	243.77756	276.26242	1034.3724	-98.68149	243.77779	276.29858	1040.6069	-144.02342	-276.8903	552.2305	483.3289566040039
13	2377.3816	2140.933	8719.618	212.26022	5099.8945	2754.4543	7565.816	446.51224	220.94444	724.2	51999	300.31506	320.29956	1115.6135	-86.318115	300.30704	320.33444	1124.025	-99.360825	-337.70923	680.065	547.7965569496155
14	4392.863	4412.527	12719.484	374.40057	8961.391	2819.181	10425.241	560.74927	364.0909	902.5	55999	358.84595	359.95218	1225.4784	-102.94405	358.85425	359.99313	1230.7704	-101.37079	-398.8753	1004.8232	624.6675362586975
15	8644.355	4886.829	12708.333	374.78244	3860.427	2240.0244	7168.6562	1144.5247	756.25	459.3	59999	424.22687	401.51053	1280.0846	-101.47896	424.22147	401.55087	1290.6898	-121.383995	-467.70197	1244.4698	684.4868586063385
16	6684.5503	4110.302	11559.361	486.5212	9030.924	2970.4717	12672.41	560.54767	711.5714	904.7	63999	488.42447	435.58035	1278.7745	-118.70012	488.43176	435.61172	1282.5363	-152.63329	-532.03455	1550.7374	754.729465007782
17	9287.468	5229.752	12607.169	237.12407	9245.271	980.95905	12052.454	8409.414	754.75	1000.0	67999	547.6896	460.14282	1272.977	-150.12946	547.69214	460.15924	1270.0751	-165.67133	-591.68964	1661.0995	831.0992405414581
18	10729.0625	1390.785	13070.795	9525.419	13130.089	524.6204	13889.13	12019.867	1000.0	1000.0	71999	596.21985	473.99194	1289.7737	-123.34225	596.2242	473.9978	1304.3605	-128.00937	-638.69293	1848.379	911.7518165111542
19	13449.438	1159.2966	14544.179	11499.572	13678.453	182.93306	14046.761	13333.491	1000.0	1000.0	75999	633.77325	480.30954	1301.8073	-146.27856	633.7811	480.31348	1335.2986	-137.54	-675.52484	1931.9723	1003.8147790431976
20	11757.033	5465.7344	16019.91	995.1204	14585.719	909.33496	16739.168	13744.155	830.4	1000.0	79999	666.00665	483.55118	1334.6953	-187.76883	666.0132	483.56192	1341.797	-109.83415	-707.0815	2014.1229	1076.0424551963806
21	13062.721	1239.8973	14563.063	11347.235	13492.99	888.9589	16033.953	12847.37	962.0	1000.0	83999	694.02606	485.29572	1333.4464	-186.43964	694.0335	485.32205	1338.3418	-119.63884	-732.8769	2201.2417	1157.8056225776672
22	8889.805	5311.5664	14043.788	339.72717	14125.2705	144.56099	14342.332	13843.44	688.5714	1000.0	87999	715.12915	485.37485	1326.2085	-162.25743	715.1318	485.39072	1338.5308	-112.22794	-752.37524	2088.8054	1246.6636650562286
23	11064.172	5472.9004	17345.938	3445.7563	14257.636	1188.0547	17121.35	13155.522	714.6	1000.0	91999	737.57385	484.79642	1346.0005	-207.32913	737.5795	484.82852	1367.4105	-106.32411	-774.50525	2437.9875	1324.6049575805664
24	15139.359	3349.0723	17301.336	9349.532	17264.127	312.61844	17694.643	16752.021	901.75	1000.0	95999	764.7832	486.20932	1355.731	-249.44943	764.7821	486.2403	1342.4083	-165.7819	-802.6182	2286.931	1390.896511554718
25	10383.279	6109.3022	17505.71	342.62866	16595.441	481.61673	17379.639	15678.637	592.375	1000.0	99999	790.7381	485.70206	1360.286	-184.22937	790.7327	485.74265	1370.8411	-155.99205	-827.5855	2472.2495	1459.9624490737915
26	11724.985	6069.9375	18078.398	4686.9126	18693.873	210.12862	19102.186	18386.395	668.3333	1000.0	103999	805.56903	485.10495	1375.366	-244.61494	805.56665	485.13544	1369.7529	-183.20476	-841.83	2774.1055	1543.890008687973
27	14689.591	6028.461	18302.973	4248.9473	14195.956	6809.241	18173.752	220.81982	812.75	809.5	107999	825.7745	485.4705	1411.1077	-285.5146	825.7667	485.5162	1403.3431	-286.26526	-861.4335	2721.7627	1616.3462188243866
28	15249.068	5480.814	18803.84	4356.0586	6818.374	5187.5107	16767.42	2288.9075	847.6	383.4	111999	848.3739	488.36493	1373.0973	-252.98691	848.3652	488.39355	1363.0638	-295.44638	-882.6442	2436.5488	1675.2713193893433
29	9912.461	6118.8774	18251.979	2501.487	17997.098	322.6656	18450.566	17407.445	561.0	1000.0	115999	869.9446	489.86554	1372.9669	-359.9249	869.941	489.88412	1347.4448	-330.13776	-902.659	2857.79	1761.0196559429169
