Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	41.09138	88.91592	323.62973	-241.46547	70.62903	47.34136	145.26767	-10.078593	15.307693	13.1	3999	12.956106	26.340286	124.84469	-71.523605	12.960296	26.35195	124.87201	-69.93481	-18.599686	33.528725	28.50268054008484
2	42.804726	82.233665	306.0219	-199.93294	89.750114	58.397842	174.04726	-33.966976	15.55814	12.2	7999	61.601295	63.53418	311.52673	-77.37108	61.59962	63.54457	313.78998	-78.45079	-78.52697	70.71534	64.31424069404602
3	76.825554	71.844826	236.15953	-125.90428	128.38156	50.859936	209.78062	13.66405	15.568093	15.3	11999	144.20879	119.38201	563.36237	-251.49788	144.20174	119.40082	569.7575	-202.38043	-171.2755	280.06686	98.88876295089722
4	154.49104	152.89261	1225.7947	-194.91238	1066.3689	928.84827	2485.5652	121.943985	26.424658	216.8	15999	174.15334	155.22192	550.1674	-107.33272	174.15002	155.23811	547.48505	-107.812965	-195.91821	210.81483	135.4765706062317
5	1225.3218	1018.6668	4457.8564	259.78705	1286.0032	874.60364	3111.4158	265.53833	226.66667	296.0	19999	190.97098	180.02115	605.6446	-121.019196	190.9767	180.02641	617.81445	-124.14935	-214.54282	220.85484	173.20420956611633
6	1049.1003	1239.5623	5672.6196	88.27464	1424.8787	1188.3956	4394.893	418.4734	236.64706	305.5	23999	240.68398	203.91074	658.15186	-119.06304	240.68883	203.90892	658.7246	-123.41323	-265.3168	218.41003	214.36389756202698
7	1364.9299	1181.4746	5292.845	167.19374	2523.2776	3240.8	9935.312	601.9224	211.0	360.1	27999	286.65735	220.72394	708.5367	-117.144554	286.6623	220.72491	692.37335	-128.5294	-311.66245	331.95627	256.2654004096985
8	2064.0952	1849.6359	6797.968	-17.892448	6374.181	3795.741	10517.378	111.24915	278.5	736.8	31999	328.11285	236.39963	760.1669	-108.85153	328.1161	236.39622	741.6002	-118.65453	-352.30612	354.79062	305.4821982383728
9	4330.8086	3563.0618	9931.32	463.4632	7571.626	3096.3628	10823.049	1641.4183	451.5	763.3	35999	371.69925	253.89203	789.1105	-108.18467	371.698	253.88708	787.55707	-113.26781	-396.6398	456.39526	355.5283269882202
10	7423.3765	1676.5779	9056.353	4660.842	9605.268	988.48944	11828.454	8501.2	798.8	1000.0	39999	420.3974	268.53204	830.0417	-116.12012	420.39804	268.53055	833.01556	-119.62921	-445.16806	535.06195	409.63291478157043
11	5720.141	3541.94	10246.698	1081.1729	6559.3813	4602.2295	13693.52	442.77972	602.0	583.3	43999	467.67395	276.64673	862.4779	-108.89173	467.673	276.6652	871.9481	-116.02924	-491.9274	665.3845	455.40834736824036
12	3260.5625	3594.3667	11817.678	166.48378	2868.9087	2586.327	8558.171	354.26605	289.2857	318.7	47999	515.73096	282.5053	887.828	-152.93794	515.7317	282.50552	920.60724	-111.37423	-540.54266	884.9786	496.07075476646423
13	7859.627	2955.2966	10657.508	3120.5522	7437.0376	3347.0295	11603.152	1234.7872	816.75	844.6	51999	561.77893	290.14215	924.94855	-123.56871	561.78204	290.14197	923.0578	-125.251564	-585.05383	965.86584	546.9312121868134
14	7562.215	3261.854	10262.552	482.7767	11359.037	1637.4387	14133.488	8699.6	820.6667	1000.0	55999	605.2108	295.35568	933.59	-142.95665	605.2146	295.36023	930.09296	-136.79794	-629.1805	1020.28284	602.0728199481964
15	7416.8647	5282.743	13799.516	695.5779	9547.15	1681.3057	12201.69	6904.213	597.1667	947.3	59999	639.8177	298.30432	960.438	-143.8025	639.8218	298.29572	968.6787	-150.53546	-662.1895	1190.4253	657.740170955658
16	7614.3374	4158.8813	12660.597	802.9128	10731.482	2000.7697	13005.198	5271.7266	662.5	948.1	63999	673.26025	299.2606	972.21497	-148.52489	673.26373	299.26178	984.04865	-166.07426	-695.2172	1285.6858	710.5185363292694
17	6500.2876	4128.9097	14428.594	691.62274	9633.424	3762.8962	15507.763	3041.5747	510.0	812.2	67999	702.7933	299.58475	1000.44275	-150.79424	702.7964	299.5906	1003.20294	-146.15558	-724.6059	1337.0204	761.2878494262695
18	9069.907	5046.887	14416.32	461.70346	11192.952	1631.148	14724.859	9749.949	737.6667	1000.0	71999	731.5581	299.25345	1033.0245	-166.19736	731.56067	299.2656	1040.5118	-161.00235	-752.7752	1366.2552	815.3890626430511
19	5757.1675	4462.0366	10636.267	28.21542	9209.882	1054.9982	11484.996	8168.492	568.5	1000.0	75999	757.60944	300.69116	1047.4204	-213.7322	757.6125	300.69113	1048.5775	-210.09239	-779.13885	1554.2355	871.3263413906097
20	8798.06	4366.2505	13505.6	1845.9668	5656.366	4121.896	12534.001	513.778	758.0	531.5	79999	782.42413	299.23535	1056.0487	-242.27702	782.42474	299.23468	1066.3624	-294.67972	-803.4664	1700.8539	916.5591883659363
21	3863.14	3991.4612	12031.586	555.0901	12123.643	1295.518	15808.607	11190.941	309.06668	1000.0	83999	803.05347	300.96478	1089.1721	-198.68576	803.0551	300.96985	1091.1161	-187.79518	-824.73676	1627.5773	972.3727288246155
22	10679.206	5693.057	17835.176	1898.0034	12458.3545	1662.9557	16033.879	10796.413	793.75	1000.0	87999	827.1651	303.70367	1094.4908	-231.27968	827.16547	303.70172	1092.3835	-247.67831	-848.09235	1789.5056	1028.8862261772156
23	7954.807	4170.2793	11171.406	991.61755	13319.933	2312.1218	17744.688	11125.682	672.1667	1000.0	91999	851.4964	307.36624	1111.8195	-215.03856	851.4996	307.35886	1113.1499	-269.2306	-872.161	1911.7415	1086.4459059238434
24	10113.953	5614.903	15941.344	1392.6935	13157.719	4675.9736	17779.086	404.95724	732.6667	903.5	95999	876.81134	307.8565	1138.7496	-186.23781	876.8149	307.8493	1130.2352	-247.47517	-896.75757	1787.8484	1140.5481853485107
25	7663.759	4762.797	14903.461	1285.6389	7414.1846	4049.139	12277.829	2363.486	605.1429	607.3	99999	896.81494	307.28986	1154.3843	-195.25333	896.8196	307.30212	1151.7733	-204.23497	-916.1677	2038.5253	1190.4737095832825
26	8305.046	5728.4126	16296.921	1181.112	13606.567	2001.7021	17468.498	11287.1455	628.1667	1000.0	103999	913.86487	308.9608	1168.2671	-185.2449	913.8608	308.9885	1165.7504	-224.63792	-933.2614	2056.984	1247.8622164726257
27	6815.5444	4063.937	11833.8955	906.4386	13446.003	2788.666	19931.047	11477.317	563.75	1000.0	107999	932.43567	311.45538	1186.0398	-258.54205	932.4398	311.45862	1192.784	-244.18684	-952.219	2129.5674	1305.9188072681427
28	8587.659	5177.4844	16029.47	640.8434	12425.882	1192.3138	15391.862	10981.341	668.3333	1000.0	111999	952.1867	311.45322	1189.9576	-291.83002	952.18567	311.46582	1197.2881	-336.79428	-970.6251	2238.9038	1361.8471386432648
29	8755.1045	5817.2554	18584.326	355.0876	2364.9624	2417.8398	8442.165	699.9511	647.5	189.2	115999	968.2302	310.4981	1201.8129	-329.11896	968.22943	310.50452	1209.6467	-330.1428	-986.252	2546.1665	1403.2492604255676
30	4254.408	4605.368	12132.733	729.4018	7750.079	6403.796	15845.3955	960.8119	332.27274	566.9	119999	982.113	309.4626	1226.2681	-286.98843	982.1131	309.45132	1223.4862	-398.48965	-999.1605	2597.1946	1453.1914286613464
