Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-28.506865	13.847875	16.481998	-75.76225	-27.11764	9.0304575	-14.158451	-39.947056	12.810898	12.1	3999	-6.9429326	10.230549	37.94083	-33.037773	4.756908	2.8908684	21.673768520355225
2	-27.625263	13.595617	24.478777	-81.59015	-46.919632	23.632643	-24.448694	-109.752106	12.855306	20.4	7999	2.2078354	27.603199	129.48097	-33.766106	-7.760916	4.383191	48.59028744697571
3	-29.066294	18.640598	34.91723	-125.06243	-65.14433	98.01359	30.725048	-341.6188	14.985019	43.9	11999	-6.781836	26.292536	149.6179	-49.994465	3.3972466	4.8998976	74.72851324081421
4	86.04932	507.66586	2840.0706	-489.26773	177.44905	392.04407	1306.6119	-44.59663	118.63636	117.6	15999	3.1212077	48.74686	229.10143	-50.784042	-6.919458	6.8368316	104.57483267784119
5	43.408813	260.65274	1638.5571	-131.8338	1075.7955	1160.433	3028.9177	-35.965317	81.13636	412.5	19999	48.664574	97.39955	376.2066	-52.860714	-55.336784	23.354797	139.01661682128906
6	345.24298	577.45605	2254.1394	-36.020073	713.66766	888.46387	2200.2568	-39.60207	200.05556	389.4	23999	113.56161	146.24179	544.176	-53.761456	-124.1804	59.171303	172.89833879470825
7	1062.9443	1403.5898	4056.4634	-42.566383	1633.4446	1569.5927	3268.841	-42.112427	404.58334	531.2	27999	210.0383	199.10153	727.7711	-52.270042	-226.32417	141.92113	209.33646512031555
8	366.03696	753.305	2225.757	-98.83304	1347.8774	494.53534	1810.9719	-39.594048	252.21428	901.0	31999	325.22443	246.80331	826.3232	-61.884026	-344.48175	244.29378	252.44995498657227
9	761.5173	758.028	2029.2113	-51.78126	168.21342	203.05928	596.4901	-53.34127	644.1667	437.4	35999	424.03925	276.29874	900.0427	-88.29417	-444.68124	357.61212	287.9879047870636
10	1074.2446	350.70242	1599.9825	616.45886	860.901	774.6351	1908.8362	-168.35182	917.0	687.5	39999	512.5489	297.75647	960.66895	-110.32061	-535.26154	430.41687	326.9321904182434
