Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-29.45741	16.100882	27.529943	-94.129585	-33.61564	15.808898	1.109636	-53.45019	14.992481	21.3	3999	-7.38292	11.471732	38.486572	-34.75928	5.517452	2.8586676	22.152235984802246
2	-27.356272	16.206436	10.7207575	-80.76441	-29.79686	27.850248	50.22036	-49.06575	15.174242	24.4	7999	-8.705049	18.5758	86.71562	-39.2857	5.5161242	2.019589	49.48543882369995
3	-20.66581	73.83916	848.00214	-135.4527	486.24292	640.9283	2043.5674	-73.717926	24.732485	240.8	11999	7.05977	34.770924	174.98344	-38.474533	-12.524752	3.701459	80.51446461677551
4	263.6049	405.6257	1216.3826	-233.19376	-54.006447	85.60625	42.768177	-213.41557	294.14285	96.5	15999	40.44543	75.72966	270.80447	-53.479866	-47.974586	9.9434	110.17142105102539
5	874.5567	957.99475	2534.0796	-109.70915	1359.9203	1204.0663	3511.404	-97.38441	502.83334	485.3	19999	99.62564	115.19837	370.00345	-48.59989	-109.69327	24.326342	145.77824640274048
6	1908.0146	1037.1438	3042.8545	-40.75694	1940.0745	938.0781	2588.4924	67.076584	761.0	818.9	23999	170.99768	147.21536	442.70325	-49.225983	-183.46413	47.89516	187.3571901321411
7	876.49536	578.96906	2240.5076	261.22644	58.20531	381.00992	369.03842	-941.61066	487.66666	392.6	27999	243.00912	166.64	461.79105	-187.88847	-256.37592	85.66294	222.40668106079102
8	871.042	839.3252	2320.0166	-20.724443	1147.8279	971.1773	2944.2617	-58.347355	465.75	565.3	31999	295.33115	180.80043	513.2658	-103.80335	-308.80176	108.535774	259.805939912796
9	1004.5152	1066.2882	2675.584	-12.793895	671.6703	561.13684	1538.5677	-176.57994	460.33334	530.6	35999	337.10083	186.48686	540.01965	-111.9714	-349.65234	126.50057	297.49286246299744
10	281.28076	499.64404	1715.4521	-128.47076	330.4627	588.5417	1783.1277	-75.5156	236.82353	211.3	39999	371.59967	195.18864	635.3358	-146.24103	-384.78845	154.94969	329.15092515945435
