Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	137.05127	31.695908	258.67288	92.557205	121.23781	7.6293945e-06	121.2378	121.2378	20.171717	35.0	3999	49.90799	73.20519	295.5222	-31.740625	-58.324585	11.69075	25.48812460899353
2	137.50557	33.098644	261.95	94.56859	72.69746	0.0	72.69746	72.69746	20.289341	16.0	7999	306.741	268.9481	1120.5695	-80.86439	-359.29044	122.43828	54.342215061187744
3	91.04379	39.235626	185.00032	54.43031	55.894524	0.0	55.894524	55.894524	17.158798	15.0	11999	1217.0544	911.00256	4994.286	-489.87778	-1387.3291	3941.9243	81.8140709400177
4	82.429115	20.01008	143.59882	15.6402645	162.19632	1.5258789e-05	162.19633	162.19633	20.713541	36.0	15999	2056.159	1576.1096	18760.412	-1135.7253	-2332.6145	24517.752	110.03359794616699
5	110.739746	87.386696	585.9041	39.403267	80.02906	0.0	80.02906	80.02906	25.14375	17.0	19999	4497.1	2475.9817	13451.257	-3800.8018	-5036.574	95213.086	137.49874114990234
6	98.27763	56.188496	325.0236	-94.116875	49.260265	3.8146973e-06	49.26027	49.26027	34.63063	223.0	23999	4518.21	3136.3142	9710.92	-2112.4602	-4929.527	54340.4	169.98966312408447
7	406.85477	614.92676	1853.2311	-95.71764	442.9267	0.0	442.9267	442.9267	509.0	194.0	27999	4335.5913	3323.5977	9468.689	-1439.2366	-4761.5146	24127.82	201.07443380355835
8	457.94562	123.641884	908.4759	302.50714	549.3789	0.0	549.3789	549.3789	182.32	150.0	31999	4852.8857	3539.1472	11396.627	-1328.8529	-5240.3164	28930.191	230.91243433952332
9	667.21234	712.2549	2924.1309	109.67501	286.0981	0.0	286.0981	286.0981	310.46155	202.0	35999	5234.817	3718.6477	11303.725	-929.3571	-5603.8633	32588.217	261.6337888240814
10	373.37366	162.04703	901.4674	103.46645	322.48428	3.0517578e-05	322.48425	322.48425	151.61539	95.0	39999	5661.9653	3808.9402	10461.785	-789.8587	-6006.926	35648.105	291.4783263206482
11	87.25109	144.31459	466.52094	-496.07086	103.34658	0.0	103.34658	103.34658	78.0	525.0	43999	5949.9814	3760.77	10715.507	-841.4498	-6278.1	52360.305	331.93851590156555
12	1148.0364	1185.498	3191.2502	10.572135	438.8452	0.0	438.8452	438.8452	614.375	165.0	47999	6230.5747	3706.6194	12217.59	-885.93494	-6548.956	55761.465	362.0651125907898
13	287.22693	78.20783	460.957	28.140587	229.64038	0.0	229.64038	229.64038	108.861115	120.0	51999	6703.8335	3790.244	12602.19	-978.96545	-7021.603	74350.945	393.6423602104187
14	299.41525	153.74521	928.2531	144.88835	423.7501	3.0517578e-05	423.75012	423.75012	150.96297	211.0	55999	6952.2285	3940.5745	12728.21	-926.05695	-7256.908	73835.18	425.74577236175537
15	231.50899	146.78871	754.69714	84.92912	168.01242	1.5258789e-05	168.0124	168.0124	166.30435	144.0	59999	7038.142	3947.8003	12199.066	-904.3974	-7331.7837	68508.41	457.70327711105347
16	228.20639	149.26984	680.75464	92.292725	194.49614	1.5258789e-05	194.49615	194.49615	157.3077	67.0	63999	7207.4624	4001.8833	12371.443	-744.8613	-7507.05	72649.84	487.9891047477722
17	224.04897	135.18427	777.1049	79.224915	347.64825	3.0517578e-05	347.6483	347.6483	108.37838	212.0	67999	7516.6094	4247.722	13261.228	-958.1555	-7831.944	74727.23	523.2413339614868
18	201.20512	276.0606	984.5014	-30.881304	132.4711	0.0	132.4711	132.4711	206.78947	145.0	71999	7948.7407	4410.065	14566.878	-957.82605	-8278.896	90486.26	558.3735513687134
19	66.28448	188.83151	320.7228	-694.5779	628.7647	0.0	628.7647	628.7647	147.62962	1000.0	75999	8639.062	4709.232	15143.591	-1025.8928	-8991.344	113177.73	608.9947738647461
