Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-27.305075	15.105479	48.602203	-79.31478	13.188119	0.016421681	0.13195129	0.36258918	-0.41359985	4000	1.3172627e-07	753.0848	-0.024591953	-349.124	0.9189432	0.015002945	0.16825	66.0	8.45451045036316
1	-28.239206	12.979975	15.866974	-90.97025	13.19802	-8.266396	1.9346892	4.490448	-9.561655	8000	2.6702882e-08	398.68436	-0.029197501	-199.99161	0.9047251	0.013031324	0.17775	79.0	16.970120191574097
2	-28.33325	13.338346	20.534103	-73.762924	12.864516	-15.039329	1.1860021	4.5074763	-15.416418	12000	-1.142025e-07	201.31815	-0.03052997	-73.98481	0.8999065	0.013217218	0.18425	79.0	25.497857809066772
3	-28.174046	13.300474	6.1894197	-73.61102	12.532915	-19.15123	0.79776704	-5.9530997	-19.399788	16000	2.6226044e-08	125.54806	-0.0075604315	-33.16201	0.90379494	0.016142715	0.1935	6.0	33.46801257133484
4	-27.021534	14.847916	27.299665	-84.77468	12.801282	-21.955084	1.1863031	4.785861	-22.185461	20000	1.4305115e-09	99.76651	-0.029699445	-12.188339	0.90427953	0.013075501	0.1675	79.0	41.99997401237488
5	-28.87349	13.494928	52.276016	-79.27927	12.9288025	-23.52018	0.86177486	-8.122311	-23.731905	24000	-1.2397766e-08	91.71478	-0.031602275	-9.267456	0.90284324	0.010233192	0.19475	79.0	50.35457754135132
6	-28.333311	14.1270485	20.828222	-79.47532	12.874193	-24.93314	0.9912029	-0.008769974	-25.133453	28000	-2.6226044e-09	87.21213	-0.030471895	-3.0035477	0.9033249	0.014860935	0.1725	79.0	58.804237604141235
7	-28.732664	13.229204	19.938084	-80.04273	12.883871	-25.561672	0.44969964	-16.603388	-25.684004	32000	-9.059906e-09	75.36875	-0.037162274	-2.1205978	0.8984092	0.013862875	0.20975	79.0	67.30179595947266
8	-26.480394	13.423929	22.61614	-80.51196	12.817307	-25.852959	1.6310163	16.647667	-26.1086	36000	1.45435335e-08	81.55003	-0.033657044	-2.3963623	0.89037436	0.014321462	0.1945	79.0	75.67240047454834
9	-28.357944	13.265908	16.055971	-62.09597	12.854838	-25.21266	2.2975187	9.936481	-25.645462	40000	8.940697e-09	82.45464	-0.035676792	-7.6946564	0.8828483	0.010586887	0.197	79.0	84.16218209266663
10	-27.088833	14.554606	39.74137	-94.6368	12.626582	-25.720001	0.69365233	-5.2543483	-25.890396	44000	3.8146974e-09	90.906044	-0.03656472	-4.4841843	0.8716041	0.01042147	0.213	79.0	92.57674980163574
11	-27.63635	12.760823	10.859394	-77.72391	12.489028	-25.291666	2.2625546	9.833593	-25.814821	48000	8.5830685e-09	73.11629	-0.036731854	-6.0859222	0.86237246	0.013242752	0.184	79.0	100.96428084373474
12	-27.749535	12.747005	13.1798	-58.895504	12.539185	-25.51607	1.4109377	-5.3161535	-25.929707	52000	-1.0967255e-08	70.507675	-0.03146511	-2.1000824	0.85011613	0.015050196	0.17875	50.0	109.26064157485962
13	-27.191723	14.528349	18.033379	-111.75767	13.20132	-25.763489	1.2714517	0.43544835	-26.027557	56000	-6.437302e-09	96.70858	-0.037279453	-3.0936813	0.8459488	0.015042877	0.1965	79.0	117.60751867294312
14	-27.077814	13.01281	8.535869	-57.57042	12.967426	-25.647192	1.286882	-3.1095862	-25.956738	60000	5.00679e-09	72.85704	-0.027582182	-6.2964096	0.8465933	0.015328827	0.1715	28.0	125.69942951202393
15	-26.139015	15.104058	63.62231	-75.5644	13.026058	-25.24266	1.8879734	3.375479	-25.729553	64000	-1.2159347e-08	92.39449	-0.015024203	-6.217392	0.84453094	0.015088915	0.14425	13.0	133.6693139076233
16	-27.838972	13.358721	19.252285	-65.591545	12.909385	-24.93367	2.562547	12.058017	-25.56944	68000	8.5830685e-09	82.99093	-0.038565155	-6.3207703	0.8434435	0.014714702	0.2005	79.0	142.0092408657074
17	-28.097616	13.337224	15.7933445	-83.40037	12.556603	-25.441696	0.85865223	-6.682236	-25.657784	72000	1.4305115e-09	76.10295	-0.026418077	-1.5458755	0.83810633	0.015285896	0.15075	37.0	150.18301486968994
18	-27.801435	12.729988	23.278315	-69.12143	12.391304	-25.85634	0.64673036	-15.633698	-26.026081	76000	2.6226044e-09	64.69518	-0.031053966	-0.8766556	0.84136575	0.015114561	0.19	39.0	158.48446655273438
19	-26.691828	13.598391	12.398973	-74.968994	12.883871	-25.829235	0.93757194	-4.2785425	-26.101248	80000	7.390976e-09	79.73316	-0.039185937	-2.2963333	0.8270679	0.012101343	0.19825	79.0	166.85498929023743
