Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-27.805828	14.314818	23.553741	-66.40138	14.966292	0.015728045	0.10977973	0.38379765	-0.33147097	4000	-6.139278e-08	742.4006	-0.019941054	-380.52066	0.9189432	0.0151194	0.1535	58.0	8.324897527694702
1	-27.027105	14.502999	45.69071	-60.56387	14.619047	-8.9492855	0.71381927	-3.0342577	-9.554746	8000	-1.2803078e-07	335.78555	-0.018215196	-152.30888	0.91919136	0.015133428	0.12875	57.0	16.518015146255493
2	-26.130428	14.747983	19.944464	-65.89506	14.680147	-14.772957	0.31504813	-9.572696	-14.931683	12000	4.506111e-08	179.43153	-0.025729964	-61.495766	0.9144447	0.014607923	0.20675	79.0	24.906795740127563
3	-27.182415	14.349051	20.840374	-68.8137	14.449275	-18.547043	0.20687419	-16.094097	-18.647585	16000	-1.859665e-08	123.087395	-0.021652361	-33.03517	0.9055019	0.015157063	0.1655	55.0	33.07376050949097
4	-27.395412	15.19978	28.21663	-67.29198	14.745387	-21.444614	0.2690206	-14.620122	-21.528307	20000	-2.0503998e-08	100.576004	-0.027673364	-10.945053	0.90197104	0.013500637	0.18325	79.0	41.398881912231445
5	-26.40072	13.641356	14.805195	-57.700336	14.756457	-23.16441	0.7837029	-5.125075	-23.30524	24000	9.059906e-09	72.14703	-0.025011726	-3.7875519	0.9075319	0.015071895	0.1605	64.0	49.66354537010193
6	-25.130678	14.803936	14.352231	-66.934204	15.136364	-23.950274	0.64978296	-7.1812744	-24.135263	28000	-7.688999e-09	84.05036	-0.025558446	-3.3831253	0.9123651	0.015032276	0.1725	64.0	57.91885757446289
7	-27.478558	14.77113	14.73548	-70.75038	14.749078	-23.88782	2.0929031	4.0976286	-24.424002	32000	-5.722046e-09	88.43633	-0.028836215	-7.286339	0.9081517	0.011266854	0.18	79.0	66.27915334701538
8	-26.045181	14.786499	24.939621	-65.19836	14.788889	-24.865404	1.4336457	3.9019268	-25.187122	36000	1.1563301e-08	82.21256	-0.02122652	-2.2467957	0.91423404	0.015127886	0.14625	36.0	74.3043782711029
9	-27.057383	14.991921	21.90912	-66.65971	14.981274	-24.904476	0.72319937	-12.298666	-25.140657	40000	-3.218651e-09	82.60637	-0.028296022	-1.0766068	0.91196936	0.015077862	0.18125	71.0	82.59518098831177
10	-26.238516	15.553069	46.872356	-70.81628	14.788889	-25.009472	1.6333394	4.431305	-25.408361	44000	8.5830685e-09	84.617935	-0.031337913	-3.2302017	0.90281665	0.009839522	0.19075	79.0	90.98287153244019
11	-26.323086	14.870207	47.4215	-74.88577	14.803703	-24.79222	1.8715374	-4.991897	-25.392628	48000	5.1259996e-09	82.14268	-0.006556161	-5.502075	0.89555043	0.01657421	0.17175	7.0	98.91813635826111
12	-28.181671	14.273415	7.7884774	-74.24216	14.759259	-24.703547	2.2586596	3.4893856	-25.382608	52000	1.0251999e-08	80.58348	-0.031076992	-4.215584	0.8952354	0.007987819	0.20075	79.0	107.2790756225586
13	-26.253576	15.176515	12.096913	-64.246254	14.726937	-25.665707	0.5967419	-17.980644	-25.8768	56000	-2.3841857e-09	86.5611	-0.02801509	-4.174797	0.8803655	0.0150980195	0.16575	67.0	115.56324005126953
14	-26.130196	13.785538	13.62154	-68.85826	14.996241	-24.493793	3.065577	7.415101	-25.671295	60000	-1.4305115e-09	76.05856	-0.007453496	-6.664467	0.87498623	0.016811324	0.21925	5.0	123.46627974510193
15	-25.49032	15.688125	24.250359	-62.4915	14.910448	-24.60779	1.6276451	-13.3001795	-25.547932	64000	-8.34465e-09	83.80831	-0.03151522	-3.9253922	0.8756477	0.0131308995	0.18625	79.0	131.77968573570251
16	-26.459019	14.45104	5.946458	-61.856518	14.814815	-24.518858	1.937318	-12.749421	-25.7807	68000	-7.1525574e-10	75.17283	-0.03246008	-4.953224	0.8682435	0.011114597	0.19825	79.0	140.09152173995972
17	-25.60068	16.048025	70.806725	-57.172794	15.05283	-24.646902	1.9534451	-13.895517	-26.147377	72000	2.3841857e-09	76.52719	-0.032241207	-6.8881836	0.8578	0.011457449	0.20925	79.0	148.37641263008118
