Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-27.631657	14.877615	52.210613	-69.111855	13.144737	0.02947866	0.12883854	0.39101934	-0.42024457	4000	0.013067719	758.2121	0.0	-350.1515	0.9189432	6.5267085e-09	7.892810821533203
1	-25.617168	14.755361	16.147598	-68.66896	13.6211605	-8.30052	1.8933165	6.392816	-9.563989	8000	-0.02477381	351.75565	0.0	-165.47896	0.91909194	6.556511e-10	15.755186557769775
2	-28.730164	15.09689	27.194645	-126.851715	12.741214	-14.6481085	1.3833902	2.8397794	-15.070814	12000	0.04406751	250.06902	0.0	-93.19867	0.9190237	-4.887581e-09	23.6747043132782
3	-28.678047	13.544632	7.2016926	-87.16155	12.941748	-19.29815	0.78073686	-6.790852	-19.525259	16000	-0.010543745	127.97278	0.0	-32.613983	0.91905504	1.2218953e-09	31.58614683151245
4	-27.598986	14.062498	7.8033404	-68.08886	13.138158	-22.093315	1.1155015	-2.7573462	-22.376219	20000	-0.027610416	93.47208	0.0	-11.06678	0.9190942	-7.4505807e-10	39.473230838775635
5	-27.495712	13.638343	49.548676	-64.93135	12.747603	-23.644903	1.3953638	1.5933473	-23.989752	24000	-0.008797272	82.8342	0.0	-8.78096	0.9191008	-6.2584876e-10	47.46913528442383
6	-26.6881	13.722949	32.679474	-69.280235	13.03268	-24.581367	2.1284454	6.887345	-25.03909	28000	-0.034821086	82.44556	0.0	-5.719139	0.91908675	-4.172325e-09	55.43078804016113
7	-28.331404	13.125108	7.557386	-80.802635	13.374582	-25.024624	0.676331	-6.5867696	-25.161057	32000	0.013931813	75.21027	0.0	-2.311821	0.9190281	-9.23872e-10	63.35810327529907
8	-29.001902	11.958098	16.492329	-73.10726	12.611987	-25.565746	0.8325552	-1.150195	-25.70779	36000	-0.031259604	65.83063	0.0	-2.2202835	0.91898555	-1.6093255e-09	71.19289875030518
9	-27.301453	14.19956	51.33534	-84.9698	12.983767	-26.06982	1.0644845	-5.879488	-26.309845	40000	-0.003155732	79.80534	0.0	-1.2983017	0.91892797	4.9173834e-09	78.97852396965027
