Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-26.711792	14.141037	21.157366	-61.19806	14.777778	0.018799534	0.1089249	0.34314644	-0.366184	4000	-0.021382274	701.79144	0.0	-368.89914	0.9189432	4.4703485e-09	7.926163911819458
1	-27.818079	14.718404	17.86095	-72.98881	14.7084875	-8.959016	0.76154983	-0.6246148	-9.5723715	8000	0.01553504	363.8405	0.0	-165.11314	0.9187907	5.9604646e-09	15.858080625534058
2	-27.773523	14.478263	16.006504	-60.873703	14.538182	-15.002986	0.35466158	-4.773596	-15.14462	12000	-0.035211504	188.73148	0.0	-67.66036	0.9187837	2.1755695e-09	23.711630821228027
3	-27.14376	13.136286	9.916464	-69.66876	14.438406	-18.913223	0.25866973	-14.427231	-19.010086	16000	0.0074741133	108.83147	0.0	-26.373398	0.9187007	-2.5331974e-09	31.549327850341797
4	-26.871908	14.944137	30.490517	-65.31022	14.738008	-21.525969	0.17320669	-17.045603	-21.592188	20000	-0.019368473	94.26289	0.0	-8.982658	0.91864383	2.592802e-09	39.42178130149841
5	-27.045467	14.381965	17.150549	-73.560135	14.928839	-23.118044	0.25052664	-15.912662	-23.196432	24000	0.018984616	82.900734	0.0	-4.2289963	0.9185581	-1.0430813e-09	47.29793858528137
6	-26.779148	14.701952	21.465164	-74.97773	14.569343	-24.238111	0.19545689	-21.01668	-24.315321	28000	0.021736687	79.40994	0.0	-1.9438782	0.91853607	-1.0728836e-09	55.16291403770447
7	-25.497168	16.000488	16.164047	-58.138462	14.766666	-24.52254	1.2906775	9.633413	-24.807825	32000	0.0011050733	93.9939	0.0	-2.3202057	0.9185352	7.748604e-10	62.9917573928833
8	-28.470936	13.3887	19.86314	-72.83196	14.452899	-24.290602	2.5949233	16.679083	-24.907005	36000	-0.017036721	81.171906	0.0	-12.474556	0.91853136	1.4603138e-09	70.87577033042908
9	-26.66665	15.821018	56.641747	-63.098724	14.694853	-25.406523	0.86956507	-10.4222765	-25.679438	40000	-0.015594548	81.20324	0.0	-1.0646896	0.9185188	8.46386e-09	78.65707969665527
10	-28.044256	14.819022	20.01165	-62.716595	14.594891	-25.166897	1.3557656	1.1791904	-25.57605	44000	0.0034310208	83.91304	0.0	-2.6045837	0.91849434	8.3446505e-10	86.4507954120636
11	-25.974178	17.269695	83.01946	-76.75198	15.075472	-25.194834	1.6894736	0.7456664	-25.713308	48000	0.010684712	105.292564	0.0	-4.786186	0.91846925	-7.897615e-09	94.33045530319214
12	-26.097841	14.772164	19.080553	-66.16167	14.93633	-24.633991	1.8905625	-1.5368716	-25.303717	52000	0.0060691396	78.89561	0.0	-5.826988	0.9184646	-2.9802322e-10	102.22136187553406
13	-26.581947	13.633751	18.65951	-57.86061	14.326165	-24.86525	1.8364987	-0.5123266	-25.694456	56000	0.02155154	73.64775	0.0	-5.079376	0.91846186	2.115965e-09	110.09893655776978
14	-25.420372	15.74729	30.986721	-69.79668	14.910448	-25.210253	1.222218	-12.735228	-25.897915	60000	0.01880443	92.923935	0.0	-5.808655	0.9184782	1.3113022e-09	117.95556950569153
15	-27.571407	14.230794	26.816635	-65.1499	14.843866	-23.981602	2.9930496	11.430687	-25.642773	64000	-0.0059068603	83.29033	0.0	-7.289482	0.9185085	-6.556511e-10	125.81482267379761
16	-27.43946	17.230667	84.96703	-68.69575	14.869403	-25.164562	1.1786469	-10.493386	-26.038834	68000	0.015612778	99.106735	0.0	-4.4644623	0.9185303	9.23872e-10	133.69955778121948
17	-26.490875	15.919851	42.22036	-71.067825	15.255725	-25.236406	1.4470894	-8.469727	-26.428108	72000	0.020960469	98.91026	0.0	-7.7748337	0.91856223	-7.4505807e-10	141.5036289691925
18	-28.355255	14.413001	16.957651	-65.857864	14.759259	-24.53816	2.3811762	-11.346176	-26.461998	76000	0.022858128	76.69284	0.0	-9.237328	0.9186094	3.5762786e-09	149.24730896949768
19	-27.687168	14.546059	10.1226635	-66.760445	14.591241	-25.395525	2.326371	-6.892895	-27.275698	80000	-0.0018017063	75.41202	0.0	-7.4047775	0.91866827	6.854534e-10	157.08825302124023
20	-26.594894	14.96389	16.237244	-69.29702	14.811111	-25.442919	1.8220638	-13.292811	-27.47781	84000	-0.011460596	77.561485	0.0	-6.2060165	0.918723	4.1425228e-09	165.0161371231079
21	-26.368095	15.237157	24.750795	-64.049995	14.6875	-24.747286	2.630435	-9.481258	-27.748468	88000	0.0033409968	76.33069	0.0	-9.848114	0.91876405	-2.2053719e-09	172.88126015663147
22	-26.769127	14.436744	35.03618	-54.872623	14.749078	-24.519222	3.0330899	-10.347314	-28.312416	92000	0.017793426	59.936813	0.0	-10.999126	0.9188037	-2.95043e-09	180.72738218307495
23	-27.14204	14.734377	15.821783	-58.455433	14.891791	-24.66259	3.2691197	-10.686181	-29.144842	96000	-0.027934968	57.112736	0.0	-17.73869	0.91885513	-6.6161157e-09	188.61687302589417
24	-26.607927	16.956654	76.54944	-71.14979	15.0	-24.104828	4.37612	-9.433638	-30.362448	100000	-0.014785175	63.945587	0.0	-22.33739	0.91887367	4.2915342e-09	196.49123239517212
25	-25.76679	14.847053	26.06203	-70.9928	14.899254	-24.532629	5.2119484	-7.590026	-32.222954	104000	-0.01619635	34.759914	0.0	-11.852427	0.91888547	-4.6789648e-09	204.40498042106628
26	-26.32676	14.066252	42.16078	-70.17002	14.6875	-24.863058	5.6762342	-5.3208747	-33.24361	108000	-0.012387302	28.032875	0.0	-7.7926445	0.91887724	2.5629998e-09	212.26921391487122
27	-26.38985	15.741554	15.7520485	-67.891685	14.738008	-24.126455	6.7191944	-3.1616359	-34.25997	112000	0.02296535	25.98584	0.0	-7.467968	0.91886646	8.9406965e-10	220.1407790184021
28	-26.735966	14.629096	15.356702	-63.190643	14.705882	-24.892958	7.0824723	-3.3155289	-35.210346	116000	-0.020680504	19.271461	0.0	-6.248637	0.91886824	4.4703483e-10	227.9961199760437
