Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-27.626318	13.492355	7.2259393	-96.97295	-21.367422	24.913872	39.584553	-46.436745	12.695238	16.1	3999	-0.89280206	17.630651	104.439064	-34.72721	-3.593904	3.5130045	21.64240598678589
2	-27.300926	13.6916275	26.848015	-81.2823	-27.51926	16.359856	10.441169	-41.803062	12.957792	24.0	7999	1.3388214	26.72237	127.48694	-32.907322	-6.023502	3.697438	48.32038688659668
3	-33.337093	39.588444	20.574785	-374.22162	-35.71868	58.035564	76.4198	-167.71341	18.733644	33.3	11999	-5.473645	27.236279	160.00233	-40.644337	2.0960276	4.202798	75.92596483230591
4	2.346322	197.80624	1435.0029	-202.87758	125.05011	220.7972	556.9049	-59.96933	57.101696	82.3	15999	7.6568146	55.28984	259.51566	-44.282066	-12.320434	7.931211	104.95606970787048
5	382.73972	704.658	2732.7559	-266.95544	1.2889382	70.85247	121.519844	-64.50382	229.4	107.6	19999	62.832153	105.82126	373.48654	-47.504303	-70.51662	23.783155	132.73617911338806
6	730.372	975.6801	2397.2236	-62.674408	627.0504	790.3053	2113.1865	-142.0405	373.33334	454.4	23999	137.2209	151.22192	529.40857	-53.804462	-148.1539	52.718704	167.7412350177765
7	214.01646	520.2428	1537.2152	-220.40733	543.9584	296.1916	847.37573	-34.300625	281.64285	817.8	27999	213.64146	182.18448	627.63904	-62.679115	-226.86717	111.1619	209.40105676651
8	807.1778	859.9136	1956.6527	-58.885475	-123.55536	94.79021	-6.7002354	-303.68124	566.0	518.5	31999	291.43866	206.52798	700.61676	-67.8702	-307.33865	174.88168	245.5746874809265
9	185.2625	368.92578	1147.4503	-168.84045	25.72882	132.19145	275.02704	-255.89233	300.64285	299.3	35999	381.64713	227.03844	776.76776	-67.870255	-400.02988	265.66006	278.2367494106293
10	90.258194	302.105	799.4155	-265.93256	341.13898	245.56198	738.3204	-44.559357	247.375	559.1	39999	455.94263	247.94122	794.84247	-105.05876	-474.43536	322.9696	315.61801266670227
11	315.15018	459.87415	1399.2449	-154.23953	970.90955	898.376	2491.8594	-139.8066	411.81818	603.7	43999	508.22455	261.31387	891.51776	-126.60107	-526.3798	348.52676	353.35782504081726
12	385.8315	789.87714	2158.6934	-199.86324	302.90472	248.27176	627.06	-90.26667	551.0	632.1	47999	558.9915	273.7095	933.33655	-97.91287	-578.456	465.95807	393.02818036079407
13	-10.300117	195.22878	376.48978	-283.02664	-512.47314	614.45325	191.27847	-1757.426	294.57144	757.2	51999	621.8463	281.62204	989.82367	-133.87617	-642.6355	508.6603	435.5172004699707
14	-32.79048	289.60028	737.95374	-485.6855	122.66858	403.78293	801.69257	-447.79025	314.54544	523.1	55999	671.6601	289.55246	1012.5372	-197.5699	-691.949	597.0195	473.57404017448425
15	380.69498	545.8801	1153.4257	-92.482285	798.7214	369.71	1198.872	-111.35512	629.0	855.6	59999	716.1507	295.04102	1048.8756	-248.50568	-736.4584	731.2002	517.205940246582
16	595.8382	530.8198	1617.695	113.5569	692.0057	513.8817	1545.157	-20.897427	687.0	660.4	63999	746.71326	295.65088	1108.7665	-316.86688	-765.9127	712.122	557.9850356578827
17	327.08218	328.11777	770.83105	-230.99968	740.5489	513.66437	1600.4498	-76.88006	526.3333	761.3	67999	765.76306	286.66132	1167.3907	-278.02277	-784.6668	722.0601	601.8265542984009
18	408.60086	484.0754	1256.1912	-37.982258	763.1305	432.37747	1269.2109	-52.15947	514.5	788.4	71999	788.32666	280.35068	1167.6671	-289.09283	-808.4951	751.0616	648.4876630306244
19	152.30417	272.60065	911.61523	-179.2439	12.861712	145.85243	426.72943	-132.53752	375.84616	237.2	75999	819.1552	282.3658	1155.0493	-448.79153	-838.4679	808.94305	685.7089991569519
20	206.75943	465.03915	1081.4224	-237.09206	267.76443	238.05939	673.4351	-42.60337	418.25	584.1	79999	822.65594	274.34543	1142.7126	-297.5756	-840.8575	837.55475	729.6431860923767
21	-101.231285	140.66266	163.07707	-357.4587	195.29616	302.40005	681.67206	-294.29282	358.84616	516.8	83999	821.4642	260.8769	1133.5898	-360.4708	-839.808	815.23425	770.2957594394684
22	71.97079	252.73647	692.32513	-311.8694	310.02448	349.1226	993.9843	-49.49761	365.6	374.9	87999	826.5857	254.18437	1174.83	-287.78375	-844.3881	791.41846	810.4817209243774
23	281.2285	301.77466	682.0918	-138.82086	229.96097	424.57318	967.4255	-203.43929	498.14285	521.0	91999	819.91907	245.89223	1076.9114	-292.90054	-836.4694	803.1991	851.6833152770996
24	263.2422	508.34207	1313.6995	-308.2343	-21.556614	31.821167	45.48777	-53.72921	431.63635	98.7	95999	801.48584	227.30295	1114.0961	-355.31207	-817.163	790.87573	888.7739689350128
25	-45.703575	140.54814	273.3737	-412.15558	-81.38058	132.59166	92.21835	-323.61353	195.95	121.1	99999	781.7901	216.06535	1198.8429	-602.7963	-796.5628	756.1264	925.5060043334961
26	-70.471924	101.201126	111.6415	-362.9413	-14.427318	206.88516	301.10367	-453.87604	164.75	440.8	103999	765.20447	217.44426	1626.7068	-405.1881	-779.84656	727.3385	966.2457745075226
27	58.110943	284.1665	684.52435	-279.1449	57.99021	277.88715	828.01654	-180.59859	298.53845	407.6	107999	760.12585	216.68324	1679.757	-314.87408	-775.14606	748.18787	1008.6165161132812
28	0.79006493	168.01363	482.76312	-342.9797	-67.206116	197.26277	250.80342	-402.23505	189.04347	154.3	111999	759.72815	216.20055	1359.6794	-580.66675	-774.63794	709.45886	1046.6029286384583
29	-5.8130784	194.20085	399.86636	-247.97623	-392.34042	762.318	281.07452	-1946.2893	287.5	405.3	115999	759.9364	216.26295	1174.5626	-505.29425	-774.2463	680.55475	1087.6134643554688
30	55.008644	772.1965	825.2483	-1384.5991	73.71306	126.0338	307.51508	-157.73935	718.8	864.1	119999	754.9628	212.7552	1127.5485	-454.35144	-769.4913	682.14655	1136.7346062660217
31	85.5418	494.71027	1074.701	-484.49622	216.91959	460.01257	1353.906	-139.25409	814.0	338.9	123999	761.7307	208.81094	1039.2092	-484.83536	-776.00885	699.0905	1177.5368466377258
32	295.3208	602.1734	1848.1865	-195.74522	236.9871	261.6809	646.9568	-152.5369	295.72726	410.1	127999	759.0372	206.3439	1078.3573	-353.11285	-772.7909	707.0142	1219.6485397815704
33	1123.5936	257.0608	1557.6018	813.96155	784.99963	955.3017	2405.722	-360.40085	810.6	729.4	131999	754.58234	202.93265	1036.3671	-325.77423	-768.1961	623.5767	1267.162045955658
34	280.28183	336.1011	804.57324	-54.49952	1346.0999	542.98193	1880.5408	-102.01126	446.8889	907.1	135999	747.94464	195.48387	983.92865	-314.72452	-760.88635	606.1859	1317.2647931575775
35	1643.0829	604.0773	2219.886	639.87024	275.31482	519.10114	1322.7983	-355.48138	944.0	626.9	139999	739.63184	192.35274	1007.4271	-369.1357	-752.5196	622.6196	1363.3245270252228
36	538.627	485.58316	1129.2058	-179.47482	608.4641	498.8023	1479.1683	-56.029713	689.1429	710.2	143999	731.94336	184.89525	997.2531	-366.79733	-744.41327	554.42535	1411.5252923965454
