Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-26.843357	16.791796	28.802382	-97.34695	-22.207844	21.204369	17.467577	-54.329407	15.445737	17.2	3999	-6.3623133	11.559972	41.93502	-34.514835	4.590597	2.8253236	21.721470832824707
2	-27.450903	16.628433	37.568306	-73.77213	-16.891117	67.01789	84.85274	-138.9671	15.447876	45.8	7999	-4.499425	19.39837	93.08433	-35.352684	1.0605406	2.0606072	49.675379037857056
3	-25.323416	30.686666	223.33968	-124.95601	46.690422	85.14901	166.30566	-77.70897	24.96129	167.3	11999	3.3477967	35.156113	193.25784	-60.57439	-8.103753	3.7819283	79.6217999458313
4	523.19244	670.20404	2228.7917	-34.88318	-214.79048	407.88538	354.5277	-999.0457	266.92856	294.8	15999	46.84581	82.48125	294.14572	-55.84678	-55.34342	13.176587	111.58392310142517
5	337.11612	457.49466	1692.7301	-28.42042	276.3652	346.17752	995.5754	2.4748847	257.58823	210.1	19999	120.77566	127.12494	400.04172	-47.85981	-133.43819	33.983704	142.60446310043335
6	654.14545	529.0372	1497.2754	53.72477	120.847206	255.70238	525.4305	-426.10864	411.44446	399.8	23999	211.60028	162.18266	486.68097	-75.46637	-227.95026	72.88681	177.95923233032227
7	-41.1971	340.431	784.0747	-677.96643	1082.504	732.9942	2087.488	-9.148306	230.33333	585.6	27999	284.5245	184.60274	546.75464	-66.86469	-300.1902	112.89925	215.36564421653748
8	1189.9612	1130.9463	2780.2407	-62.228615	1990.0999	813.4462	2835.972	37.203407	605.75	905.7	31999	348.33273	201.29045	615.2372	-100.41086	-364.68542	127.79853	258.6518383026123
9	1055.5725	903.6122	2455.608	-8.346327	2330.552	313.29446	2917.8242	1898.278	553.6667	1000.0	35999	411.00864	219.23328	718.1735	-115.64579	-428.37692	204.38663	303.0859172344208
10	522.52313	850.1875	2967.4941	-104.94163	690.6829	375.23038	1335.384	66.50073	341.58334	467.4	39999	478.6733	240.26593	819.77673	-146.1113	-497.51068	256.79547	339.5092148780823
11	236.16154	505.02255	1139.6532	-474.93027	842.48425	611.9481	1686.3372	-19.762459	368.5	700.2	43999	554.7968	256.505	915.2383	-133.87418	-574.775	353.8877	379.98703956604004
12	514.2521	458.12054	1179.5059	-126.7181	254.63591	164.33336	400.71576	-75.182755	582.125	903.4	47999	615.8605	261.62463	873.8999	-133.1169	-635.227	377.97525	422.3414263725281
13	781.14075	513.78094	1581.6545	64.52004	-314.42767	291.13626	-11.484921	-832.18585	790.8	343.8	51999	658.65106	262.28943	953.59827	-185.02925	-677.1349	412.6698	457.36119198799133
14	164.38118	242.54001	632.47534	-291.16473	-16.94611	127.425644	107.90374	-361.0948	306.64285	153.1	55999	684.8478	260.96576	1080.094	-180.81088	-703.1272	490.09607	489.4663369655609
