Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	135.00554	26.546806	232.47623	82.60525	93.09984	0.0	93.09984	93.09984	20.626944	23.0	3999	41.69511	69.49459	313.9854	-33.343884	-48.860104	9.411783	21.398008346557617
2	134.72925	28.609547	280.34378	93.6963	86.48255	0.0	86.48255	86.48255	20.242424	23.0	7999	254.09268	217.62637	957.86017	-86.0152	-296.64807	82.600006	48.35322666168213
3	93.40003	40.860317	232.72427	56.504585	62.03772	0.0	62.03772	62.03772	17.964125	16.0	11999	1695.2072	1294.7916	7157.0464	-1970.6362	-1934.569	5274.418	74.9002594947815
4	61.701782	1.0310677	62.700405	48.95526	62.03772	0.0	62.03772	62.03772	15.972	16.0	15999	474.03143	1158.7604	4214.1304	-2893.2603	-407.44275	5793.963	101.51435112953186
5	61.744244	0.7357297	66.90659	56.604515	62.03772	0.0	62.03772	62.03772	16.0	16.0	19999	-240.66801	505.3044	1234.4872	-3656.5142	238.08476	3375.808	130.32460713386536
6	61.771553	0.65652347	66.98245	56.836166	62.03772	0.0	62.03772	62.03772	15.996	16.0	23999	-23.669262	289.9805	1765.1151	-3036.6416	14.538926	1000.5042	159.27396297454834
7	61.717945	0.8609756	66.092636	56.749386	62.03772	0.0	62.03772	62.03772	16.016	16.0	27999	35.35241	137.80994	1641.0354	-1580.8806	-32.6612	433.80756	186.9828417301178
8	61.75053	0.664023	63.89923	56.680065	62.03772	0.0	62.03772	62.03772	15.988	16.0	31999	3.8803766	95.793335	782.79047	-1500.0049	-3.077083	181.45811	215.01688408851624
9	61.664703	0.96092933	67.02049	56.481476	62.03772	0.0	62.03772	62.03772	16.016	16.0	35999	-2.4184735	74.41199	628.23224	-1044.7894	3.4807308	108.25897	242.82953476905823
10	61.70351	0.78505856	62.61136	56.50224	62.03772	0.0	62.03772	62.03772	15.992	16.0	39999	-7.1177554	61.238186	334.83173	-831.394	7.942196	88.52584	271.19226002693176
