Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-26.046057	14.20163	24.314054	-69.67938	13.065574	0.017368298	0.12803344	0.375916	-0.43245357	4000	2.1398067e-08	711.24426	-0.03085399	-336.24557	0.9189432	0.013658028	0.183	79.0	8.396748304367065
1	-28.784698	13.288119	7.988687	-82.215294	13.009772	-8.071276	2.4315834	7.137218	-9.527931	8000	3.0994414e-08	410.49466	-0.029162798	-208.76479	0.91034395	0.015116159	0.16925	73.0	16.813549995422363
2	-26.486782	13.726763	24.510275	-81.008	12.858065	-15.021375	1.414161	10.679745	-15.41781	12000	9.8228455e-08	183.62463	-0.02697654	-64.33266	0.91167456	0.015134217	0.17	57.0	25.123564958572388
3	-27.66975	13.718762	20.939241	-62.377926	12.578616	-18.849316	1.655229	12.958548	-19.195253	16000	5.722046e-09	131.52005	-0.029844016	-36.591095	0.89732623	0.012286359	0.17775	79.0	33.46346926689148
4	-28.674477	13.307114	26.240112	-107.413956	12.769968	-21.799969	0.95288354	4.680748	-22.045002	20000	3.182888e-08	101.205795	-0.031949565	-15.379456	0.891874	0.013313991	0.19425	79.0	41.79128336906433
5	-28.585373	12.6201515	9.505454	-72.10255	12.459375	-23.904114	0.8274705	-5.424525	-24.096058	24000	-4.7683715e-09	68.20453	-0.03408203	-5.154976	0.8840387	0.013021953	0.19275	79.0	50.190101146698
6	-27.758802	13.93578	12.8977375	-95.94266	12.935065	-25.045795	0.8944457	-3.0342653	-25.24768	28000	2.384186e-10	82.8434	-0.018846616	-2.070366	0.8762645	0.015491789	0.17875	16.0	58.213440895080566
7	-27.848814	13.100416	20.440567	-68.32428	12.773163	-25.250208	1.1349081	1.1469774	-25.534851	32000	-1.9073487e-09	71.1406	-0.035124168	-2.1567001	0.8703102	0.014231414	0.20275	79.0	66.65907597541809
8	-28.288696	13.335529	5.4427857	-75.82502	12.596214	-25.479391	0.7208181	-7.512606	-25.657707	36000	-5.2452087e-09	78.74018	-0.0340255	-1.0575104	0.8612321	0.013581384	0.17325	79.0	75.07706761360168
9	-27.841911	12.922797	7.1855025	-64.679436	12.589906	-25.814318	0.60304916	-9.2670555	-25.96483	40000	7.152557e-09	67.80646	-0.035654377	-1.2878036	0.85815763	0.010969767	0.19825	79.0	83.55570125579834
10	-27.581978	12.923214	16.145674	-77.271774	12.861736	-26.00281	0.87842816	-8.635799	-26.194656	44000	1.001358e-08	76.23698	-0.038755316	-3.7657013	0.8440659	0.011149848	0.2155	79.0	91.98608589172363
11	-26.527271	13.308841	18.734818	-63.92093	12.72293	-25.965647	1.3690747	1.7530609	-26.236681	48000	-5.00679e-09	81.42357	-0.02308424	-2.5402374	0.8341521	0.015217373	0.1525	23.0	100.03396034240723
12	-27.051807	13.14616	36.299755	-68.540085	12.436137	-25.340723	1.3708346	5.9875236	-25.646545	52000	-8.5830685e-09	74.05428	-0.03826381	-2.5558853	0.83107615	0.013409351	0.20625	79.0	108.4303970336914
13	-28.570656	13.676436	41.756313	-73.30679	12.747603	-25.356874	1.4128544	9.797566	-25.698095	56000	-2.6583672e-08	88.90125	-0.03786137	-3.296486	0.827454	0.012513199	0.206	79.0	116.79958724975586
14	-27.773388	12.758762	29.150505	-68.13624	12.679365	-25.864834	0.639886	-15.970826	-26.047127	60000	1.66893e-08	68.61005	-0.03766407	-1.693779	0.81331885	0.014139494	0.17625	79.0	125.15075635910034
15	-27.359787	13.358504	21.873732	-61.49228	12.575472	-25.76505	1.2828578	3.82591	-26.005745	64000	-8.5830685e-09	78.454216	-0.010583524	-3.644844	0.8163743	0.015971245	0.21825	6.0	133.1632354259491
16	-27.825798	13.238694	4.3184013	-77.166016	12.738853	-25.126577	2.1151237	16.101936	-25.495155	68000	-4.053116e-09	80.08984	-0.040757358	-8.369072	0.81609464	0.011261727	0.199	79.0	141.49058055877686
17	-27.101097	12.873046	31.666956	-72.75963	12.514107	-25.830687	0.49502942	-18.8123	-26.01432	72000	4.2915342e-09	71.8798	-0.02034514	-1.8102188	0.8131837	0.015208853	0.1365	21.0	149.53555631637573
18	-26.676807	12.481689	26.035276	-102.51151	12.478125	-25.520414	0.58853763	-14.69726	-25.672388	76000	-3.9339065e-09	70.556244	-0.039663486	-4.161392	0.81111383	0.015021148	0.21525	77.0	157.9292299747467
19	-28.96415	12.72748	18.94144	-79.01264	12.556603	-24.910221	2.6300554	8.616627	-25.511885	80000	1.3828277e-08	81.47354	-0.045481615	-10.618423	0.800542	0.010168438	0.23275	79.0	166.30720686912537
20	-27.770767	12.855641	21.095522	-62.071327	12.532915	-25.771317	1.4050305	0.06188865	-26.115675	84000	2.3841857e-09	76.095345	-0.00893745	-5.0625534	0.7873558	0.015255954	0.18	6.0	174.32404279708862
21	-26.931438	12.672612	19.972109	-63.25312	12.566038	-25.399199	2.4162748	12.273389	-25.978481	88000	-4.768372e-10	72.92527	-0.0067122434	-7.2335052	0.7873979	0.016439589	0.205	5.0	182.26543498039246
22	-26.451744	13.311452	7.411434	-74.30334	12.374613	-25.21777	1.0120103	-5.8362517	-25.516033	92000	-5.4836273e-09	77.040726	-0.03857894	-8.120651	0.78707016	0.015024284	0.20925	62.0	190.54823088645935
23	-27.900454	13.273514	23.292307	-62.64715	12.68254	-25.34179	2.5576305	11.943886	-26.044704	96000	4.2915342e-09	77.85218	-0.035269056	-7.62278	0.78261346	0.015132652	0.204	46.0	198.6872878074646
24	-26.53501	14.555521	44.971462	-78.8388	12.454828	-25.5551	1.6896689	2.6211345	-26.00913	100000	1.0251999e-08	82.62932	-0.040404778	-3.8253326	0.7723121	0.01376658	0.207	79.0	207.02387619018555
25	-26.684866	13.141987	21.509748	-78.955894	12.211009	-25.228678	2.1407769	7.8524475	-25.764664	104000	1.5735626e-08	75.16591	-0.042279605	-9.559357	0.76776755	0.015022096	0.227	69.0	215.41561222076416
26	-27.351635	11.819969	18.608074	-64.04639	12.302469	-25.169214	1.9687278	0.27433032	-25.731056	108000	5.9604646e-09	61.439495	-0.046737753	-4.5934563	0.76007736	0.0137236025	0.23	79.0	223.84088587760925
27	-27.48721	12.773392	20.925268	-58.762962	12.954545	-25.130999	1.9987525	6.0758204	-25.776375	112000	-1.1920929e-09	74.35906	-0.041307125	-7.1408157	0.76118886	0.008685844	0.21775	79.0	232.2317726612091
28	-26.704866	13.141085	24.953308	-57.69728	12.7293	-25.441755	1.2230108	-4.3327136	-25.828957	116000	1.001358e-08	70.18639	-0.043724135	-3.0604782	0.7551583	0.012521533	0.22475	79.0	240.6335849761963
29	-27.240055	13.182935	14.496726	-67.87014	12.239264	-25.242464	1.675832	-1.460985	-25.881855	120000	-1.0251999e-08	70.74257	-0.036578756	-7.24189	0.7467238	0.015006949	0.20475	38.0	248.79666233062744
30	-26.989176	12.656149	17.489899	-67.53436	12.3529415	-25.463594	2.092238	-3.706591	-26.239481	124000	-4.7683715e-09	71.74142	-0.043481357	-5.8713837	0.7473655	0.015003357	0.23225	74.0	257.1680681705475
31	-27.834602	12.594045	50.72354	-61.439693	12.217125	-25.280329	0.9292492	-16.863323	-25.831749	128000	6.9141386e-09	67.481865	-0.034469727	-9.392712	0.72719586	0.015041356	0.183	47.0	265.3619194030762
32	-27.433971	13.23394	21.512793	-66.97617	12.260736	-25.760822	1.7347397	-2.6070669	-26.435478	132000	-7.390976e-09	72.456	-0.009079095	-5.9226456	0.72144884	0.017041216	0.1985	5.0	273.34759998321533
33	-28.699451	13.493302	42.40456	-121.38233	12.569182	-25.450216	2.182989	8.212037	-26.517221	136000	7.629395e-09	85.151146	-0.0068630837	-12.140381	0.72108865	0.018325234	0.187	4.0	281.29406666755676
34	-28.44953	13.191342	23.025074	-79.99036	12.436137	-25.935345	2.224613	-8.008839	-27.590025	140000	1.2159347e-08	66.74988	-0.0052192626	-9.976013	0.72077984	0.017590914	0.18675	4.0	289.32964062690735
35	-27.308176	12.980597	7.427395	-72.23071	12.372671	-26.064142	2.2133245	-4.046829	-28.589787	144000	-8.9406965e-10	69.532814	-0.036592815	-9.584202	0.7206978	0.015028495	0.19275	50.0	297.6603755950928
