Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-26.420967	14.110262	16.961267	-62.12757	14.876865	0.015798666	0.11109863	0.3713864	-0.35113996	4000	1.2922287e-07	693.0651	-0.021748327	-361.37793	0.9189432	0.015012557	0.14725	52.0	8.247184753417969
1	-26.618357	14.919003	19.867489	-72.7487	14.821562	-8.955286	0.719155	-2.992748	-9.56179	8000	3.4689904e-08	341.70026	-0.023703784	-156.51195	0.9154546	0.01315876	0.16525	79.0	16.636077880859375
2	-26.16378	14.482763	26.311125	-59.91695	14.947565	-14.926183	0.29062086	-11.356966	-15.078015	12000	-1.5497207e-08	176.7287	-0.022296937	-62.89029	0.89907044	0.015040571	0.15725	51.0	24.861396074295044
3	-27.82241	15.819182	22.849676	-80.611664	14.701107	-18.764177	0.3307659	-7.9486427	-18.872677	16000	4.529953e-09	140.78142	-0.025945498	-32.546516	0.89785993	0.015131375	0.18075	74.0	33.200942039489746
4	-27.43359	14.721402	17.888788	-65.06629	15.263359	-21.665537	0.33177185	-13.312162	-21.760822	20000	8.34465e-09	98.609276	-0.026522914	-10.657387	0.89467114	0.011717824	0.167	79.0	41.56392979621887
5	-26.463137	14.094847	10.033291	-62.367165	15.136364	-23.087116	1.1599889	0.21906562	-23.387207	24000	5.1259996e-09	77.80618	-0.015430527	-4.0640793	0.8850943	0.015498627	0.158	17.0	49.5776789188385
6	-26.20913	14.730306	40.920456	-64.36623	14.910448	-23.983242	1.0888536	-6.340566	-24.268026	28000	-3.8146974e-09	77.1668	-0.025284069	-2.7302322	0.88166744	0.015190735	0.17925	75.0	57.96422338485718
7	-27.020292	14.2045	13.292578	-70.181175	15.132576	-24.713434	0.24928379	-19.741537	-24.812563	32000	1.4185906e-08	74.9708	-0.029705545	-2.1310806	0.87131286	0.009903408	0.1785	79.0	66.3070821762085
8	-25.341059	14.606025	13.124645	-61.46675	14.756457	-24.904839	0.9560877	-5.8657885	-25.185747	36000	1.0251999e-08	79.39554	-0.023664767	-2.8225098	0.8641093	0.015093154	0.15075	52.0	74.52409672737122
9	-26.350649	14.866636	17.87541	-74.831726	14.869403	-24.360855	2.4100626	5.005986	-25.064976	40000	1.07288365e-08	87.59974	-0.027709946	-6.194336	0.85054094	0.011203404	0.17175	79.0	82.87655282020569
10	-25.260227	15.535156	66.73879	-68.46571	14.984962	-24.989925	1.3607457	-0.99914813	-25.389214	44000	2.7418137e-09	89.16334	-0.015598775	-4.693611	0.8593215	0.015517869	0.14975	18.0	90.92382550239563
11	-25.967987	15.020447	20.762165	-67.60832	15.05283	-24.566664	1.7783098	-0.7837652	-25.324806	48000	1.2874604e-08	82.737656	-0.019940898	-3.0069733	0.8604015	0.0150546525	0.15475	31.0	98.96882319450378
12	-28.233368	15.5805645	10.378875	-69.91131	15.413127	-24.289335	2.5708594	1.2806134	-25.486855	52000	-2.861023e-09	90.941345	-0.029440137	-6.078087	0.85632926	0.015168466	0.18325	67.0	107.30226135253906
13	-25.865822	14.46096	18.661724	-56.93433	14.766666	-25.188196	1.8956145	-2.655232	-26.101133	56000	6.556511e-09	76.36993	-0.02135372	-5.9576263	0.84613955	0.015123911	0.168	36.0	115.45567417144775
14	-25.39575	15.888799	10.3166	-63.544525	14.910448	-24.770266	2.3098018	1.656781	-25.984978	60000	-1.2516975e-08	87.90788	-0.027800633	-7.6469193	0.84249306	0.015083171	0.18525	60.0	123.75100088119507
15	-25.34388	14.585135	29.93773	-62.803135	14.6373625	-24.1917	2.765449	-1.421054	-26.264126	64000	-1.2993812e-08	72.1467	-0.0297559	-9.538307	0.8440484	0.011888688	0.189	79.0	132.0619330406189
16	-25.986877	15.312744	46.007107	-58.500076	14.803703	-24.27904	3.0959814	-5.419092	-26.783192	68000	-6.198883e-09	78.58687	-0.015247058	-14.181709	0.84517026	0.015054577	0.1225	17.0	140.17929339408875
17	-26.901402	14.367678	10.518306	-65.03484	14.777778	-23.946016	3.7113535	-5.699575	-27.489008	72000	-9.775162e-09	65.97069	-0.03552684	-17.02734	0.8455961	0.011193246	0.20975	79.0	148.52419447898865
18	-26.516964	15.433554	43.56086	-74.9447	14.811111	-24.600903	3.3382635	-9.918434	-28.321218	76000	-2.3841857e-09	64.08197	-0.03423906	-14.727154	0.8362962	0.012612963	0.21175	79.0	156.9082248210907
19	-23.834381	16.36543	34.83176	-62.109478	14.741697	-24.46957	4.3145285	-9.123069	-29.559618	80000	-5.00679e-09	57.440228	-0.020550855	-19.803303	0.8317143	0.015127498	0.15175	21.0	164.89010453224182
20	-27.175991	15.070263	31.868395	-67.95695	14.558394	-23.93818	5.1823316	-4.271057	-30.609203	84000	4.053116e-09	45.89878	-0.036455978	-13.809341	0.83034	0.010432171	0.19075	79.0	173.24794340133667
21	-25.469793	15.2482815	23.947245	-61.069546	14.825279	-24.131367	5.714348	-6.009917	-31.753164	88000	7.1525574e-10	35.35621	-0.035248023	-8.913858	0.823291	0.00588531	0.18475	79.0	181.60450220108032
22	-28.830038	13.612906	3.109907	-62.52833	15.026316	-25.040735	6.0120206	-3.1985145	-32.692528	92000	9.536744e-10	33.190594	-0.03884873	-9.858957	0.80912673	0.012106203	0.22125	79.0	189.97453260421753
23	-24.958796	15.193762	15.966687	-64.58688	15.128788	-24.313082	6.092286	-4.613201	-33.8137	96000	-1.502037e-08	30.097166	-0.03754836	-9.800005	0.7959674	0.015011491	0.1995	78.0	198.35686111450195
24	-27.28527	14.854842	54.89361	-66.23694	14.434783	-25.182219	6.4410377	-2.6984155	-34.209263	100000	8.8214875e-09	25.133644	-0.03779262	-5.710726	0.78677666	0.011376258	0.21025	79.0	206.78050470352173
25	-27.573603	14.27555	18.677275	-78.99155	14.415162	-24.83772	6.879695	-1.4454212	-35.150383	104000	-5.6028364e-09	20.74124	-0.040301956	-4.427744	0.77887684	0.008964896	0.20275	79.0	215.17638206481934
26	-25.20826	14.119438	14.596166	-59.490437	14.752768	-24.040155	7.1073256	-1.0674893	-35.56888	108000	-1.9073487e-09	19.64353	-0.04093008	-5.3491306	0.7733083	0.011631649	0.2095	79.0	223.5437572002411
27	-26.106613	14.059276	19.964775	-60.31802	14.921641	-24.644032	7.4150624	-0.24471387	-35.954773	112000	6.9141386e-09	15.574778	-0.020832684	-3.508338	0.769743	0.015136625	0.134	20.0	231.5737578868866
28	-25.044096	16.143795	82.80793	-68.9785	14.855019	-24.158545	7.2891655	0.14201868	-36.01308	116000	-3.5762786e-09	20.203032	-0.037541647	-4.4425325	0.7634713	0.008479372	0.20275	79.0	239.93940925598145
29	-26.270535	15.03865	22.461193	-66.452034	14.884328	-24.573648	7.6188736	1.4517287	-36.70709	120000	1.2397766e-08	18.985968	-0.04206373	-5.435219	0.75822985	0.012149001	0.2095	79.0	248.34058284759521
30	-26.69315	13.987985	9.06302	-63.076107	14.7703705	-24.686382	7.6700797	1.6217377	-37.4071	124000	-1.3351441e-08	14.762392	-0.042663813	-4.697255	0.7635039	0.012429585	0.197	79.0	256.7435932159424
31	-26.75224	14.60119	32.317677	-66.529045	14.676471	-24.90123	7.458508	1.535919	-37.315712	128000	1.9073486e-08	17.159634	-0.045734394	-5.7750683	0.7555732	0.0149486745	0.23225	79.0	265.09229016304016
32	-25.777739	14.734164	18.135164	-66.80153	14.781482	-24.502626	7.9529276	1.973828	-37.89552	132000	5.722046e-09	14.664247	-0.019003749	-4.567294	0.75298864	0.015345268	0.17725	14.0	273.0817701816559
33	-25.8738	13.946745	40.377945	-60.53667	14.654411	-24.607914	7.2719483	2.1020055	-38.320312	136000	3.8146974e-09	14.110254	-0.027852569	-4.659749	0.7511876	0.015017608	0.187	28.0	281.10412430763245
34	-24.648216	14.6829815	12.284406	-64.43309	14.572992	-23.912117	8.030814	2.0024493	-38.77003	140000	6.6757204e-09	11.528537	-0.0430242	-3.6486292	0.74135476	0.012571922	0.2215	79.0	289.48235416412354
35	-26.090796	14.7374935	35.565586	-65.672035	14.59854	-24.298092	7.761083	1.8729354	-38.97837	144000	-1.001358e-08	14.335576	-0.039541014	-3.7888355	0.7407717	0.012323246	0.214	79.0	297.81206583976746
36	-25.379435	15.646553	33.080738	-75.09048	14.884328	-24.25308	8.035831	2.4406915	-39.08982	148000	2.861023e-09	15.576038	-0.034499124	-5.1373405	0.73719704	0.015044593	0.19625	45.0	305.9899778366089
37	-27.143795	13.751573	25.03389	-62.684757	14.8364315	-24.684559	7.9025955	4.343555	-40.153713	152000	-2.861023e-09	10.487319	-0.04357136	-3.726398	0.73325694	0.007899138	0.23175	79.0	314.2205185890198
38	-24.99482	14.233419	16.886366	-61.00356	14.644689	-24.474806	7.7001166	3.4551775	-39.429237	156000	-2.2649764e-09	10.479157	-0.025148874	-3.8033724	0.7233896	0.015160202	0.18925	20.0	322.2524905204773
39	-26.856503	14.992946	25.443342	-61.212963	14.538182	-24.281265	8.316866	3.1239352	-40.114155	160000	6.437302e-09	15.640508	-0.041464172	-6.028762	0.7203367	0.015087847	0.24125	74.0	330.57477140426636
40	-25.964966	15.472223	18.582867	-58.297577	14.554745	-24.169317	8.610887	4.553929	-40.475727	164000	-2.384186e-10	11.792027	-0.028430847	-4.997325	0.7080915	0.015092129	0.163	28.0	338.6706454753876
41	-25.313448	14.579671	26.397081	-72.33049	14.471014	-24.265888	8.126662	4.906027	-40.89561	168000	-3.004074e-08	11.783059	-0.009350996	-4.346872	0.70548207	0.015328226	0.18775	5.0	346.6182384490967
42	-26.151157	14.010061	13.662951	-67.79093	14.756457	-24.128578	8.037478	4.998495	-40.72679	172000	-1.2874604e-08	9.488185	-0.038553	-3.9039068	0.7055276	0.015040407	0.20025	52.0	354.7936096191406
43	-25.713356	14.707769	48.105072	-67.143906	15.098485	-24.216692	7.7485185	4.6122475	-42.163883	176000	2.002716e-08	11.582713	-0.04073554	-4.7366996	0.7013244	0.015021897	0.23275	55.0	362.98131012916565
