Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-27.70705	12.703601	7.8242965	-64.28671	-27.44602	5.8148217	-14.433622	-32.78696	12.615142	13.7	3999	-10.678772	9.457896	24.325806	-33.976723	-10.676485	9.457846	24.467281	-34.894535	-0.110291146	2.0374453	9.817367	-12.377247	9.520191	6.166474	35.59588074684143
2	-27.479374	12.548077	9.000444	-79.4184	-31.58816	10.402371	-9.748446	-47.642673	12.158054	13.2	7999	-18.502449	9.307767	28.348515	-40.779896	-18.50232	9.303299	27.487932	-39.73229	-0.25613725	1.9248264	11.286631	-12.474319	17.611395	2.8726928	80.61663317680359
3	-28.173822	17.673664	18.299051	-173.19885	-43.683315	32.775475	28.594786	-100.9042	14.660517	22.5	11999	-10.914842	23.34065	106.89184	-80.05603	-10.912921	23.339043	110.29669	-72.412384	1.6304655	3.5908823	29.315548	-13.137053	7.240715	8.458859	126.50388216972351
4	152.25804	726.8479	3871.3738	-150.45828	67.52089	140.04483	380.24377	-37.860157	121.36667	52.5	15999	-11.197925	32.989708	155.22038	-54.938736	-11.198499	32.98743	156.02098	-54.32716	0.17078449	2.6529734	16.427814	-14.005931	9.936961	9.894891	172.67460680007935
5	215.67346	886.98694	4624.079	-61.404224	273.32523	450.45273	1415.6819	-39.177376	69.95082	116.4	19999	16.71975	67.53358	238.20883	-58.621452	16.719149	67.53136	236.96602	-57.333916	0.8485727	3.100899	19.91219	-12.2577305	-18.321112	21.88777	221.23552250862122
6	334.19507	824.15106	4131.7544	-45.54946	129.34903	162.55495	416.31265	-46.11368	98.78049	80.2	23999	51.38306	100.13673	354.15894	-63.04681	51.382027	100.13063	355.34274	-62.35969	1.5696642	3.4911122	24.823164	-12.8600025	-53.793793	45.856308	265.98280572891235
7	814.4231	1529.0546	5013.161	-34.2402	2156.6929	2486.9172	5951.2124	-37.59878	219.27777	444.8	27999	92.51699	136.23695	504.84747	-64.76634	92.51509	136.22983	498.591	-61.17406	2.549987	3.9593492	26.219105	-14.962572	-96.116844	88.112404	315.3781816959381
8	1987.7838	2929.246	8270.046	-35.160625	6974.3984	8556.387	18606.002	-39.16266	353.33334	419.7	31999	153.80365	180.65799	613.7398	-61.8141	153.80206	180.6543	612.1283	-60.65677	3.4966724	4.277716	29.501009	-10.958266	-158.46356	159.79512	367.0661721229553
9	7525.9243	7779.537	17695.94	-38.355568	3479.9702	5342.2896	12037.772	-39.71318	497.75	310.8	35999	243.41273	245.15536	788.8281	-70.085	243.4119	245.1504	787.69476	-61.959858	4.526772	4.6887755	34.785038	-12.808157	-249.67519	325.0183	418.08128809928894
10	9901.436	8685.38	18952.008	-31.010637	5504.634	8448.138	18798.854	-43.48866	570.5714	307.8	39999	369.4966	331.49887	981.3758	-75.01988	369.4965	331.49652	979.33966	-63.286736	5.173347	4.6531935	34.148212	-10.668979	-377.13287	549.77747	468.8239254951477
11	14607.552	7343.366	19239.691	-33.23443	10960.734	9007.422	19136.328	-59.246376	794.6	607.3	43999	504.2652	411.3123	1143.3329	-73.39238	504.26245	411.31296	1138.2406	-80.01877	5.656012	4.528339	32.1289	-9.4324255	-512.7283	979.6256	524.1200699806213
12	7390.675	9116.333	18983.164	-126.28128	12795.943	8401.104	19175.46	-47.534683	407.8	719.3	47999	642.62195	478.19183	1288.6995	-80.594574	642.62225	478.19092	1281.4988	-88.75498	6.1699924	4.600608	44.401382	-11.790619	-652.5496	1383.9435	581.4728670120239
13	4992.2065	7945.4165	18183.682	-44.034855	7508.8623	9219.808	19111.273	-56.72387	288.7143	421.3	51999	769.6847	528.0832	1392.402	-105.16313	769.68286	528.0918	1396.5486	-98.33365	6.4699244	4.5771885	42.067043	-10.088219	-780.69055	1882.5627	634.2810220718384
14	11828.22	8524.94	19281.309	-29.070004	14629.424	7347.455	19029.924	-76.11133	649.6667	802.9	55999	887.9752	559.97943	1483.7443	-112.15582	887.9755	559.9871	1488.5446	-105.205284	6.662385	4.427887	40.141422	-9.840289	-899.8066	2245.496	694.2386176586151
