Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-26.873886	14.732149	21.513205	-67.41656	-12.034818	35.606644	70.34872	-47.931885	15.540856	23.8	3999	-9.029672	10.278184	28.43988	-36.61639	-9.028535	10.277313	28.451302	-36.11704	-0.2982795	1.9130647	9.795128	-11.0407	8.1192255	5.5663896	46.70595598220825
2	-28.019732	17.106691	36.931034	-85.78113	8.488417	59.20414	119.2915	-47.652206	15.132576	42.1	7999	-16.12455	11.355515	53.847027	-42.143837	-16.124187	11.351698	54.114582	-42.294186	-0.054324836	2.0275364	10.876157	-11.24522	15.037338	3.1009948	106.01178908348083
3	-23.693443	31.129736	212.451	-75.28465	274.24594	531.70276	1785.4652	-50.387756	20.77564	153.3	11999	-16.173206	17.368263	92.54481	-55.105545	-16.172646	17.362892	93.13517	-56.37814	0.18820563	2.416246	15.114101	-14.698418	14.844797	3.9670246	201.29273915290833
4	2458.897	1972.8796	4968.5415	-32.476463	527.4642	666.35095	2373.9536	-36.984444	649.3333	229.9	15999	6.855074	48.773643	168.44658	-58.22701	6.8558545	48.769566	168.69913	-59.849575	0.95866865	2.9771845	16.592625	-11.67824	-8.778728	10.210628	396.7718367576599
5	1522.4785	1662.1031	4856.63	-57.461025	2140.7834	3922.84	13494.474	38.043076	353.30768	263.2	19999	51.35843	84.55269	278.21692	-56.636356	51.360435	84.5473	273.87503	-56.243053	1.9300444	3.4313762	19.683775	-12.3145685	-54.68549	32.37091	475.3036789894104
6	3276.1426	1973.3649	5902.66	-47.553158	7074.2236	3756.8901	11635.87	-8.4221115	647.6667	818.9	23999	106.09801	120.35721	390.02823	-57.478786	106.0997	120.358604	395.80383	-59.128468	2.769855	3.65887	22.893976	-12.699379	-110.85308	65.33282	550.0784261226654
7	4870.85	6138.4	15176.829	-32.54562	8602.914	3639.1287	13898.556	214.72664	467.875	909.2	27999	174.7935	160.45973	558.93994	-57.385067	174.79442	160.4571	556.5325	-57.106106	3.7857056	3.9273374	24.83942	-12.992469	-181.04848	138.57756	631.3999898433685
8	9108.954	7649.0483	17167.389	115.16527	14936.947	5227.323	18751.994	-11.301324	576.5714	907.0	31999	295.9015	244.16452	800.81946	-62.107735	295.90173	244.16397	800.71387	-61.68696	5.176463	4.3394113	26.334372	-11.957695	-305.19476	396.2082	721.4609775543213
9	12189.919	6973.462	18929.855	-30.014843	16618.363	5522.082	18958.586	80.715614	726.0	907.2	35999	458.79703	331.36295	995.5326	-80.68968	458.7965	331.35422	997.64575	-82.44791	5.89511	4.4448695	31.246529	-12.71012	-470.61047	748.5425	798.2547659873962
10	14321.646	7219.113	18814.242	-27.917181	18783.236	318.21136	19354.629	18319.195	800.8	1000.0	39999	619.6022	391.98013	1147.8059	-108.1404	619.60706	391.9772	1144.3501	-103.90276	6.2516637	4.413167	32.106422	-11.496714	-633.16327	1208.0753	882.5182204246521
11	17780.88	1062.2235	18879.064	16277.505	10230.683	5802.059	16387.201	-31.560198	995.75	811.7	43999	763.51416	436.53558	1276.8164	-122.50278	763.51447	436.53757	1274.1177	-122.049904	6.3999705	4.2453384	36.064137	-10.754557	-777.9664	1712.3972	969.1105797290802
12	17733.553	827.4557	18656.771	16754.912	15811.776	2152.032	18132.168	11431.09	1000.0	1000.0	47999	887.4483	463.8648	1386.1868	-154.83817	887.4464	463.85892	1380.812	-148.6375	6.395618	3.992051	37.68131	-13.750036	-902.60126	1889.8756	1068.6772792339325
13	18255.406	523.3107	18730.742	17371.523	18916.934	146.92227	19172.816	18653.314	1000.0	1000.0	51999	992.52625	484.91876	1457.8085	-175.6503	992.52856	484.90656	1454.1115	-171.76932	6.4849825	3.9360876	39.883015	-10.729498	-1008.4728	2400.839	1149.5592665672302
14	18208.023	247.12271	18482.893	17839.414	19063.945	624.9421	19567.17	17296.549	1000.0	1000.0	55999	1085.4851	498.31714	1523.7535	-153.80266	1085.4902	498.30045	1522.2373	-148.05983	6.4731035	3.834891	45.17091	-9.655092	-1101.5214	2858.1045	1231.8541417121887
15	17116.605	658.6068	17906.902	16077.956	16438.246	5411.363	19011.191	294.1442	1000.0	913.2	59999	1169.9684	505.18555	1585.0095	-117.43513	1169.9716	505.16678	1583.4922	-106.874954	6.662089	3.8271828	38.026554	-10.397837	-1186.4003	3363.632	1321.0075454711914
16	18137.127	549.7641	19030.705	17530.834	15098.683	5839.1665	19165.172	-66.82596	1000.0	867.1	63999	1242.0391	511.23618	1626.3104	-106.2235	1242.0385	511.247	1626.118	-109.309784	6.7404256	3.7741914	43.220016	-10.7001705	-1257.8016	3503.4045	1398.1646358966827
17	15015.553	7535.8096	19224.76	-43.1671	18783.111	731.5344	19308.03	16981.295	812.4	1000.0	67999	1302.7885	512.35754	1679.3843	-107.72874	1302.7893	512.354	1679.7307	-109.53149	6.755887	3.66063	48.875732	-10.580376	-1318.0815	4033.1995	1479.1898293495178
18	17720.12	1269.3911	18841.197	15689.691	18040.691	1305.7168	19171.629	15205.427	984.5	1000.0	71999	1347.325	519.3524	1718.2228	-117.350136	1347.3312	519.3443	1717.5115	-120.77566	6.7408857	3.546475	47.58785	-10.675902	-1361.487	4172.7925	1546.899572610855
19	17443.387	937.03894	18517.66	15939.295	11898.094	3760.0364	16430.672	4911.0015	1000.0	1000.0	75999	1394.1056	520.81195	1751.8918	-116.32753	1394.1132	520.7963	1753.4794	-107.90073	6.81206	3.5233448	47.22579	-11.055486	-1408.646	4525.203	1615.594752073288
20	18138.832	662.7441	18897.504	17123.31	13848.641	6173.13	18818.852	876.8288	1000.0	839.3	79999	1433.0295	516.1312	1782.5597	-131.81233	1433.0298	516.13684	1778.6332	-132.30241	6.701058	3.4561446	45.32437	-9.570661	-1446.98	4100.157	1682.6439900398254
21	17957.84	1303.5935	19249.895	15829.153	18758.723	708.8147	19243.941	16691.52	1000.0	1000.0	83999	1463.1106	511.96036	1805.4015	-145.06056	1463.1128	511.95068	1810.1053	-151.60846	6.6015277	3.451067	64.483734	-9.996192	-1476.4855	4617.1416	1752.6510918140411
22	19065.738	273.1785	19335.91	18613.709	18917.504	375.17322	19334.148	18165.877	1000.0	1000.0	87999	1492.1653	508.20462	1823.8973	-146.7424	1492.1621	508.20633	1827.1194	-172.01495	6.6257343	3.4240355	50.837112	-9.423943	-1505.7107	4992.826	1824.1883025169373
23	15141.6875	7600.6646	19410.232	-36.75317	17086.531	1543.8142	19166.014	15285.711	808.8	1000.0	91999	1517.1251	506.70374	1850.9438	-124.40933	1517.1251	506.70572	1846.8835	-124.04366	6.5313573	3.349628	54.877068	-10.269475	-1529.9812	5067.2305	1895.912945985794
24	17669.363	978.631	19128.941	16720.486	18921.322	270.29233	19152.818	18236.256	989.0	1000.0	95999	1538.796	499.41196	1858.6493	-141.27742	1538.7983	499.40582	1863.1538	-125.95028	6.49655	3.4034226	69.31079	-10.024846	-1551.31	5122.9634	1967.4738037586212
25	18581.84	191.70058	18780.168	18307.213	16795.855	5630.585	19334.877	12.910762	1000.0	905.6	99999	1553.6505	496.89917	1869.9098	-174.1213	1553.6509	496.90405	1865.7455	-136.13556	6.370922	3.4310362	56.67377	-11.835205	-1565.0265	4831.402	2037.8065752983093
