Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-29.140532	14.215139	20.200886	-116.52324	-30.959473	24.420347	18.673689	-86.509445	12.426791	15.1	3999	-8.034623	8.685561	21.496996	-33.78552	-8.0352125	8.688085	21.118319	-33.78961	6.533055	6.578833	27.875614881515503
2	-28.121273	14.129885	13.269628	-93.02071	-31.192282	12.435574	-4.7426715	-55.174725	12.733334	14.7	7999	-17.11683	10.504227	30.966244	-53.37666	-17.116222	10.499608	30.356121	-54.16979	15.732552	3.6357193	63.822672605514526
3	-27.85198	15.9566145	30.107944	-105.77274	-25.365715	13.488539	3.5717704	-43.24624	14.017544	14.2	11999	-23.43394	9.933389	33.482986	-67.64251	-23.43444	9.928195	33.162033	-68.36332	22.091137	4.090641	100.01940560340881
4	-21.356913	21.510063	78.45802	-65.65964	-27.113836	17.753763	12.2296095	-58.065514	14.60584	12.1	15999	-24.383993	10.954923	47.64504	-66.3119	-24.38413	10.954483	50.476837	-67.49734	23.158794	3.877402	135.55595135688782
5	5.007358	151.56593	1345.9197	-80.05885	173.62947	528.105	1744.8763	-55.772278	23.898203	72.4	19999	-22.034765	16.047943	64.124596	-71.33806	-22.035032	16.047945	63.542305	-69.927345	20.67111	4.1539316	171.01732659339905
6	149.00499	550.3648	3482.7175	-49.75262	633.0724	1280.1151	4239.009	-45.522266	57.274193	173.4	23999	-10.715517	33.058342	118.03992	-73.573	-10.715164	33.05907	117.79972	-73.22525	9.02693	6.140291	207.6411898136139
7	490.62582	1140.4188	4963.433	-50.77564	-1.6250136	62.837242	184.4815	-38.533844	137.54839	28.1	27999	6.4850984	52.619637	183.8819	-73.23345	6.4857073	52.62159	185.12935	-74.35881	-8.673011	13.412594	241.07658767700195
8	262.88547	527.411	2122.0583	-50.498234	50.505352	137.94965	361.8232	-40.13618	72.293106	38.6	31999	26.520287	72.056366	243.85973	-79.58548	26.52069	72.06204	245.70366	-77.96604	-29.573343	22.495424	277.30575799942017
9	782.7111	1678.948	8419.708	-71.04822	2687.1135	4110.81	10349.6875	-37.56416	149.96	316.3	35999	48.783695	94.2507	312.30618	-76.59186	48.783417	94.26114	313.6497	-75.390366	-52.845936	35.577545	320.34736371040344
10	5815.1133	6285.0566	15213.098	-59.990696	5466.161	8286.118	18382.068	-39.34725	473.14285	313.9	39999	85.17748	127.69288	434.99326	-74.18919	85.17818	127.701614	433.23334	-78.18985	-90.82725	68.128044	362.269339799881
