Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-28.546715	17.272974	59.923767	-85.49195	-20.080978	20.500515	16.865713	-51.331192	15.920319	18.1	3999	-5.644667	9.20157	30.130754	-31.576458	-5.6461043	9.202201	30.020233	-30.824474	3.8213854	5.224832	37.5679714679718
2	-28.964869	15.23964	16.617891	-82.371895	-24.550776	17.21164	7.94628	-46.84153	15.037594	17.8	7999	-12.022095	12.303313	59.07657	-39.089096	-12.022896	12.307892	59.83731	-37.600136	9.988216	2.9156272	79.5423858165741
3	-17.114986	39.8501	311.32242	-88.62612	-5.49483	38.135513	68.40494	-62.46659	21.661201	48.7	11999	-17.18649	14.443237	80.324104	-47.050713	-17.186626	14.446254	81.8659	-47.56436	15.066371	3.9084318	117.07535743713379
4	142.05495	346.80246	1772.6193	-185.74687	313.3573	571.2302	1455.7471	-80.19807	125.90323	185.6	15999	-11.910342	26.139486	113.33401	-67.41403	-11.91021	26.143955	114.82122	-62.199764	9.524192	6.52095	159.8143720626831
5	461.79007	859.501	2791.047	-55.945858	860.04504	1460.7565	5150.277	-39.773518	151.03703	243.0	19999	4.725027	43.365795	157.4603	-79.134834	4.725345	43.369434	157.65086	-80.48038	-8.455473	10.878539	204.63763999938965
6	1580.2484	1255.7374	3595.701	116.16722	3049.5789	1512.1837	3859.7468	-36.768673	459.42856	807.6	23999	31.06535	63.800266	197.22351	-80.75442	31.06694	63.80017	195.99452	-82.564995	-36.228603	22.016953	262.66369700431824
7	2466.986	2254.1082	5202.2812	-52.086094	3558.482	1088.952	4254.6597	321.34946	556.5714	911.7	27999	63.0204	82.36976	251.72353	-80.96334	63.021034	82.37024	252.6788	-82.85593	-69.66081	39.956078	318.37270998954773
8	2471.4846	2648.8381	6660.618	-41.735184	1901.7937	1972.2052	5318.6494	-32.645782	476.55554	477.3	31999	98.12722	100.690186	305.9224	-78.056465	98.12909	100.691315	304.1463	-77.54626	-105.48876	59.918686	364.6472327709198
9	4184.069	3164.117	8500.443	-13.904552	5064.2417	3136.374	12489.84	-52.475063	646.6667	823.5	35999	134.33334	118.570335	359.06314	-72.18934	134.33533	118.56834	364.1848	-71.48214	-142.5235	93.777824	417.35431957244873
10	8036.314	1625.5891	10733.771	6404.2188	4100.829	3546.367	10521.865	-30.035782	944.75	435.5	39999	177.856	140.74332	472.45462	-74.343315	177.8561	140.74481	466.72223	-69.85212	-187.43706	156.6276	463.2584021091461
11	8637.737	6068.057	16170.375	66.568695	14135.072	4849.7183	17574.496	-49.677685	703.1429	901.2	43999	233.94421	173.32724	605.50446	-91.75143	233.94485	173.32967	605.6506	-83.48822	-245.84543	231.83934	516.7693917751312
