Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	133.67416	26.053335	213.26721	95.04354	208.01367	0.0	208.01367	208.01367	19.994974	39.0	3999	19.918463	35.1476	137.49973	-33.838627	19.922092	35.153156	137.46457	-34.195133	-22.113657	16.310368	30.072654962539673
2	134.46368	27.92638	236.56259	92.852165	3378.9634	0.0	3378.9634	3378.9634	20.443878	1000.0	7999	55.39521	87.35559	304.51315	-35.615227	55.395565	87.35731	303.01474	-35.003544	-66.94011	15.701858	85.96626114845276
3	254.9735	473.62955	3923.7356	92.27972	4658.429	0.0	4658.429	4658.429	36.84112	319.0	11999	127.1534	148.80994	458.38034	-46.932846	127.15328	148.81331	457.53564	-59.617756	-153.44862	67.28769	127.10340189933777
4	1638.4877	719.32764	3217.0786	521.4522	19670.734	0.0	19670.734	19670.734	160.5	1000.0	15999	244.92477	205.51901	591.2167	-61.959713	244.9214	205.52046	591.6075	-66.508675	-265.37634	71.07745	182.4633502960205
5	2559.266	693.2074	3742.808	1010.6718	4743.4385	0.0	4743.4385	4743.4385	266.93332	1000.0	19999	320.9941	253.05772	723.5006	-64.11095	320.99463	253.05478	721.57806	-64.75759	-344.9431	79.724785	237.4133746623993
6	2490.9807	1943.8942	5993.533	650.65405	2426.518	0.00024414062	2426.5183	2426.5183	256.4	213.0	23999	401.1451	298.4334	839.01575	-79.39986	401.1498	298.42014	840.1379	-90.74954	-422.79935	88.80144	278.7913534641266
7	5730.962	3322.1016	14368.961	2495.7737	10537.932	0.0	10537.932	10537.932	485.22223	1000.0	27999	455.674	344.0538	944.8826	-82.79486	455.6772	344.04883	948.2105	-82.174835	-480.07013	84.991066	333.45832657814026
8	10454.122	1592.6488	12771.181	8271.198	19783.967	0.0	19783.967	19783.967	933.25	1000.0	31999	519.3132	373.56598	1042.551	-60.78886	519.31146	373.5691	1043.8077	-58.283493	-542.9127	138.98172	387.4189853668213
9	13716.347	6387.8374	19196.166	3441.668	19872.623	0.0	19872.623	19872.623	854.0	1000.0	35999	587.55255	398.7095	1117.2091	-72.19209	587.5541	398.7053	1125.9927	-72.86783	-611.1794	218.54147	442.7702248096466
10	19741.125	157.2152	19857.77	19471.59	19818.87	0.001953125	19818.867	19818.867	1000.0	1000.0	39999	676.17426	426.55667	1198.146	-60.09485	676.17566	426.55142	1198.6467	-64.67503	-697.7889	388.18274	497.89109468460083
11	19820.537	23.984228	19852.652	19790.367	19908.848	0.0	19908.848	19908.848	1000.0	1000.0	43999	766.95264	452.65796	1269.5831	-72.73296	766.9549	452.65326	1276.7549	-80.12505	-791.0154	580.6915	553.3374013900757
12	19856.396	7.1427507	19865.133	19845.309	19913.443	0.001953125	19913.445	19913.445	1000.0	1000.0	47999	857.81055	470.88342	1329.2715	-93.404724	857.81213	470.87714	1328.3071	-95.83599	-882.07367	987.0645	608.4080014228821
13	19862.816	19.81335	19896.914	19847.98	19867.893	0.0	19867.893	19867.893	1000.0	1000.0	51999	939.24536	484.19397	1377.7708	-116.4145	939.24585	484.18832	1393.4701	-116.67373	-963.859	1217.0366	663.034942150116
14	19859.87	8.278583	19868.264	19848.045	19785.863	0.0	19785.863	19785.863	1000.0	1000.0	55999	1017.07385	489.78082	1460.3817	-114.09096	1017.0744	489.7833	1474.3796	-170.30443	-1042.2552	1672.1768	718.4934041500092
15	19610.375	228.21593	19854.58	19244.875	19734.312	0.0	19734.312	19734.312	1000.0	1000.0	59999	1085.4861	492.73828	1484.1346	-118.68327	1085.4862	492.74075	1486.8911	-108.75371	-1107.106	1987.1512	774.2657828330994
16	19672.527	224.78447	19848.008	19286.41	19766.113	0.001953125	19766.115	19766.115	1000.0	1000.0	63999	1148.5332	494.53815	1538.6001	-99.260025	1148.5317	494.54404	1548.4248	-102.869194	-1169.8715	2231.732	829.9855999946594
17	19426.494	360.85037	19789.016	18992.135	19810.986	0.0	19810.986	19810.986	1000.0	1000.0	67999	1200.1128	496.09253	1578.6064	-128.70053	1200.1128	496.0914	1572.8458	-117.188805	-1221.6464	2594.68	885.9475841522217
18	19715.91	242.64702	19871.139	19296.428	19932.693	0.001953125	19932.695	19932.695	1000.0	1000.0	71999	1244.9442	492.80164	1602.9584	-160.82326	1244.946	492.79422	1596.8202	-158.66505	-1264.8466	2889.1326	942.778838634491
19	19426.45	379.89688	19871.092	18941.77	10623.421	0.0	10623.421	10623.421	1000.0	1000.0	75999	1283.9421	490.87674	1631.8352	-163.71973	1283.9436	490.8728	1630.9441	-181.21872	-1304.938	3080.88	998.5804193019867
20	19516.047	130.68536	19689.78	19342.793	19899.127	0.0	19899.127	19899.127	1000.0	1000.0	79999	1325.1772	488.74002	1653.6733	-161.48518	1325.1765	488.74197	1651.9764	-157.76323	-1345.3215	3036.685	1054.2311305999756
21	19461.438	377.1737	19823.424	18929.6	19874.371	0.0	19874.371	19874.371	1000.0	1000.0	83999	1367.379	483.58072	1672.5999	-134.54643	1367.3787	483.58304	1669.3695	-178.26132	-1388.5367	2998.0632	1110.150695323944
22	19495.414	333.7598	19841.15	18951.133	19851.777	0.0	19851.777	19851.777	1000.0	1000.0	87999	1399.0854	480.9797	1699.3938	-178.04565	1399.083	480.9806	1694.5854	-210.43979	-1419.2635	3384.4358	1166.3771650791168
23	19671.453	196.495	19838.701	19349.373	19719.707	0.001953125	19719.709	19719.709	1000.0	1000.0	91999	1430.4985	473.82294	1728.3887	-170.21838	1430.4996	473.81927	1737.8909	-183.05173	-1448.856	3962.1208	1222.3796887397766
24	19707.91	112.19002	19807.016	19526.055	19819.191	0.001953125	19819.193	19819.193	1000.0	1000.0	95999	1453.8475	469.65128	1768.7638	-151.9937	1453.8481	469.6466	1771.0237	-157.95193	-1473.8251	3724.6965	1278.8394105434418
25	19302.938	480.02002	19785.682	18774.938	19673.855	0.0	19673.855	19673.855	1000.0	1000.0	99999	1483.0762	464.12497	1781.621	-187.99446	1483.0741	464.13342	1770.1545	-188.29858	-1502.9263	3844.8235	1334.8548183441162
26	18633.805	1246.276	19794.082	16602.94	18919.145	0.001953125	18919.146	18919.146	1000.0	1000.0	103999	1510.3887	460.80786	1771.1198	-204.29306	1510.3917	460.803	1771.4534	-214.7644	-1528.8107	4343.931	1390.9610171318054
27	16828.89	1273.627	18129.586	14894.483	19913.654	0.0	19913.654	19913.654	1000.0	1000.0	107999	1522.9265	454.34735	1765.0638	-192.73032	1522.9265	454.3514	1767.145	-198.17815	-1539.7799	4526.906	1449.639046907425
28	17973.732	1790.0258	19453.164	14969.44	12452.077	0.0	12452.077	12452.077	1000.0	1000.0	111999	1530.7076	447.95386	1773.1637	-251.67188	1530.7084	447.9555	1772.968	-260.94092	-1546.1506	4581.786	1507.5536291599274
29	19485.918	509.98337	19823.879	18605.25	19880.748	0.0	19880.748	19880.748	1000.0	1000.0	115999	1546.8708	438.24008	1778.8604	-256.17072	1546.8723	438.2384	1775.8947	-249.2594	-1561.4568	4684.876	1564.5858018398285
30	19837.174	13.167311	19852.992	19822.73	19806.016	0.0	19806.016	19806.016	1000.0	1000.0	119999	1562.0326	433.85962	1802.9492	-211.34526	1562.0342	433.85916	1804.1587	-199.57024	-1577.0623	4368.003	1621.8648364543915
31	19847.367	7.723674	19857.934	19837.842	19766.156	0.0	19766.156	19766.156	1000.0	1000.0	123999	1580.1633	428.17883	1808.6335	-215.26947	1580.1644	428.17914	1805.9333	-221.05893	-1596.1987	4549.032	1680.1860854625702
32	19853.705	26.016577	19889.33	19816.389	19819.205	0.0	19819.205	19819.205	1000.0	1000.0	127999	1600.0424	419.52792	1848.2908	-226.92265	1600.0422	419.53677	1866.2836	-235.8308	-1615.5045	4287.745	1738.5087897777557
33	19857.586	5.890727	19866.348	19851.375	19665.531	0.0	19665.531	19665.531	1000.0	1000.0	131999	1616.4285	414.50064	2069.1987	-240.46294	1616.4286	414.50702	2106.0012	-239.99539	-1630.6967	4760.078	1796.2083594799042
