Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-28.252512	13.837628	18.712889	-85.703514	12.983767	0.029192433	0.122724235	0.33565474	-0.36743003	4000	-0.0033177529	771.78125	0.0	-358.14868	0.9189432	2.2053719e-09	8.02722978591919
1	-27.966913	14.668843	21.395483	-85.5383	12.9288025	-8.160142	2.0482202	4.761423	-9.538717	8000	-0.02772436	421.499	0.0	-201.93758	0.91894126	3.248453e-09	15.983642578125
2	-28.27554	13.344727	11.481434	-86.28274	12.703821	-14.959714	1.0026163	1.2672906	-15.308489	12000	0.02900706	197.21724	0.0	-74.68639	0.91886586	8.255244e-09	23.944602966308594
3	-27.895756	14.05726	35.660698	-87.75511	12.707006	-19.086649	0.77855486	1.6931976	-19.294333	16000	-0.00511569	135.89056	0.0	-31.214493	0.9188608	2.6226044e-09	31.830132961273193
4	-28.586782	14.865907	40.57857	-88.321556	12.861736	-21.926157	0.3231717	-17.864563	-22.043562	20000	0.014979612	112.464874	0.0	-14.740715	0.918866	3.874302e-10	39.70932340621948
5	-27.709208	13.047975	14.875619	-83.07949	12.71656	-23.8657	1.0494497	2.9224164	-24.06697	24000	-0.027149374	81.85262	0.0	-6.335701	0.91888636	-6.4671037e-09	47.72382044792175
6	-28.747423	14.80531	34.090157	-111.966255	13.272426	-24.658531	1.9030722	10.497105	-25.00796	28000	-0.038967863	107.35781	0.0	-8.0974655	0.9188446	-1.9073487e-09	55.70817160606384
7	-27.802023	13.474561	13.734063	-81.72129	12.9	-25.606112	1.7852969	18.369682	-25.85706	32000	0.040460326	83.50865	0.0	-3.4257965	0.91877884	2.0563602e-09	63.56385612487793
8	-28.105827	14.110055	14.299474	-83.52939	12.63924	-25.893063	0.31976324	-19.94131	-25.987377	36000	0.022495503	86.263336	0.0	-0.26667786	0.91875875	5.6922436e-09	71.63264346122742
9	-26.786964	14.379385	39.336227	-72.08421	12.617088	-25.9357	0.45385295	-15.314142	-26.037416	40000	-0.0023483888	91.13905	0.0	-1.8128815	0.91876805	-3.1292438e-09	79.68526530265808
10	-26.907064	14.003934	19.397093	-74.121	13.029411	-25.345608	1.3889563	-0.3210354	-25.652113	44000	-0.018089084	83.93267	0.0	-2.6817474	0.91877156	-8.642673e-10	87.63324284553528
11	-28.121325	13.076732	11.501893	-64.108315	13.072131	-25.458754	1.0082861	-4.0515714	-25.695658	48000	0.04811813	71.78646	0.0	-1.5988388	0.9187601	1.013279e-09	95.57767963409424
12	-28.075932	13.17594	19.293331	-70.94861	12.915857	-25.861214	1.0297244	-1.8418552	-26.089905	52000	0.01126695	75.85059	0.0	-1.6554565	0.9187873	2.0861626e-09	103.52226734161377
13	-29.176022	15.161995	28.461344	-94.30698	12.915857	-25.83535	0.5700999	-12.448165	-25.974918	56000	0.016487848	107.84909	0.0	-3.3995972	0.91882133	1.4901161e-09	111.5861120223999
14	-26.472662	14.250467	31.713696	-95.72794	13.327759	-26.258863	1.782385	1.3661023	-26.637783	60000	-0.024809431	89.85703	0.0	-4.0001144	0.9188758	-9.6559525e-09	119.62454652786255
15	-27.69731	14.079368	21.35385	-77.799706	13.065359	-25.74923	1.515512	0.18723592	-26.096918	64000	-0.021786587	88.88439	0.0	-7.1319733	0.9188938	5.4240226e-09	127.54265522956848
16	-27.42678	13.890601	29.693783	-76.743385	13.098361	-25.66993	2.084819	8.181098	-26.202044	68000	0.05137791	95.45222	0.0	-8.20472	0.91889054	-4.2021275e-09	135.63114976882935
17	-27.753996	12.911084	15.1865	-55.971172	13.016287	-25.65089	0.4303821	-20.449266	-25.86287	72000	0.0029652352	67.61991	0.0	-1.4490204	0.918932	-1.8775463e-09	143.53312849998474
18	-26.91209	13.090862	12.026396	-58.961166	13.013029	-25.726093	1.0503094	-1.168854	-26.048449	76000	-0.013970373	77.143456	0.0	-2.6571808	0.9189736	-3.3080578e-09	151.59173321723938
19	-27.697405	12.987163	7.7233534	-89.041725	12.964286	-25.127222	1.0842437	-0.113263994	-25.483076	80000	0.019228091	77.20585	0.0	-2.6887054	0.91900015	-7.2419644e-09	159.37943124771118
20	-28.248571	13.382201	16.164415	-75.97813	12.589906	-25.667965	0.758475	-16.48654	-25.977057	84000	0.0064559574	78.96309	0.0	-2.8580627	0.91903085	2.682209e-10	167.22320818901062
21	-28.227852	14.450391	28.730488	-78.99709	12.9449835	-25.841702	1.3200655	-5.052279	-26.289492	88000	0.027993279	87.149315	0.0	-3.358101	0.91906697	-1.1622906e-09	175.08960580825806
22	-26.939447	13.477257	18.52629	-71.10675	13.068627	-25.935696	1.582242	-0.22765593	-26.460218	92000	-0.0052599725	84.743164	0.0	-4.7308807	0.91911876	-2.5331974e-09	182.94928979873657
23	-28.084572	13.596595	19.899406	-83.0431	12.906149	-24.955801	1.7881216	-2.4768972	-25.987024	96000	0.014053627	84.46855	0.0	-4.7061234	0.9191601	-2.115965e-09	190.80171751976013
24	-27.33596	13.972848	13.002048	-115.929146	13.009772	-25.95023	1.0685676	-12.635021	-26.605307	100000	-0.0003647318	86.51796	0.0	-3.9829407	0.91920686	4.768372e-10	198.67813563346863
25	-27.983093	13.718069	37.393066	-85.171364	12.961039	-25.404324	2.3901415	5.37601	-26.537346	104000	0.033828586	87.0479	0.0	-8.214584	0.9192539	3.1590461e-09	206.53293681144714
26	-28.53428	12.6874895	15.418665	-71.693184	12.890323	-25.779217	1.3840845	-5.093735	-26.58953	108000	-0.0033101903	75.77203	0.0	-6.407524	0.91930753	-4.738569e-09	214.41098022460938
27	-28.48087	13.728632	12.694794	-71.51639	13.245033	-25.752184	2.3510559	4.1734886	-26.926785	112000	0.010444084	77.89869	0.0	-6.120125	0.91935873	-2.5629998e-09	222.2533881664276
28	-26.284767	14.181191	33.340973	-70.07714	13.03268	-26.295385	1.6268023	-8.878306	-27.642502	116000	-0.029239796	85.998184	0.0	-10.572777	0.91941065	3.1590461e-09	230.14728355407715
29	-28.61239	13.328327	57.477055	-76.716	12.964286	-24.97917	2.6446707	0.9041672	-27.253872	120000	-0.027874613	77.57783	0.0	-13.5215	0.91943765	2.3543836e-09	238.0541181564331
30	-28.0623	13.429611	18.099655	-74.76535	12.753994	-26.161844	1.9867991	-7.279142	-28.212091	124000	0.014863999	80.25025	0.0	-16.435238	0.9194435	4.172325e-09	245.93313789367676
31	-28.52151	13.542181	21.403463	-77.787544	12.732484	-25.483387	3.1648204	-0.11515725	-28.728094	128000	0.019518038	76.18616	0.0	-19.530548	0.9194514	-1.6689301e-09	253.8205099105835
32	-27.25069	13.313283	21.166935	-70.22416	12.819936	-25.504293	3.1884596	-2.6639416	-29.669733	132000	0.031539995	78.32474	0.0	-32.097008	0.91947854	-5.0961972e-09	261.70292139053345
33	-29.313814	13.77412	20.343767	-108.70228	12.932039	-25.410053	3.7629187	1.4424535	-30.56402	136000	0.0065643196	72.48916	0.0	-26.117325	0.9195228	-2.5629998e-09	269.53550267219543
34	-27.568104	13.768911	25.585579	-69.102776	12.465625	-25.661829	4.291673	-4.8849635	-32.64015	140000	0.0497066	54.595016	0.0	-23.369444	0.9195684	-2.8014182e-09	277.4181559085846
35	-27.392437	13.605439	29.968143	-62.28258	13.114754	-25.126253	5.654244	0.92680943	-34.099274	144000	0.025683701	48.841896	0.0	-22.62423	0.91963637	7.4505807e-10	285.234742641449
36	-28.473934	13.789994	45.283764	-83.81067	12.944805	-25.40484	6.34	3.2156637	-35.20669	148000	-0.02399311	47.82618	0.0	-18.440508	0.91972405	1.3709068e-09	293.0824158191681
37	-27.022398	13.612926	27.69568	-71.43706	12.954545	-25.140223	6.075621	3.9544775	-36.849613	152000	-0.01110136	37.223454	0.0	-18.692352	0.9197848	0.0	300.99720072746277
38	-27.41413	12.991917	6.6812778	-75.64738	12.9449835	-25.718258	6.6823792	3.55587	-37.582687	156000	-0.03715976	32.850918	0.0	-14.788088	0.9198358	1.4603138e-09	308.8494896888733
39	-27.669556	14.256875	8.588828	-84.22718	13.138158	-25.729422	6.7469926	1.642776	-38.367252	160000	-0.014642942	31.946968	0.0	-12.54908	0.91985476	-6.2286856e-09	316.73626947402954
40	-27.319202	14.220146	20.064878	-83.91876	13.055555	-25.130672	7.4651594	4.1057253	-39.873463	164000	-0.031750463	32.747406	0.0	-14.800156	0.9198599	2.2351743e-09	324.54880142211914
41	-28.78352	13.061742	7.1830807	-85.757164	12.954545	-25.65713	7.151098	5.4345117	-40.49555	168000	0.025363699	25.594141	0.0	-11.28998	0.91984576	-4.5895576e-09	332.38878321647644
42	-28.460651	12.6226015	14.8915	-73.38325	12.738853	-26.209675	6.794418	4.597973	-41.149757	172000	-0.019962164	26.276295	0.0	-11.088482	0.9198526	-3.1590461e-09	340.205943107605
43	-26.933064	14.701122	46.876156	-93.70925	13.231788	-25.706573	7.301598	3.6390705	-41.790455	176000	0.00038816832	26.919773	0.0	-10.879999	0.9198404	-2.0563602e-09	348.07893419265747
44	-27.109161	13.262076	17.136763	-81.12827	12.877419	-25.418314	7.478156	6.9237657	-42.0747	180000	0.011361246	25.557564	0.0	-11.867204	0.9198323	3.1590461e-09	355.95967507362366
45	-28.04217	13.6734295	11.457921	-77.92587	12.964286	-25.65332	7.6707196	9.483512	-43.493393	184000	-0.004106953	21.658186	0.0	-10.584324	0.91983867	2.503395e-09	363.8662734031677
46	-28.5799	13.40383	18.517302	-69.25938	12.569182	-26.377928	7.545113	5.3571944	-43.953327	188000	-0.044332083	17.066093	0.0	-7.137187	0.9198395	2.5629998e-09	371.78086161613464
47	-28.44142	13.527764	22.04105	-70.97355	12.954545	-26.493835	7.400595	7.974455	-44.62706	192000	-0.01609869	18.741535	0.0	-8.855853	0.9198086	1.758337e-09	379.6534094810486
48	-28.809639	12.020341	18.322111	-71.01635	12.567823	-26.290335	6.9564962	9.443798	-45.05165	196000	0.040759224	17.66924	0.0	-9.061421	0.9197735	2.8908254e-09	387.6105365753174
49	-26.29676	13.220752	30.37658	-67.43071	13.022801	-25.321575	7.3944874	7.112562	-43.8801	200000	0.01733734	16.470901	0.0	-8.067628	0.91976506	-8.3446505e-10	395.4857249259949
