Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	-25.401693	14.582189	15.156592	-59.489372	14.694853	0.012944705	0.118425265	0.31537783	-0.36791486	4000	0.02567782	690.8488	0.0	-361.38828	0.9189432	1.4901161e-10	7.898048162460327
1	-26.953611	14.700563	12.981378	-76.89242	14.694853	-8.857993	0.81304204	-1.3105931	-9.558226	8000	-0.033602204	346.36798	0.0	-160.05016	0.91894126	-4.1723253e-10	15.790689468383789
2	-26.420391	14.036566	17.803013	-68.190926	14.505455	-14.902277	0.36377183	-9.28205	-15.071808	12000	-0.019491024	171.32219	0.0	-61.00811	0.9188639	1.4007091e-09	23.664002656936646
3	-28.529343	13.496789	10.563839	-64.73567	14.6654415	-18.701187	0.22681327	-12.053285	-18.79319	16000	-0.025755163	120.99836	0.0	-34.418846	0.91879827	2.6226044e-09	31.57158398628235
4	-27.042978	13.901843	13.839791	-60.391415	14.884328	-21.680204	0.14619216	-19.238901	-21.746778	20000	0.0024080619	84.74083	0.0	-10.833847	0.9186972	-9.834766e-10	39.42100477218628
5	-26.847906	14.717208	13.577676	-77.39811	14.611722	-23.462934	0.19236615	-16.140446	-23.531284	24000	-0.02720688	83.41025	0.0	-2.6762161	0.9186177	1.4007091e-09	47.245179414749146
6	-26.81752	15.621607	58.33222	-67.62094	14.785185	-24.250965	0.5437659	-8.1429615	-24.379631	28000	-0.03647728	85.5731	0.0	-1.4766159	0.918516	-4.4703485e-09	55.086928367614746
7	-26.956186	16.34142	90.73729	-67.15699	14.899254	-24.690609	0.6754022	-13.175861	-24.899397	32000	0.008655419	87.100174	0.0	-1.4758148	0.9183982	-2.1457671e-09	62.96849083900452
8	-25.99561	15.6891	50.433315	-74.90307	14.580292	-25.154047	0.8189946	-2.6948323	-25.321686	36000	-0.019942373	79.49317	0.0	-0.37607574	0.91831243	-5.1259996e-09	70.78843808174133
9	-25.262165	15.801236	36.007835	-67.09825	14.970037	-25.116337	1.0186172	5.819324	-25.302855	40000	0.027926786	88.63722	0.0	-4.010132	0.9182303	4.1425228e-09	78.59353590011597
10	-26.264078	14.324787	26.225327	-63.774452	15.102273	-24.46819	2.0666523	17.335728	-24.951616	44000	0.009449466	76.47515	0.0	-2.850235	0.91818255	-3.1590461e-09	86.44423151016235
11	-27.145914	14.899843	18.93954	-57.547848	14.847584	-24.928894	1.2810501	-0.8583621	-25.266623	48000	0.013156645	83.24515	0.0	-4.3799896	0.918154	-4.768372e-10	94.26443934440613
