Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time
0	80.55185	12.150931	114.542534	54.629436	17.34348	0.00760446	0.10875365	0.2705835	-0.35609502	4000	-0.08300377	1110.819	0.0	-370.57928	0.9189432	-1.9967556e-09	7.6699302196502686
1	80.128365	12.126092	119.73653	57.71393	17.32174	-2.042921	7.623806	9.205168	-9.648972	8000	-0.0018236332	722.4913	0.0	-214.89716	0.9186401	1.078844e-08	15.342353820800781
2	80.825676	14.091605	144.38846	54.550953	17.264069	-4.8665533	13.292857	15.659722	-15.497783	12000	-0.005371492	527.0268	0.0	-100.28754	0.9184821	3.1292438e-09	23.114648580551147
3	82.54974	13.539336	129.25366	55.64809	17.414846	-6.4037666	17.063772	20.290203	-19.784962	16000	-0.014409424	444.78558	0.0	-64.85947	0.91835386	4.61936e-09	30.799413204193115
4	84.050575	14.012321	131.41731	55.777264	17.441048	-7.2754765	19.679691	24.075985	-23.261688	20000	-0.0033197613	408.76443	0.0	-48.666656	0.9182344	-1.4901161e-10	38.45440912246704
5	82.73506	13.591257	135.20364	54.665745	17.251081	-7.570345	21.48033	27.308838	-26.23658	24000	0.013400367	339.1016	0.0	-37.27527	0.9181591	-1.5795231e-09	46.12663245201111
6	83.421974	13.918934	141.48343	56.181858	17.473684	-7.5007463	22.660234	30.104809	-28.804672	28000	-0.010203045	311.6064	0.0	-39.948944	0.9181198	-4.053116e-09	53.81272792816162
7	85.72322	16.522734	199.95587	56.15963	17.603525	-6.500287	23.437403	32.94328	-29.17938	32000	0.006721718	318.2872	0.0	-40.898315	0.9180707	-1.5199184e-09	61.51407504081726
8	83.98553	12.647555	125.5602	57.51537	17.550661	-5.8134356	23.85735	36.141396	-29.223942	36000	-0.012070923	232.33578	0.0	-32.324463	0.9180268	6.854534e-10	69.27968716621399
9	86.7285	14.948282	140.83197	53.769127	17.803572	-4.640113	24.711369	39.139652	-28.468374	40000	-0.04814043	235.32672	0.0	-32.528305	0.9179866	8.672476e-09	76.95551228523254
10	87.20089	14.580851	136.80641	55.51421	17.95946	-4.2452	25.62828	42.332413	-27.739927	44000	-0.041209064	205.46446	0.0	-27.076569	0.91791666	4.2915342e-09	84.7023766040802
11	89.5465	16.420256	151.67953	55.006996	17.878923	-3.1669736	26.926214	45.35434	-27.681324	48000	-0.009863993	208.44122	0.0	-27.540985	0.91782004	-2.1755695e-09	92.38837385177612
12	89.003044	15.727152	174.3517	57.474514	18.205479	-3.2715757	27.588081	48.373493	-27.807135	52000	-0.033070777	172.52576	0.0	-20.814377	0.91772664	-2.0563602e-09	100.0353639125824
13	89.8914	15.086317	136.03166	56.13659	18.214611	-2.6802344	28.69062	51.12551	-27.804775	56000	-0.038218297	155.87358	0.0	-19.679184	0.91761744	8.940697e-11	107.71716260910034
14	91.52645	16.52625	140.6817	60.44359	18.302752	-2.3941402	29.297554	53.74592	-28.97618	60000	-0.04360374	152.5445	0.0	-18.51654	0.9174882	-1.7285346e-09	115.42224764823914
15	90.9338	15.056682	127.946884	59.46305	18.396313	-1.8101599	29.935087	56.382553	-28.371433	64000	-0.026574524	124.61517	0.0	-14.874092	0.91736376	-2.5331974e-09	123.15199422836304
16	91.441925	15.149813	147.048	60.958565	18.359447	-1.4500718	30.655144	58.73588	-28.022228	68000	0.008982591	116.21485	0.0	-14.93911	0.9172319	-3.6358834e-09	130.85051584243774
17	93.644226	17.39216	170.73427	59.20322	18.414747	-0.51001143	31.18234	61.054356	-27.995567	72000	-0.03133026	126.04212	0.0	-15.274536	0.91712046	-2.4139881e-09	138.46693229675293
18	94.92124	16.35961	161.36307	56.474102	18.890995	0.011282982	31.830866	63.544163	-27.42362	76000	-0.05297075	108.86078	0.0	-13.042038	0.9169986	2.8014182e-09	146.11484098434448
19	96.81202	17.677769	150.41151	58.911224	18.85782	0.35033405	32.78767	65.9441	-28.68722	80000	-0.09349848	114.09728	0.0	-13.525032	0.9168604	4.4703485e-09	153.78616452217102
20	96.84014	17.605154	172.2008	60.706684	19.095694	0.41498658	33.150234	68.36116	-28.346262	84000	-0.039677367	104.47218	0.0	-13.086182	0.9166853	5.2154063e-09	161.45976972579956
21	100.571335	20.780872	208.37698	60.019257	19.722773	1.3091006	33.95417	70.57571	-28.880762	88000	-0.034148626	124.99445	0.0	-13.882896	0.91650283	2.95043e-09	169.20748019218445
22	98.94277	18.092556	157.51259	66.98404	19.236715	1.2874737	34.846516	73.012924	-28.849764	92000	-0.032096975	93.34002	0.0	-9.886032	0.91632307	4.529953e-09	176.9339644908905
23	100.23802	18.265583	166.24689	57.960167	19.772278	1.6865008	34.782402	75.05455	-28.95278	96000	-0.06467245	91.6196	0.0	-11.220222	0.91614515	-4.23193e-09	184.64752984046936
24	104.05599	21.118048	197.8665	66.643654	19.875622	2.2798162	36.03118	77.112495	-29.101242	100000	-0.08533139	110.352936	0.0	-11.954224	0.91595227	2.3245812e-09	192.29317140579224
25	105.70407	20.294598	177.18593	59.60156	20.161615	2.6299796	36.309864	79.43799	-29.060722	104000	-0.07778	99.70908	0.0	-11.471634	0.9157361	4.738569e-09	199.92389941215515
26	108.03919	22.840427	206.97578	62.17901	20.19192	3.8526957	37.95293	81.73417	-29.32016	108000	-0.08258388	118.839966	0.0	-13.927902	0.9155058	1.2516975e-09	207.63508701324463
27	107.34654	22.53798	190.71951	65.89224	20.228426	3.4290202	37.933258	84.18388	-29.12789	112000	-0.064330414	103.501656	0.0	-10.320374	0.91526556	-3.2782554e-10	215.34152007102966
28	109.65267	20.637741	176.57805	70.59064	20.744791	3.5151737	38.456738	86.34385	-29.385683	116000	-0.111636266	90.56041	0.0	-9.850349	0.91501683	7.3611734e-09	223.05168557167053
