Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	102.432816	0.0	102.432816	102.432816	-102124.39	0.0	-102124.39	-102124.39	27.0	10000.0	3999	-74.38604	49.937645	1047.1837	-161.06483	-74.38613	49.933823	1038.2463	-164.12178	1.9284152	2.8379803	33.296886	-13.492003	72.48246	3.4952579	249.9029631614685
2	-781.13354	6220.678	150.50305	-45205.312	76.998474	0.0	76.998474	76.998474	100.53846	30.0	7999	-24.249012	470.18698	1968.4873	-296.04303	-24.240465	470.2002	1961.8115	-292.52353	6.3200693	4.576776	89.56996	-12.999395	4.671561	385.9014	295.0020978450775
3	-33170.094	0.0	-33170.094	-33170.094	-107944.516	0.0078125	-107944.51	-107944.51	2746.0	10000.0	11999	105.82816	695.3231	6961.937	-552.7006	105.9037	695.4756	6962.864	-517.0544	13.96139	6.8986907	145.67058	-7.4745226	-163.12653	1961.0255	548.4547941684723
4	-14464.612	20467.85	8.432142	-43410.523	111.995766	0.0	111.995766	111.995766	1348.6666	43.0	15999	477.10092	1718.4752	9925.718	-1312.2218	477.13943	1718.5967	9772.219	-1314.9443	11.392001	11.3520775	318.889	-7.9965005	-532.3564	8334.481	593.692332983017
5	-237.00879	3609.2754	107.47077	-47982.754	35.501442	3.8146973e-06	35.501446	35.501446	45.13068	26.0	19999	1320.5863	3515.8386	30318.54	-3933.4036	1320.3976	3516.0417	32153.867	-3366.3757	22.607508	45.65143	1129.9707	-9.571856	-1396.351	248730.28	637.0104455947876
6	76.475685	44.841385	161.46283	16.970373	88.59929	0.0	88.59929	88.59929	36.688072	49.0	23999	2825.407	5008.402	20368.133	-4392.4287	2825.5461	5008.4604	20095.512	-3646.7068	21.195608	21.982243	268.61554	-6.549185	-3039.896	266733.56	682.1389474868774
7	22.029085	54.362823	132.13995	-108.26262	-554.84814	0.0	-554.84814	-554.84814	51.157894	213.0	27999	3377.5417	4378.8066	16114.104	-3384.3884	3377.5867	4378.7085	16149.667	-2266.9329	19.38951	15.569571	153.57086	-5.6435966	-3588.637	54890.87	732.204553604126
8	-1838.6477	7507.5684	113.16574	-35381.15	-1304.5056	0.0	-1304.5056	-1304.5056	316.38095	811.0	31999	3295.976	3799.5645	14409.301	-922.0086	3296.038	3799.6035	14381.743	-823.84796	17.931444	12.483896	131.5596	-7.518073	-3474.3787	32460.545	796.034761428833
9	-864.9737	888.10876	-182.66933	-2663.6848	492.18842	0.0	492.18842	492.18842	552.8333	1467.0	35999	3501.484	3869.976	12901.35	-1052.6047	3501.5457	3869.9268	13018.487	-1065.2971	16.392979	9.89924	113.47746	-7.3647175	-3644.4233	23454.447	867.8760652542114
10	602.6332	319.44717	919.0975	75.28823	-3890.7231	0.00024414062	-3890.723	-3890.723	1171.0	2223.0	39999	3508.766	3633.0486	11415.638	-1133.4386	3508.837	3633.006	11473.945	-1130.8529	16.243477	9.760964	174.2258	-5.8891273	-3630.017	16124.973	950.519430398941
