Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	135.09251	28.45082	258.5392	91.45463	111.685814	0.0	111.685814	111.685814	20.34694	25.0	3999	34.885876	65.84501	290.58456	-31.575558	34.891113	65.85024	290.54486	-31.82672	1.8760325	3.5161119	17.436747	-11.943273	-40.089405	19.365767	41.46143817901611
2	135.86855	29.71226	239.98883	91.2102	74.97429	0.0	74.97429	74.97429	20.227272	15.0	7999	219.11774	227.44781	954.52094	-79.87532	219.11304	227.45616	951.6954	-90.20001	10.609316	4.723827	29.7882	-10.934441	-265.33368	132.78305	92.83136534690857
3	101.6333	36.78944	228.45493	57.33459	70.050674	7.6293945e-06	70.05068	70.05068	17.346321	16.0	11999	2002.275	1637.5131	10265.287	-1579.3851	2002.3026	1637.576	10048.941	-1618.9932	18.51315	5.0988593	121.74803	-6.1586924	-2315.4282	29569.086	144.79712581634521
4	96.7793	32.144817	238.6116	-22.62174	62.014294	3.8146973e-06	62.014297	62.014297	27.958042	16.0	15999	2861.4878	2194.1687	16111.913	-1817.7338	2861.4482	2193.9421	14893.014	-1920.8485	20.944412	13.7389965	390.5854	-8.022153	-3218.5334	83340.266	194.33108592033386
5	88.784355	66.74097	165.15176	-438.08084	842.1422	6.1035156e-05	842.14215	842.14215	37.949493	631.0	19999	4951.628	3590.925	11507.913	-3391.8196	4951.155	3590.7278	11666.192	-3236.9746	21.942045	13.374359	175.73026	-4.9781637	-5438.868	153993.73	248.54628324508667
6	462.17218	330.39987	1197.3856	134.06053	750.54785	0.0	750.54785	750.54785	374.54544	926.0	23999	4838.2407	3652.8088	10567.132	-3511.7864	4837.8486	3652.703	10726.864	-3350.6304	20.526299	12.934768	187.5767	-5.2180376	-5259.177	72411.28	317.1650574207306
7	-705.0813	1273.9178	366.33313	-3132.8015	-56.493385	3.8146973e-06	-56.49338	-56.49338	783.6	10000.0	27999	5009.986	3664.7468	10177.644	-1564.9363	5010.338	3664.0244	10231.603	-1948.736	15.639023	7.4150486	109.72552	-6.4832425	-5369.551	61658.168	566.0896940231323
8	952.8757	445.4337	1817.7969	645.404	1195.3928	0.0	1195.3928	1195.3928	774.0	671.0	31999	5076.272	3389.077	9530.138	-809.44934	5076.4956	3388.5825	9511.434	-997.52966	14.875431	6.677797	105.70498	-8.021387	-5386.145	49575.367	631.0075130462646
9	355.0551	250.68431	1057.9927	95.085526	522.3695	0.0	522.3695	522.3695	211.6842	641.0	35999	5009.2046	3251.166	9407.099	-729.38367	5009.326	3250.7412	9414.514	-926.9612	14.138972	6.7305264	83.08375	-7.6511793	-5266.1787	43309.414	695.7036170959473
10	535.14526	156.26749	897.00464	349.06015	325.5413	0.0	325.5413	325.5413	246.23529	159.0	39999	4653.526	3012.0977	9380.407	-1475.0499	4653.6494	3011.6194	9253.884	-1756.0681	14.055119	6.7246046	62.28663	-6.853223	-4874.1934	33237.473	752.922120809555
