Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-28.782358	15.6507435	8.584631	-155.08966	-35.1843	9.807802	-21.879547	-56.031597	13.555932	13.6	3999	-7.6887136	8.923715	18.21834	-33.239727	-7.6880236	8.926901	19.0544	-32.612118	6.1230626	5.814473	25.232035636901855
2	-28.438923	13.383556	22.50238	-76.78033	-29.537735	13.329052	-3.6236546	-45.03315	12.902913	14.2	7999	-18.219267	10.80283	27.810423	-60.16897	-18.219091	10.804112	29.044992	-59.23149	16.587553	4.069761	61.242228984832764
3	-27.886793	15.516097	41.8428	-86.111244	-33.19126	18.610943	-5.100797	-77.448814	14.798508	12.8	11999	-23.393787	9.8131	38.10948	-78.28232	-23.394388	9.815681	38.22471	-77.73763	21.756786	4.1381073	95.08460307121277
4	-22.739498	26.973892	198.16277	-68.045364	-28.072872	14.026356	-10.552826	-55.401352	16.091633	13.7	15999	-24.706446	11.222476	53.616726	-76.32057	-24.706505	11.223501	55.798866	-76.43669	23.443579	5.026535	129.0510265827179
5	-16.966295	85.41694	1141.3112	-81.65011	-12.81642	51.04593	132.37474	-66.47239	18.845411	29.4	19999	-22.417265	16.062256	92.78408	-68.18448	-22.418156	16.06397	91.48357	-65.96429	21.088774	5.9924073	163.61657977104187
6	116.83895	792.8344	6634.691	-45.305	738.8197	2235.5828	7443.929	-34.645763	49.11111	210.7	23999	-14.498106	31.46194	136.0411	-74.41054	-14.498	31.465649	136.73169	-71.93412	12.846125	8.62882	202.23238134384155
7	278.6392	790.4413	3815.6848	-46.619972	-16.865774	50.168888	131.51405	-53.86225	91.36364	20.9	27999	0.5674097	50.08535	205.83568	-76.081894	0.56675696	50.08833	206.03423	-75.22058	-3.0232933	15.407225	248.97709488868713
8	713.8717	1704.4756	6849.103	-51.946518	66.66359	249.58755	811.45197	-39.749954	150.96	40.7	31999	22.194298	73.271935	295.28943	-75.70484	22.194004	73.27402	294.3059	-76.749306	-25.53736	24.233223	297.4542157649994
9	531.8243	1838.2482	6893.485	-43.403614	543.4597	1353.2367	4593.0425	-36.685783	77.76923	97.7	35999	55.7464	110.60038	403.597	-67.79167	55.74597	110.60349	400.9444	-67.11486	-59.968075	47.276836	341.5421769618988
10	23373.658	23729.328	55920.88	19.764704	20266.121	30702.639	68164.516	-34.625267	1579.0	1244.4	39999	108.90782	162.88503	531.04846	-74.79292	108.90728	162.89139	530.9602	-72.480515	-115.069626	76.10358	399.0033440589905
11	23637.562	23679.516	47317.08	-41.952427	21677.662	28452.867	65312.348	-39.3847	1521.5	1407.6	43999	180.69247	226.55469	652.04785	-83.71145	180.691	226.56026	654.2717	-88.08556	-188.81165	115.38216	459.63706064224243
12	77756.78	0.0	77756.78	77756.78	15758.216	31554.658	78970.06	-61.74336	3988.0	826.2	47999	269.96283	294.6714	762.96594	-87.27837	269.95956	294.67593	761.6401	-89.66856	-279.08215	170.95433	509.32188534736633
13	26179.484	37074.023	78610.07	-44.73873	54534.7	35743.54	78889.79	-53.15555	1343.6666	2803.5	51999	364.98764	354.76675	876.80255	-82.57663	364.98712	354.7701	872.69604	-82.721954	-375.44327	250.03764	596.2558846473694
14	26019.373	36880.473	78176.23	-91.240555	31456.818	38563.555	78933.555	-52.26682	1339.0	1607.3	55999	460.00516	404.22726	983.1803	-86.99198	460.00266	404.2338	973.5784	-85.789345	-471.50153	310.28314	667.3927435874939
15	76670.74	0.0	76670.74	76670.74	31139.812	38169.637	78209.46	-30.721941	3952.0	1606.0	59999	551.0928	445.1605	1064.8881	-98.78153	551.08966	445.16693	1062.8496	-97.30872	-561.9525	468.31757	732.0942966938019
16	77685.78	0.0	77685.78	77685.78	38981.414	39010.312	78293.03	-34.975887	4000.0	2006.7	63999	638.8536	478.53085	1149.1549	-141.85472	638.85175	478.5346	1146.3585	-133.76123	-652.821	508.5564	805.4733233451843
17	77142.73	0.0	77142.73	77142.73	7727.9155	9515.507	20127.295	-51.046673	4000.0	1607.8	67999	715.6336	505.8733	1214.5459	-155.66257	715.6297	505.88333	1213.7333	-156.16379	-731.3805	581.12866	871.9160199165344
18	24039.494	34047.75	72190.28	-46.11399	54697.47	35772.34	78503.54	-25.87334	1340.0	2815.4	71999	789.4721	526.65985	1287.576	-180.67732	789.4664	526.6691	1290.013	-169.5284	-805.66	569.109	960.9779937267303
19	72895.12	0.0	72895.12	72895.12	46938.043	38312.09	78393.77	-34.3319	4000.0	2417.1	75999	858.12933	545.65265	1350.8945	-201.62779	858.12305	545.6612	1347.8857	-206.50027	-873.50275	682.49774	1042.2778704166412
20	38930.906	38975.836	77906.74	-44.926136	46803.023	38243.43	78389.945	-38.646774	1996.5	2408.7	79999	924.3846	561.1397	1401.6729	-207.11938	924.37616	561.15045	1394.5879	-204.96404	-941.13464	766.7493	1124.9392757415771
