Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-27.167912	15.979022	39.04399	-74.08054	-24.607672	13.058138	-1.3225781	-47.78637	15.140152	14.4	3999	8.237539	29.201443	182.1849	-33.640354	8.236822	29.197723	185.9674	-36.927067	4.3856745	4.8382735	36.437542	-12.418941	-17.296051	11.087064	35.21585988998413
2	-26.71628	16.318155	43.210796	-67.21151	-27.845886	15.095597	6.475308	-47.010117	15.045113	12.7	7999	225.3455	225.02269	1511.2191	-187.91754	225.35442	225.00456	1545.0013	-195.79729	11.402985	5.2716713	41.02995	-12.091278	-296.74606	624.81964	80.05928659439087
3	-27.493986	14.643911	19.257206	-70.228806	-12.358788	14.295774	18.832441	-36.180847	15.022556	16.1	11999	3558.8057	2862.3447	16746.5	-4355.75	3558.964	2862.0596	16294.1455	-4073.4348	25.41607	16.857164	574.6069	-3.571427	-4192.975	168530.28	122.35763597488403
4	-74.95757	205.32848	79.93602	-1358.421	-182.41829	187.3137	8.720215	-643.4477	45.57143	142.3	15999	3450.218	3286.7947	14210.961	-2923.6113	3450.4404	3286.713	15049.132	-3188.0742	25.876997	22.12848	328.81927	-5.290615	-3832.9202	200886.42	168.63079810142517
5	33.38192	289.60846	772.28436	-353.93045	-657.6726	577.9438	-22.038836	-1474.0901	273.26666	355.0	19999	3701.2737	3733.7383	12176.86	-3922.0686	3701.5327	3733.4065	12199.012	-4921.298	18.514599	10.259709	209.66243	-7.01757	-4084.2915	110006.78	218.84833359718323
6	-60.123447	180.89832	351.16916	-475.8515	-115.75747	153.68956	130.3508	-400.47128	117.064514	224.9	23999	4578.3677	3993.6597	12352.059	-2992.8904	4578.462	3993.0823	12334.83	-3083.0696	18.043272	8.753905	108.56119	-6.8132915	-4972.87	121171.375	266.90387177467346
7	199.70567	490.8023	1446.614	-293.18103	91.991035	129.99615	359.71655	-72.30294	280.92307	139.1	27999	5183.258	4037.6917	12239.47	-1996.5533	5183.4463	4037.1565	12208.681	-1907.9779	15.894991	7.485164	90.4311	-9.314167	-5556.7607	129536.36	314.6603317260742
8	285.43423	316.60184	1483.715	-27.230822	1675.5531	82.87967	1750.502	1480.9706	208.36842	1000.0	31999	5543.459	3994.5422	12001.576	-2193.6145	5543.6934	3994.1692	11666.185	-2072.1206	15.23885	6.754561	96.782906	-9.665529	-5872.235	134441.17	376.8660776615143
9	1073.7611	895.477	2359.6301	-101.71113	998.53876	899.776	2575.0146	-31.567434	669.1667	446.5	35999	5725.46	3804.635	11260.184	-2025.7617	5725.627	3804.2678	11161.382	-2125.856	14.851441	7.23035	114.67327	-7.1827126	-6014.2505	132686.97	424.5145959854126
10	1312.093	1093.634	3114.6572	41.246593	2416.2385	714.00104	3089.2097	381.497	616.7143	923.6	39999	5744.531	3446.208	10586.362	-1610.7069	5744.624	3446.2207	10604.992	-1452.4547	14.573889	7.3031616	95.69899	-7.50522	-5989.7627	115840.47	480.18021392822266
