Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-27.57647	16.40533	21.31299	-85.66997	-20.323772	18.806873	17.60453	-41.12462	15.373077	23.5	3999	-10.001024	11.20318	26.15098	-47.04559	-10.001074	11.205405	25.544601	-47.236557	-0.2560773	1.8955008	8.919467	-12.654604	9.250367	5.9263015	37.345133781433105
2	-28.1537	16.692793	24.365606	-96.38398	-16.999983	14.23704	13.333472	-32.25512	15.758893	18.1	7999	-18.231773	11.852811	48.957752	-63.91629	-18.232582	11.85678	48.897217	-64.74257	0.44205087	2.301356	13.054195	-11.274895	17.041029	3.4450212	86.6511743068695
3	-24.285254	32.17089	212.26846	-101.52192	76.53783	104.8174	254.2705	-32.738277	19.254658	71.9	11999	-17.082493	17.774702	91.826515	-66.1564	-17.082338	17.777044	91.75202	-67.002144	0.48840165	2.4332085	14.250573	-12.574141	15.848799	4.056899	139.32412338256836
4	638.5768	898.5	3204.1985	-60.220356	959.0133	1845.6295	6239.7925	-44.3417	210.43478	226.6	15999	3.2199056	47.83255	145.793	-60.92546	3.2198093	47.832138	146.89195	-61.277725	0.93155694	2.9310677	19.373335	-10.440114	-4.895794	9.55392	195.29700469970703
5	769.9016	824.9657	3325.915	-45.423027	330.20465	319.42996	1038.6786	-44.264317	185.04546	124.4	19999	40.18502	78.56335	233.52255	-61.91282	40.18466	78.56243	234.54414	-63.8487	1.7247156	3.4486804	23.054064	-13.951387	-43.15855	25.009188	249.62902927398682
6	488.51443	607.4882	2225.9019	-61.35439	562.85706	779.43176	2498.632	-44.175426	144.08696	137.1	23999	83.136406	108.7404	307.3776	-64.187546	83.13595	108.73849	310.9805	-60.56525	2.4278378	3.7047622	22.44027	-12.409961	-87.29059	43.655155	303.65707778930664
7	1606.386	1645.6462	5567.849	-31.730938	2150.966	2132.46	4907.7256	-36.77052	339.92307	457.6	27999	121.59736	133.53052	406.2131	-65.68402	121.59797	133.5306	409.67038	-64.511536	3.0779054	3.8857257	26.808558	-14.800214	-126.561935	73.69673	363.85954308509827
8	4810.455	4408.57	10014.242	-35.56587	8008.7188	3109.38	11012.255	-28.866766	550.6667	901.4	31999	179.20718	166.76361	544.1569	-61.301723	179.20552	166.77248	540.827	-61.753468	4.0182605	4.233034	29.11476	-10.408613	-185.30833	132.10208	428.18482398986816
9	15131.344	2482.4734	19303.36	12949.9	13197.294	4476.834	17018.969	130.45105	992.25	907.7	35999	268.68732	222.88982	750.598	-68.76074	268.6857	222.8952	753.6871	-63.902634	4.7624545	4.2599187	32.400597	-10.647446	-276.90463	276.9382	496.84757947921753
10	14678.131	7442.115	19378.957	-35.258972	17741.723	826.2717	19125.451	16491.828	802.6	1000.0	39999	411.52493	309.3591	962.6596	-76.98442	411.52435	309.36005	965.1892	-77.54365	5.6930356	4.3646083	36.005386	-10.564804	-423.07086	537.4856	571.6444215774536
