Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-27.854908	16.406237	25.97398	-88.38203	-32.75647	12.910283	-11.278082	-53.561764	15.735178	15.2	3999	-6.3569613	9.112915	24.233604	-33.736782	-6.3576365	9.113449	23.967756	-33.18934	5.0076222	5.8571973	25.99119734764099
2	-28.0535	17.688961	29.18823	-101.53944	-23.184896	23.245398	27.930134	-55.47552	15.467181	36.9	7999	-13.52166	11.406614	41.27532	-45.498	-13.521684	11.404315	40.587276	-45.977715	11.360723	3.228793	59.97313380241394
3	-19.374939	39.19258	303.16357	-68.0729	85.267654	216.45633	567.7999	-52.353626	20.092392	102.3	11999	-17.458439	13.344216	61.583473	-59.47482	-17.458899	13.343627	60.365486	-58.62004	15.603582	3.530124	96.62886667251587
4	499.13617	954.6641	3341.0398	-51.43422	622.6256	1127.7262	3942.1685	-41.08656	218.5625	206.8	15999	-8.885079	28.174067	86.90103	-63.65759	-8.885058	28.173147	83.747894	-63.526394	6.556193	5.039318	138.58832335472107
5	666.00366	812.4928	2900.5527	-55.727	724.64685	890.76697	3176.9421	-22.609306	217.0	202.7	19999	12.648542	46.034416	118.40934	-63.470238	12.648105	46.034058	119.715546	-64.57483	-15.692154	9.322453	178.34147095680237
6	992.12787	1242.8262	5045.3667	-39.563404	4718.838	6470.7734	19076.834	-1.8185571	265.46667	510.8	23999	35.678036	61.355946	177.90665	-66.61908	35.678326	61.3556	175.19157	-65.90745	-39.68307	17.93123	223.48137736320496
7	1033.7155	1600.845	5708.412	-33.194366	1370.7058	1397.3944	3757.3413	-41.413864	261.0625	405.9	27999	62.186207	78.690834	238.62735	-67.95569	62.185467	78.69187	239.88103	-71.08929	-67.40321	31.475403	265.4338891506195
8	1459.6018	1426.4329	4793.2236	119.26525	1259.7716	695.90564	2818.0925	401.0577	391.6	256.5	31999	87.40292	93.90419	295.34775	-75.02177	87.40266	93.90338	295.3337	-75.41092	-93.489204	42.46175	304.93658089637756
9	1182.9202	1004.69385	4087.8188	-35.394505	845.69885	359.24554	1453.6165	379.0148	284.0	257.8	35999	114.66803	107.108696	362.27094	-91.48035	114.66706	107.10186	357.70096	-87.44805	-121.71978	58.813923	344.18994522094727
10	1800.2213	3218.928	12181.09	-49.386696	3555.98	5195.7744	17793.383	281.21082	274.6154	389.4	39999	143.76215	123.91419	435.63528	-94.013824	143.76047	123.910286	432.18387	-94.72072	-152.1882	75.29351	385.0780882835388
