Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-108.331406	37.331764	-37.18644	-168.31662	-22730.7	45287.727	-87.197044	-119603.125	20.125	2014.2	3999	-75.102295	42.714073	25.445366	-248.35251	-75.102104	42.714268	25.504025	-182.94366	1.1784533	2.2512739	18.467377	-11.609076	74.549484	3.4473805	77.86246395111084
2	-14692.649	20528.8	-174.44054	-43724.758	-43332.977	53277.09	-72.332275	-121737.48	1294.0	4010.4	7999	-223.394	62.18102	204.82982	-390.33145	-223.39465	62.178703	204.4958	-417.5364	1.5749162	2.230263	30.984047	-12.39608	222.57733	24.79911	207.30144047737122
3	-3172.3674	11365.722	-66.51222	-45698.754	-155.85912	41.620758	-98.935455	-251.10753	281.13333	26.5	11999	-284.95923	171.12473	746.2058	-476.26526	-284.96033	171.10538	739.37726	-525.02246	5.757509	3.9603918	61.336296	-12.894577	279.76755	88.90607	252.11795687675476
4	-608.19635	4134.659	-30.251373	-42145.19	-673.69257	359.65497	-234.06935	-1351.0593	70.72549	190.4	15999	-243.96004	279.61987	760.3158	-507.96973	-243.969	279.57144	800.1787	-532.24457	6.6296	3.1714928	40.48141	-11.682333	238.2181	301.55283	300.0176787376404
5	-1530.1348	1718.3193	-306.01874	-5160.563	-265.48618	199.16757	-116.14831	-776.08215	322.36365	69.8	19999	-178.31084	322.26266	653.69415	-503.51892	-178.30225	322.2536	656.1092	-511.16708	7.191794	3.2517	45.973015	-10.17918	170.29755	190.55154	347.0311872959137
6	-2883.6694	3357.8716	-287.7453	-8536.664	-15098.182	20384.338	-72.51863	-51569.37	456.25	2961.3	23999	-182.06113	335.11398	564.4962	-558.666	-182.06583	335.10855	576.06946	-606.525	5.782285	2.9592035	32.01965	-14.586067	177.05028	171.88266	445.9272782802582
7	-13269.263	12710.073	-233.45311	-34335.31	-1028.4355	757.77344	-201.10867	-2808.3281	1778.5	505.2	27999	-245.83156	360.72623	477.71848	-735.5557	-245.83322	360.72253	477.32352	-697.4017	5.8510356	3.488235	38.010983	-11.530263	242.09906	203.73587	498.4544177055359
8	-465.97885	362.97873	-53.813194	-1134.6149	4781.8916	38355.676	31300.932	-101913.69	228.66667	6016.9	31999	-229.08511	392.42072	458.5654	-869.52057	-229.09172	392.41516	455.36108	-813.4086	6.3262277	3.5440848	40.745747	-12.249169	224.62868	224.66212	650.7103986740112
9	5651.562	0.0	5651.562	5651.562	1785.1233	36201.176	15591.429	-105917.734	2670.0	9001.3	35999	-199.76184	412.12228	413.45685	-1056.4751	-199.76558	412.1199	417.4402	-1040.0084	6.4940443	3.167446	38.768787	-9.116163	195.91496	210.75716	857.7309334278107
10	7874.296	0.0	7874.296	7874.296	1141.638	40599.4	16583.752	-119759.78	4000.0	9002.5	39999	-172.4062	427.09616	370.01508	-944.02783	-172.40724	427.09772	365.6607	-1026.3667	6.010455	3.2239063	51.1451	-11.084383	169.05394	176.32497	1063.337996006012
11	3211.139	0.0	3211.139	3211.139	16738.879	13871.519	28328.361	-485.8497	4000.0	6029.9	43999	-151.32443	430.9725	329.34805	-985.7739	-151.32584	430.97333	332.85968	-1048.2985	5.5096726	3.3595178	50.44896	-10.423945	148.23552	171.74431	1214.3318576812744
12	11643.412	0.0	11643.412	11643.412	31761.125	10644.427	36145.39	-115.833084	4000.0	9001.3	47999	-125.61745	424.89392	312.5925	-997.78467	-125.61958	424.89426	312.17352	-973.7923	5.3883295	2.9996912	45.749447	-13.330466	122.74967	153.16557	1414.6640293598175
13	17324.262	0.0	17324.262	17324.262	19625.35	42139.934	38621.36	-102538.38	4000.0	9039.5	51999	-101.14246	427.21994	329.67743	-1058.2043	-101.14586	427.219	331.0336	-1040.0986	5.410124	2.9787898	33.99331	-10.846718	98.494125	146.37975	1621.6069538593292
14	7376.3926	7481.7285	14858.121	-105.33609	-63761.82	52041.78	-120.81116	-113251.06	2005.0	6008.7	55999	-68.0006	437.81354	355.17142	-1024.8658	-68.00218	437.81332	354.15866	-1043.9048	5.58106	3.438431	83.69882	-10.314553	64.507164	135.72865	1798.1956596374512
15	21761.182	0.0	21761.182	21761.182	-206.45427	70.94617	-122.12851	-357.353	3990.0	43.2	59999	79.6962	524.678	807.187	-1024.1434	79.68252	524.66284	802.57	-1023.10425	8.984359	5.144993	119.32419	-10.130576	-97.088196	519.3203	1850.39093375206
16	-1338.2296	5625.8174	-109.69125	-36298.36	-5989.0576	11137.037	-134.80281	-33571.723	198.325	1832.2	63999	148.71713	572.5699	706.40497	-1111.6385	148.70618	572.55444	699.5654	-1119.9087	7.2710533	3.3845851	80.64124	-9.713332	-155.39252	419.87363	1931.9604485034943
17	-545.21967	642.53577	329.60977	-2188.3289	-176.95786	328.64542	218.67883	-1039.8994	353.18182	176.2	67999	165.65562	567.1828	700.8461	-1018.78064	165.65135	567.1776	705.6237	-1073.4651	6.6276307	3.2695582	71.39758	-9.404443	-170.51366	302.3182	1982.5955193042755
18	454.68323	992.78217	3104.4412	-447.16577	4257.5156	3250.5903	10911.079	-33.459846	290.36365	1691.8	71999	155.7308	548.0007	665.06946	-1105.9192	155.72142	547.9996	666.52515	-1016.2431	6.0427876	3.235792	52.751335	-11.85212	-159.81728	253.01384	2058.404916524887
19	1392.4009	2162.7156	4449.824	-207.93472	-28776.85	45738.203	3690.8523	-106628.66	398.66666	3353.4	75999	144.04724	528.16974	633.9776	-1082.7166	144.04388	528.1658	634.2663	-1146.7302	5.7076535	3.1212044	58.223858	-11.933558	-147.39606	239.55043	2182.508048772812
20	20562.672	0.0	20562.672	20562.672	59530.707	13009.518	76099.695	40948.266	3792.0	10000.0	79999	139.70433	517.55176	604.37787	-1098.7517	139.70172	517.55164	603.6702	-1299.5074	5.801866	3.244425	71.02959	-14.733044	-143.07057	211.77295	2414.2101497650146
21	21476.643	0.0	21476.643	21476.643	30553.38	22676.973	55817.65	19.45143	4000.0	6303.5	83999	143.69398	511.36853	593.2039	-1134.3809	143.69283	511.3637	588.2331	-1263.097	5.8387575	3.0508685	66.37526	-11.954209	-146.83954	217.41615	2583.2170510292053
22	40687.39	0.0	40687.39	40687.39	86340.914	29629.455	111348.68	267.25424	4000.0	9015.4	87999	152.72229	510.9757	612.62946	-1232.5652	152.72308	510.96536	608.69525	-1243.1294	5.9216886	2.966803	55.896217	-9.618941	-155.94899	242.57394	2799.862880706787
23	43196.125	0.0	43196.125	43196.125	3840.352	12889.677	36538.55	-18102.572	4000.0	1688.4	91999	182.04712	512.98987	717.61334	-1089.4269	182.05016	512.9692	717.6276	-1066.9506	6.4618425	3.0595112	42.48436	-11.708928	-186.00224	252.80428	2892.2296719551086
24	52474.53	0.0	52474.53	52474.53	139452.8	51202.355	195818.53	-134.53586	4000.0	9001.6	95999	227.24101	531.13116	807.188	-1145.4397	227.24007	531.1183	806.1518	-1228.0114	6.806654	3.0670671	58.74771	-11.55574	-231.97415	275.60425	3104.4809925556183
