Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	108.55889	30.267082	163.48427	65.26592	18.129452	1.9073486e-06	18.12945	18.12945	24.384615	32.0	3999	-50.707233	48.895214	309.3528	-104.620766	-50.701736	48.899174	310.57007	-105.67085	2.9236856	2.8392558	19.416994	-11.259689	46.771484	6.791998	34.96831965446472
2	-1558.1586	7972.6543	128.0685	-40615.387	38.32745	0.0	38.32745	38.32745	170.28	36.0	7999	-98.04649	137.61333	783.5608	-188.01768	-98.04463	137.6156	781.6114	-187.02069	7.1862044	4.050629	33.971264	-11.589531	88.40184	30.51896	79.96241879463196
3	-19920.924	20003.236	82.312164	-39924.16	16.412556	0.0	16.412556	16.412556	1724.0	21.0	11999	-60.42183	368.28787	2783.1614	-446.06	-60.420265	368.27274	2799.0105	-431.54227	12.296932	4.7512965	65.04458	-11.733675	37.919453	350.00607	124.65616393089294
4	-11649.958	20138.63	16.417004	-46530.99	40.007294	0.0	40.007294	40.007294	1013.0	25.0	15999	-37.282124	820.6375	6495.024	-739.35236	-37.24167	820.6723	6706.5034	-791.92633	10.485911	6.4537325	280.96198	-9.838727	9.026628	3413.6804	170.14765548706055
5	-458.96487	4828.314	127.712074	-46517.477	-110885.64	0.0078125	-110885.63	-110885.63	72.57609	10000.0	19999	410.75443	1354.5367	7612.454	-1198.7599	410.77148	1354.4386	7317.312	-1107.0725	12.734001	5.4314175	112.69771	-7.8176155	-462.22122	22541.188	402.35038208961487
6	-243.60155	1707.7771	80.9936	-12507.861	177.71652	0.0	177.71652	177.71652	56.732143	50.0	23999	1171.992	1305.6714	4994.7236	-819.83453	1172.0344	1305.7659	4958.5293	-963.4234	13.361056	5.8703337	137.20026	-10.070862	-1248.0074	7475.3496	447.1130738258362
7	-11417.928	11589.363	171.4353	-23007.291	194.50449	0.0	194.50449	194.50449	1061.5	108.0	27999	1693.711	1132.5334	4607.119	-748.78296	1693.7349	1132.5253	4790.2837	-770.7906	13.551079	5.0538335	126.28151	-8.430454	-1756.1162	6126.726	493.94759941101074
8	-1865.0175	9425.235	594.14185	-45034.027	-383.0002	0.0	-383.0002	-383.0002	331.31818	156.0	31999	1772.8223	1004.74493	4156.017	-650.5844	1772.8661	1004.7082	4261.8247	-663.8123	12.5689125	4.9760056	124.01053	-6.6320806	-1816.3778	5736.143	542.4995701313019
9	-19792.621	15170.362	-4622.2593	-34962.984	-93704.2	0.0078125	-93704.21	-93704.21	1932.5	10000.0	35999	1727.8423	934.7508	4198.684	-721.93744	1727.8466	934.81085	4362.208	-946.40894	11.463809	4.595322	128.624	-4.614382	-1766.5804	4287.74	771.5071067810059
10	-3031.1074	0.0	-3031.1074	-3031.1074	-99866.766	0.0	-99866.766	-99866.766	796.0	10000.0	39999	1617.1868	914.1428	3525.115	-556.7618	1617.1891	914.181	3416.1511	-609.6926	10.732994	4.2708025	128.6587	-5.8920517	-1648.0925	3141.0386	997.6198661327362
11	-36446.887	0.0	-36446.887	-36446.887	-106222.11	0.0	-106222.11	-106222.11	4000.0	10000.0	43999	1515.9762	820.3143	3274.2192	-742.9932	1515.9696	820.35	3216.747	-765.95935	10.21954	4.2605996	120.138725	-6.928212	-1546.7565	2518.1438	1224.446636915207
12	-40102.906	0.0	-40102.906	-40102.906	-106984.266	0.0	-106984.266	-106984.266	4000.0	10000.0	47999	1410.4569	745.182	3029.6162	-592.49304	1410.4479	745.1981	3002.3577	-597.2673	10.230705	3.9694028	98.15478	-12.521317	-1436.5045	1690.0902	1452.2335846424103
13	-42278.348	0.0	-42278.348	-42278.348	-104589.38	0.0	-104589.38	-104589.38	4000.0	10000.0	51999	1232.7188	684.7421	2893.9683	-411.38516	1232.7151	684.72833	2901.004	-387.03302	9.818197	3.595792	114.81355	-6.6713376	-1254.5455	1173.167	1680.1101999282837
14	-27316.97	17091.957	-10225.015	-44408.926	6267.6436	0.00048828125	6267.643	6267.643	2522.0	10000.0	55999	1032.2812	645.43756	2697.2847	-252.70596	1032.2833	645.4498	2706.0378	-280.94934	9.481447	3.6295948	115.71496	-8.486871	-1049.4563	860.71436	1898.9212272167206
15	-14392.574	17749.977	3357.4033	-32142.55	31160.932	0.001953125	31160.93	31160.93	2399.0	10000.0	59999	817.0731	619.0936	2546.8933	-188.09624	817.07184	619.10516	2539.5022	-199.68086	8.594614	3.395398	111.67474	-8.982457	-831.8552	592.6445	2118.1829402446747
16	-19123.91	1248.4033	-17875.506	-20372.312	30375.6	0.0	30375.6	30375.6	2623.0	10000.0	63999	644.29944	599.00006	2278.5757	-197.71974	644.30414	598.9931	2280.0872	-208.95244	7.946886	3.3700724	100.83515	-10.723475	-657.1404	401.14157	2333.2825400829315
17	4316.053	698.1122	5014.1655	3617.9412	-20022.09	0.001953125	-20022.088	-20022.088	1339.5	3537.0	67999	511.0991	614.8959	2028.0024	-252.72372	511.0996	614.8968	2027.7406	-252.29128	7.3296657	3.1142435	76.060684	-9.539969	-521.87195	464.89194	2444.4947171211243
18	-17847.857	0.0	-17847.857	-17847.857	-26088.943	0.001953125	-26088.945	-26088.945	2233.0	10000.0	71999	367.42352	597.34576	1849.1622	-322.5859	367.41992	597.3493	1847.9697	-321.26782	7.4868712	2.9320545	65.37159	-10.786955	-377.85547	222.96465	2670.495690345764
19	-27068.086	13101.157	-13966.928	-40169.242	12342.153	0.0009765625	12342.152	12342.152	3680.0	3293.0	75999	271.15073	584.6688	1745.185	-362.2995	271.14673	584.66986	1732.8696	-360.22266	7.7939873	3.0674577	62.39841	-12.630881	-282.13626	231.12804	2772.190040588379
20	1648.9034	506.4754	2329.808	911.4944	41123.375	0.0	41123.375	41123.375	500.77777	10000.0	79999	232.98308	578.7108	1626.8002	-405.3026	232.97923	578.71265	1642.702	-405.0068	7.875492	3.1006327	67.33856	-9.368164	-244.26547	201.379	2995.5878212451935
21	1715.6273	1636.4637	4978.2925	726.62646	1151.2415	0.0	1151.2415	1151.2415	718.0	846.0	83999	213.17964	566.98016	1478.613	-451.78284	213.1772	566.9808	1482.5078	-452.6279	7.426325	2.946804	98.73944	-12.825008	-223.68706	224.92844	3063.757918357849
