Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	137.50156	31.97062	270.646	92.71732	137.49036	0.0	137.49036	137.49036	20.392857	29.0	3999	42.314526	66.453766	285.0973	-32.523273	42.318592	66.452385	285.15936	-32.59767	3.340303	3.550817	23.946182	-14.120397	-48.793728	21.318245	39.43510675430298
2	136.06548	31.031704	251.71252	93.39102	54.82892	0.0	54.82892	54.82892	20.22335	15.0	7999	453.098	426.35947	1796.5636	-130.40343	453.08377	426.3723	1792.8627	-154.38754	13.412803	5.0394497	42.781693	-9.627923	-546.4789	500.94376	94.59536266326904
3	106.20624	37.134724	260.44836	56.922012	127.84514	7.6293945e-06	127.845146	127.845146	18.574074	26.0	11999	4972.9766	4238.5176	22813.889	-6450.9087	4973.073	4238.4165	24592.217	-6183.783	21.44804	7.0565495	204.21207	-2.4047163	-5764.265	159784.19	149.66711974143982
4	166.86896	277.9335	1704.6559	19.034975	977.34796	6.1035156e-05	977.348	977.348	71.25926	1000.0	15999	6409.6997	5388.149	19459.938	-5354.688	6409.7715	5386.9756	20190.814	-5347.9697	20.719114	11.226276	129.30931	-5.6784554	-6968.815	248787.22	223.8210093975067
5	1425.7517	1015.19415	2874.283	149.43138	1465.704	0.0	1465.704	1465.704	802.6	520.0	19999	7378.441	5438.3726	15324.298	-3637.3362	7378.2324	5438.51	15418.475	-3594.745	22.538065	13.128349	160.25612	-3.3008053	-7995.4526	135028.84	288.61594796180725
6	120.29572	269.30728	2350.9075	58.116055	86.14317	0.0	86.14317	86.14317	34.22314	23.0	23999	9730.393	5430.0464	22481.865	-3492.0383	9730.038	5429.9023	22399.086	-2790.441	29.179632	23.081457	515.2881	-4.4878736	-10435.816	485228.53	343.443199634552
7	45.86845	137.91396	169.37747	-557.85675	-1890.384	0.00012207031	-1890.3839	-1890.3839	87.666664	1000.0	27999	10739.699	7139.869	22009.55	-5435.879	10739.963	7139.603	22053.37	-5356.002	22.808573	14.826492	218.91708	-4.103308	-11357.592	380070.3	416.2254014015198
8	-403.27133	985.81415	596.62305	-2376.4255	-149.56216	0.0	-149.56216	-149.56216	632.8571	1000.0	31999	10516.732	6885.4834	19577.059	-4966.9434	10516.761	6884.831	19581.602	-5510.661	19.788256	10.853309	161.86475	-5.1867857	-11087.728	201407.27	488.3395345211029
9	386.3091	131.32463	594.83295	96.757576	567.68866	6.1035156e-05	567.6887	567.6887	306.5	257.0	35999	10123.548	6160.284	18000.467	-2584.6155	10123.599	6159.8926	17975.736	-2930.8745	17.843863	8.931355	141.62292	-5.4445057	-10600.427	144663.06	545.710774898529
10	661.17035	369.0947	1758.149	320.6225	474.69122	6.1035156e-05	474.69116	474.69116	307.76923	214.0	39999	9666.03	5615.316	16345.913	-2436.4336	9666.1045	5614.969	16324.524	-2757.8499	16.709509	8.277412	105.107574	-6.625948	-10058.504	120198.0	606.2274639606476
11	286.0101	141.98465	476.71457	-184.97421	421.4416	3.0517578e-05	421.44162	421.44162	170.41667	85.0	43999	8860.091	5166.5547	15282.361	-1568.9073	8860.172	5166.409	15124.732	-2125.54	16.947605	8.251102	98.42736	-6.3255396	-9188.133	97098.875	661.4897892475128
12	343.52322	53.81037	461.28006	207.29948	263.1858	0.0	263.1858	263.1858	100.71795	101.0	47999	7972.5093	4798.9634	14691.93	-1978.893	7972.5293	4798.6978	14733.365	-2496.7605	13.634666	6.3450584	128.64796	-6.2103677	-8259.713	86607.52	716.5211315155029
13	320.4473	250.35715	1274.9707	178.03683	1230.6329	0.0	1230.6329	1230.6329	103.72727	514.0	51999	7336.0806	4441.2314	12673.601	-1947.7686	7336.058	4441.111	12722.628	-2554.85	13.474536	6.1743574	80.72507	-4.905207	-7594.908	75283.875	780.2417652606964
14	405.4762	635.3491	1630.1039	-595.1291	-1456.932	0.00012207031	-1456.9321	-1456.9321	412.4	1000.0	55999	6758.7617	3877.0315	11690.72	-1519.6246	6758.7314	3876.9272	11617.834	-2027.2904	13.502366	5.9831553	109.10763	-8.740396	-6978.153	52799.332	854.9023966789246
15	123.020065	453.90842	445.77185	-950.6936	330.31393	0.0	330.31393	330.31393	346.15384	122.0	59999	6249.8643	3464.446	10547.5625	-1567.4642	6249.8213	3464.324	10537.427	-1635.4475	13.269656	5.7161694	124.46	-5.8429756	-6435.371	54352.504	917.1370711326599
16	424.12668	380.84848	1408.4371	118.2639	194.97067	1.5258789e-05	194.97066	194.97066	252.875	102.0	63999	5663.1934	3153.378	9873.777	-1252.3829	5663.1187	3153.398	9943.652	-1545.9116	13.43987	5.7644987	100.64065	-6.685194	-5834.592	44527.094	976.0872926712036
17	535.86664	827.31476	3414.622	125.41048	936.6409	0.0	936.6409	936.6409	221.16667	751.0	67999	5130.512	2872.7678	9041.716	-1676.7106	5130.4453	2872.6572	9010.971	-1889.3326	13.26659	5.2760572	93.178955	-7.9454136	-5277.6523	40394.305	1047.7413203716278
18	187.81456	63.155357	317.6785	22.441402	229.40047	0.0	229.40047	229.40047	129.96774	77.0	71999	4643.707	2520.8755	8165.0254	-1488.0916	4643.6987	2520.7476	8476.844	-1660.2108	13.061611	5.316459	86.30786	-10.831159	-4772.1895	45067.902	1107.878846168518
19	174.04683	65.33315	314.98718	-27.31451	304.8936	0.0	304.8936	304.8936	117.3871	308.0	75999	4195.748	2255.007	7623.93	-1422.2832	4195.6987	2255.0312	7505.8984	-1422.9004	12.915544	5.51764	88.06889	-5.8188643	-4311.72	37947.633	1175.0067398548126
20	459.41193	127.55708	805.0185	245.46838	373.2981	0.0	373.2981	373.2981	324.3846	370.0	79999	3915.1213	2164.5317	7716.8716	-1573.9509	3915.0576	2164.6714	7716.7026	-1751.6056	11.818571	5.074906	90.13257	-6.5231028	-4022.9885	37532.383	1244.5461478233337
21	406.49634	300.1481	953.8078	125.68718	132.55531	0.0	132.55531	132.55531	445.875	41.0	83999	3695.5457	2103.3442	7372.886	-1624.0641	3695.5425	2103.2905	7297.7803	-1682.1302	12.200041	5.010814	103.26911	-7.745037	-3790.466	36443.77	1308.6714470386505
22	361.09033	452.5673	983.53735	-292.2656	-93.56549	0.0	-93.56549	-93.56549	1000.0	158.0	87999	3694.479	2044.9138	6794.782	-1752.0016	3694.481	2044.9181	6729.61	-1815.2281	12.9904785	5.480796	136.56686	-6.762759	-3796.0115	31581.611	1376.5679278373718
