Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	136.18738	27.641426	226.2875	93.35009	215.69243	1.5258789e-05	215.69244	215.69244	20.238579	40.0	3999	21.062643	36.120415	141.42143	-30.900759	21.06395	36.14226	140.73668	-31.785175	-24.179039	17.804989	30.052554607391357
2	133.06433	27.888344	233.33238	92.519264	73.26406	7.6293945e-06	73.26407	73.26407	20.166666	45.0	7999	69.27666	90.228615	322.94476	-33.249905	69.277725	90.23575	322.3884	-31.16278	-85.94372	18.446138	67.62490773200989
3	178.5163	208.17406	1372.8862	44.371887	4998.091	0.00048828125	4998.0913	4998.0913	35.51818	1000.0	11999	170.21587	146.87656	621.5274	-73.519196	170.21848	146.88597	634.2767	-55.866974	-199.3793	72.039795	121.95702743530273
4	1980.4811	713.5559	2955.885	877.1132	19475.3	0.001953125	19475.303	19475.303	338.08334	1000.0	15999	255.70895	193.45776	731.19073	-80.86719	255.71286	193.46097	636.7028	-65.41458	-274.47476	78.645935	176.77991580963135
5	2410.8271	1377.5693	6183.4155	523.08496	19813.346	0.0	19813.346	19813.346	206.94737	1000.0	19999	357.08527	227.61621	731.0852	-91.33259	357.0897	227.6299	733.3333	-86.6183	-393.3578	202.53015	231.61358094215393
6	3368.921	1436.165	7524.4	1365.4882	19839.014	0.0	19839.014	19839.014	249.2	1000.0	23999	445.35217	282.90753	836.4747	-125.1477	445.35507	282.90863	835.5191	-124.063416	-464.75113	109.56646	286.36757373809814
7	8234.511	3126.3398	12029.402	4103.502	19937.59	0.001953125	19937.588	19937.588	727.5	1000.0	27999	498.4341	321.67502	938.4326	-109.29035	498.43225	321.6797	943.40234	-116.56542	-520.88556	111.603714	341.1480231285095
8	8520.784	3485.02	13733.71	4156.2734	19803.848	0.0	19803.848	19803.848	929.5	1000.0	31999	550.4168	349.3273	1030.8582	-67.40553	550.4174	349.32538	1029.8123	-71.652466	-573.76025	157.06807	396.63564825057983
9	9271.346	3395.363	14470.059	4005.719	18483.16	0.001953125	18483.162	18483.162	834.6	1000.0	35999	610.22437	384.53845	1104.0303	-53.464184	610.225	384.5456	1104.4227	-55.825752	-633.5609	174.12483	451.98202991485596
10	14992.809	3159.5432	17618.89	9612.432	13141.346	0.0	13141.346	13141.346	966.0	1000.0	39999	670.47845	411.22507	1189.764	-52.793087	670.47797	411.2303	1186.8276	-61.849133	-693.15173	262.29422	507.3077812194824
11	12586.928	4052.627	19401.318	8900.409	19367.87	0.001953125	19367.867	19367.867	932.5	1000.0	43999	722.1679	435.13922	1255.2522	-71.616684	722.1697	435.13754	1255.3157	-70.48371	-744.43384	365.69183	562.2621381282806
12	18385.98	1914.1855	19822.33	15132.442	19799.672	0.0	19799.672	19799.672	1000.0	1000.0	47999	778.79193	456.11014	1325.9539	-90.368614	778.7917	456.11108	1327.5092	-106.52126	-802.0737	440.9007	618.178466796875
13	17777.135	1254.4452	19830.197	16568.766	19886.316	0.0	19886.316	19886.316	1000.0	1000.0	51999	847.89825	471.8487	1397.7601	-66.10304	847.8948	471.86063	1404.3619	-74.21781	-873.4542	844.6405	673.3379399776459
14	19648.945	187.60574	19856.656	19376.836	19800.688	0.0	19800.688	19800.688	1000.0	1000.0	55999	921.5711	481.44562	1429.3394	-79.16863	921.57166	481.44687	1433.2421	-84.10627	-946.31	1185.106	728.8597629070282
15	19378.121	412.91644	19807.285	18940.75	19873.94	0.0	19873.94	19873.94	1000.0	1000.0	59999	990.113	485.25784	1462.6066	-69.05577	990.11285	485.2498	1466.6531	-76.06172	-1014.0455	1489.9255	784.2377128601074
16	19689.05	170.80577	19847.08	19438.225	19885.09	0.001953125	19885.088	19885.088	1000.0	1000.0	63999	1049.3168	487.17648	1496.7667	-72.066	1049.3176	487.17264	1497.0524	-79.22548	-1072.0498	1539.5225	839.706627368927
17	19774.197	67.06114	19840.684	19674.775	19936.184	0.0	19936.184	19936.184	1000.0	1000.0	67999	1104.4343	487.6838	1526.3022	-72.315865	1104.4353	487.67892	1531.5925	-77.69543	-1125.7603	1989.4209	894.9288671016693
18	19583.947	361.3812	19841.176	18965.225	19830.484	0.0	19830.484	19830.484	1000.0	1000.0	71999	1153.0215	486.2488	1557.9686	-77.707855	1153.0232	486.24554	1563.5334	-84.98921	-1172.9478	1849.0348	951.1962838172913
19	19770.492	36.130505	19828.9	19735.805	19776.062	0.0	19776.062	19776.062	1000.0	1000.0	75999	1195.8352	485.38257	1585.2302	-83.23164	1195.8354	485.38034	1590.5774	-72.533676	-1215.9248	2612.5098	1007.1062502861023
20	19750.688	118.460434	19830.537	19545.875	19688.703	0.0	19688.703	19688.703	1000.0	1000.0	79999	1237.0598	482.57333	1610.7855	-74.338295	1237.0607	482.57068	1616.7783	-101.84098	-1256.2972	2407.033	1063.3775041103363
21	19625.9	230.49211	19841.367	19248.541	19910.389	0.0	19910.389	19910.389	1000.0	1000.0	83999	1271.4598	482.27383	1626.901	-96.58019	1271.4619	482.27847	1634.892	-85.10652	-1289.4207	2572.8984	1119.7117235660553
22	19121.512	544.6515	19791.953	18424.643	19642.85	0.001953125	19642.852	19642.852	1000.0	1000.0	87999	1302.975	479.46774	1646.934	-89.22747	1302.9769	479.45868	1646.1854	-76.63684	-1321.3287	2757.4517	1175.864196062088
23	19637.5	204.57759	19808.666	19288.414	19852.87	0.001953125	19852.867	19852.867	1000.0	1000.0	91999	1329.4962	476.05734	1659.3594	-105.93932	1329.4976	476.05655	1663.7656	-98.96927	-1347.4423	2966.2954	1232.6474273204803
24	19724.158	115.69663	19822.545	19529.133	19830.863	0.0	19830.863	19830.863	1000.0	1000.0	95999	1349.7661	470.42358	1677.6002	-89.63048	1349.7692	470.41516	1673.9307	-89.99835	-1368.5325	2936.2024	1289.6995763778687
25	19246.223	862.1076	19788.361	17753.805	19733.438	0.0	19733.438	19733.438	1000.0	1000.0	99999	1369.496	467.0571	1691.5067	-135.00342	1369.4995	467.0525	1692.4039	-123.018105	-1386.7656	3438.4902	1347.4175126552582
26	19245.23	356.6386	19634.518	18670.576	19789.457	0.001953125	19789.459	19789.459	1000.0	1000.0	103999	1394.626	463.432	1705.9437	-143.513	1394.6246	463.43848	1710.3081	-163.7541	-1410.9742	3932.9766	1403.795742034912
27	19785.264	17.293598	19809.89	19761.336	19793.23	0.001953125	19793.229	19793.229	1000.0	1000.0	107999	1417.6624	458.49417	1705.157	-147.9107	1417.664	458.4904	1716.8782	-151.57713	-1434.794	3546.374	1460.3731894493103
28	19485.852	491.65375	19790.082	18634.996	19735.652	0.001953125	19735.65	19735.65	1000.0	1000.0	111999	1436.2384	453.88174	1716.4961	-199.9996	1436.2406	453.87845	1720.3315	-206.45023	-1453.1838	4038.321	1517.0869266986847
29	19465.188	538.73126	19820.254	18535.777	19694.715	0.0	19694.715	19694.715	1000.0	1000.0	115999	1457.8727	447.89957	1717.6868	-161.15717	1457.8745	447.8955	1724.6951	-160.62488	-1473.4966	3585.4395	1573.4891333580017
30	18790.44	1058.8658	19539.549	16978.436	19852.262	0.001953125	19852.26	19852.26	1000.0	1000.0	119999	1474.814	444.27325	1730.801	-148.34445	1474.8142	444.2775	1733.0046	-153.44785	-1491.1029	3651.706	1630.632227897644
31	19215.105	414.45477	19778.004	18657.465	9288.94	0.0009765625	9288.941	9288.941	1000.0	1000.0	123999	1485.7819	441.01547	1739.7471	-128.32578	1485.7836	441.01028	1745.309	-137.99889	-1500.7015	4145.199	1688.274495124817
32	15155.328	1041.134	16580.68	13909.997	19897.03	0.0	19897.03	19897.03	1000.0	1000.0	127999	1496.2139	435.9835	1747.1108	-118.42271	1496.2153	435.98288	1749.559	-125.57248	-1509.6891	3969.2195	1745.5756785869598
33	18846.121	733.832	19723.598	17780.455	19822.8	0.001953125	19822.803	19822.803	1000.0	1000.0	131999	1505.3126	429.98715	1741.9998	-126.75453	1505.3115	429.9905	1743.043	-138.47946	-1520.836	4684.4146	1802.9409234523773
34	19751.89	48.696045	19797.227	19671.605	19723.533	0.0	19723.533	19723.533	1000.0	1000.0	135999	1513.0247	428.202	1756.0355	-108.34211	1513.0237	428.21506	1754.2057	-100.1438	-1526.7557	4468.574	1860.892526626587
35	19511.455	332.1831	19770.135	18951.082	19866.326	0.0	19866.326	19866.326	1000.0	1000.0	139999	1521.2557	424.69104	1757.431	-116.56466	1521.2532	424.69284	1764.3563	-119.86961	-1534.972	4277.5034	1918.4208371639252
36	19768.615	15.935173	19790.945	19752.078	19773.252	0.0	19773.252	19773.252	1000.0	1000.0	143999	1528.9427	419.39627	1759.7377	-122.16909	1528.9402	419.39673	1758.0684	-130.32082	-1543.7657	4361.4834	1976.5559153556824
37	19796.393	15.8738	19813.113	19773.97	19821.879	0.001953125	19821.88	19821.88	1000.0	1000.0	147999	1541.1642	412.55606	1769.4691	-139.35269	1541.1593	412.56873	1774.1129	-142.23062	-1555.8658	4470.887	2034.177367925644
38	19807.766	19.187767	19835.496	19785.912	19811.45	0.0	19811.45	19811.45	1000.0	1000.0	151999	1558.0854	410.2455	1777.6218	-157.49748	1558.0834	410.25104	1776.3939	-164.86938	-1571.1938	4125.496	2092.2833094596863
39	19753.99	23.53801	19783.627	19723.371	19736.09	0.0	19736.09	19736.09	1000.0	1000.0	155999	1566.6152	408.29617	1783.6887	-145.68623	1566.6141	408.29355	1784.544	-139.28006	-1579.8206	4830.449	2150.4814047813416
40	19620.021	133.77127	19730.271	19401.2	19713.162	0.001953125	19713.164	19713.164	1000.0	1000.0	159999	1572.0016	405.0503	1788.7285	-202.28964	1571.9999	405.0587	1788.002	-189.9218	-1585.9742	4754.898	2208.711821079254
41	19782.363	5.023231	19790.994	19778.463	19743.404	0.0	19743.404	19743.404	1000.0	1000.0	163999	1578.366	404.6906	1793.3362	-174.49332	1578.365	404.69516	1790.7754	-179.33226	-1591.338	4742.1826	2266.677716255188
42	19623.61	261.30804	19791.566	19171.535	19743.578	0.0	19743.578	19743.578	1000.0	1000.0	167999	1589.1348	404.62332	1796.8547	-161.34279	1589.1315	404.63376	1799.5994	-191.61113	-1602.308	4329.938	2324.6892426013947
43	18701.162	612.87714	19569.602	17861.854	19718.783	0.0	19718.783	19718.783	1000.0	1000.0	171999	1598.9296	407.36887	1806.2605	-189.61565	1598.9257	407.38318	1802.1304	-183.46057	-1611.956	4803.5176	2382.4772531986237
44	18031.781	1483.852	19742.07	16428.059	19751.684	0.0	19751.684	19751.684	1000.0	1000.0	175999	1606.0288	407.6238	1797.8602	-170.13641	1606.0278	407.62976	1801.4331	-160.5996	-1617.8872	4754.853	2440.5039315223694
45	19271.156	377.75934	19783.988	18875.188	5466.23	0.0	5466.23	5466.23	1000.0	1000.0	179999	1613.6431	400.92694	1801.8807	-161.57967	1613.6451	400.92328	1800.6185	-161.44678	-1625.7374	4626.546	2499.7795741558075
46	17509.139	3181.7793	19692.314	12011.262	18442.152	0.0	18442.152	18442.152	1000.0	1000.0	183999	1615.8229	395.0536	1810.7853	-155.55873	1615.8218	395.05972	1807.5312	-146.11362	-1627.4845	5036.245	2558.1652071475983
47	19408.895	286.6315	19656.143	18926.12	19756.764	0.0	19756.764	19756.764	1000.0	1000.0	187999	1616.3585	386.42572	1796.8759	-159.33069	1616.3564	386.43808	1793.577	-170.46126	-1628.7297	5199.5674	2616.49561047554
48	19518.637	212.73111	19714.287	19175.88	19672.732	0.0	19672.732	19672.732	1000.0	1000.0	191999	1612.8081	382.4329	1801.0653	-235.43768	1612.8085	382.43738	1798.7356	-225.363	-1626.0221	5256.267	2674.574367046356
49	19087.383	442.9324	19453.125	18350.582	19693.8	0.0	19693.8	19693.8	1000.0	1000.0	195999	1606.6765	376.1054	1791.8396	-245.37451	1606.6772	376.1057	1797.5627	-246.57135	-1617.6482	4798.306	2733.3070969581604
50	18107.621	804.65607	19130.701	16986.086	18566.543	0.0	18566.543	18566.543	1000.0	1000.0	199999	1600.0245	366.91983	1781.0757	-244.43648	1600.0249	366.9154	1782.2885	-223.59326	-1611.5012	4509.398	2791.6712052822113
51	15961.873	529.5353	16821.604	15387.716	19676.473	0.001953125	19676.475	19676.475	1000.0	1000.0	203999	1591.399	358.03317	1762.5856	-175.72765	1591.3989	358.04025	1760.18	-163.85092	-1603.782	5064.764	2850.849331855774
