Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-27.288172	15.653874	23.626823	-69.41544	-33.087944	11.560301	-15.5070715	-50.819336	15.5	21.9	3999	-6.3466563	9.686655	23.012657	-34.598076	-6.3466477	9.690048	22.18671	-35.67337	5.115765	6.197658	40.61614394187927
2	-25.817078	15.311219	15.709937	-77.013596	-31.740839	27.562002	7.3081503	-62.873486	15.2213745	25.7	7999	-14.486204	12.784131	39.007324	-46.208572	-14.487433	12.789861	39.69254	-46.434162	12.550617	3.7701542	92.12749004364014
3	-12.826748	142.15796	1782.3356	-85.457054	889.8744	1211.2173	3007.4375	-96.311455	23.557575	351.0	11999	-17.89368	14.996448	70.53872	-113.01452	-17.893734	15.00089	70.58171	-107.18052	15.614889	4.818532	148.0763590335846
4	296.99304	552.578	2574.3677	-58.260235	647.8684	1171.184	4062.3242	-41.586464	136.43333	144.6	15999	-5.758889	33.169514	107.657166	-76.984566	-5.759328	33.170788	111.59581	-77.32334	3.2590013	6.6702695	199.2398157119751
5	826.23376	636.5985	2514.1748	-38.69708	1071.0325	843.97906	2511.1396	74.04005	205.5	455.0	19999	14.710737	50.720585	165.99458	-80.31719	14.710326	50.72418	165.599	-79.14476	-18.31292	16.403551	257.94786167144775
6	1042.0553	1206.0757	3161.1755	-58.07013	833.953	885.7104	2740.2754	-64.95498	357.69232	231.1	23999	42.45778	70.15588	217.01256	-82.032074	42.457016	70.15631	215.2669	-79.4201	-47.371952	25.969084	313.3900499343872
7	1314.7767	1144.5164	4207.4966	105.40838	2598.3516	3759.9507	12849.922	86.81152	248.6	305.2	27999	69.69671	86.22497	283.89816	-82.514824	69.6969	86.221176	284.02325	-81.58814	-75.7733	45.913914	368.93313574790955
8	2859.3142	3365.8784	9801.8955	-46.07995	1675.7034	1448.3096	3802.3325	118.39328	332.66666	370.6	31999	105.98715	112.004654	403.22202	-84.97154	105.98614	112.00299	400.74506	-83.31769	-113.79146	65.25668	444.23249554634094
9	7667.0615	7695.6865	19375.205	2.8036377	3615.9446	4578.557	11901.563	-55.204376	590.0	290.2	35999	158.4504	153.1133	537.75464	-114.56532	158.44868	153.11287	537.9357	-110.02311	-169.22324	120.28706	539.3932440280914
10	13795.686	6278.626	18247.008	2970.701	6695.2485	8096.0513	19154.969	-37.742977	811.25	397.9	39999	242.28804	215.73334	669.15857	-99.84708	242.28728	215.73749	671.17175	-104.33177	-256.19055	243.92725	654.5634367465973
11	18578.072	855.1017	19525.654	17273.572	16572.152	5720.789	19502.654	185.96463	1000.0	908.1	43999	346.6618	273.29565	785.0753	-95.63197	346.66437	273.2949	789.255	-85.5914	-362.26178	422.54062	736.5651712417603
12	18818.99	573.5274	19212.248	17831.248	18981.135	459.3962	19455.445	18262.877	1000.0	1000.0	47999	451.07907	318.4508	892.4556	-90.829445	451.0815	318.45325	888.6074	-88.694855	-468.87793	649.07465	813.498512506485
13	19211.072	120.75146	19402.584	19085.115	19177.064	289.38962	19661.81	18666.885	1000.0	1000.0	51999	550.0011	351.41913	974.3377	-89.50756	550.0029	351.4237	974.18945	-88.68953	-568.12103	921.4179	891.0975215435028
