Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	135.26047	27.985382	227.07898	92.00951	82.53056	0.0	82.53056	82.53056	20.367348	53.0	3999	39.739574	65.91365	281.06396	-35.74106	39.744877	65.91192	281.57465	-36.11078	2.8815503	3.549009	20.5134	-11.538918	-46.0222	20.877378	33.58398914337158
2	136.43724	34.026104	315.59515	88.92444	76.30219	0.0	76.30219	76.30219	20.413265	17.0	7999	271.92026	295.4218	1451.9038	-213.17062	271.90402	295.40375	1444.7711	-214.16068	11.444581	7.0090227	86.30733	-10.789326	-339.37015	474.93756	84.95305514335632
3	105.94097	38.195393	276.92154	54.887764	97.71055	7.6293945e-06	97.71054	97.71054	19.294685	29.0	11999	1156.2504	671.00964	2503.4841	-1688.8961	1156.2095	671.01355	2492.123	-1691.591	19.302795	12.75885	305.38885	-7.6576986	-1283.3752	5061.6787	135.52772879600525
4	107.75635	22.460262	185.91522	32.490414	171.54251	0.0	171.54251	171.54251	35.57143	110.0	15999	1121.5035	967.2706	3741.4043	-2114.422	1121.4692	967.29474	4329.406	-2072.8516	12.801295	7.68872	256.96216	-10.501537	-1220.5568	11047.972	192.64622020721436
5	410.5372	450.76443	1193.8752	-120.5105	3129.8398	0.0	3129.8398	3129.8398	338.0	1000.0	19999	1138.2865	1022.76385	2663.9785	-395.11694	1138.3683	1022.63965	2680.67	-458.54117	10.063099	5.193126	57.750835	-13.107245	-1240.7435	3095.278	265.98206543922424
6	2576.4546	1292.5397	4598.45	689.94226	4339.587	0.0	4339.587	4339.587	948.0	1000.0	23999	1202.3767	970.2129	2585.3936	-285.19727	1202.4177	970.1421	2590.9941	-305.44547	8.254846	5.1445208	43.584156	-10.459328	-1280.1128	2696.5864	333.87703704833984
7	3072.9365	1843.1616	6523.8843	1425.5454	1185.0667	0.0	1185.0667	1185.0667	690.5	414.0	27999	1159.8088	860.9294	2378.0752	-315.0959	1159.8319	860.8893	2343.2676	-253.48024	7.625567	5.1411133	46.16224	-11.056789	-1221.762	2573.0369	392.39213275909424
8	1807.868	626.7609	2425.4934	615.2145	1680.682	0.0	1680.682	1680.682	569.1667	225.0	31999	1185.1224	790.6283	2204.135	-580.9824	1185.1226	790.61237	2167.1162	-685.35223	7.255075	4.845017	45.03625	-11.820324	-1239.8462	2221.989	444.97820687294006
9	1265.8647	1168.8875	4041.3418	289.8436	727.63965	0.0	727.63965	727.63965	359.07693	145.0	35999	1176.611	715.0968	1960.7705	-445.81323	1176.6139	715.0826	1952.3209	-483.10712	7.046583	4.756081	43.76451	-12.039567	-1221.1649	2320.326	493.84964513778687
10	774.65564	635.3609	3167.282	354.07254	1384.248	0.0	1384.248	1384.248	195.88235	951.0	39999	1123.2288	676.62646	1853.244	-394.63153	1123.247	676.58875	1842.4545	-414.62134	7.2483783	4.968717	50.17548	-10.798939	-1163.2946	2157.546	568.0998284816742
11	651.4786	540.0141	2251.1208	344.5428	374.67194	0.0	374.67194	374.67194	209.5	113.0	43999	1106.8218	633.9809	1773.4401	-332.40036	1106.8218	633.9631	1765.7103	-327.1825	7.2939887	4.865625	58.47554	-9.7461405	-1143.5176	2111.0837	627.8433241844177
12	544.01685	364.81674	1847.1195	291.037	2910.4878	0.0	2910.4878	2910.4878	176.36363	1000.0	47999	1055.8583	606.36096	1690.0387	-414.53387	1055.8411	606.3646	1689.2561	-409.59772	7.3672776	4.7514315	46.86406	-11.377066	-1086.779	1840.8851	701.0367031097412
13	906.2141	603.9608	2183.876	303.51062	267.21832	0.0	267.21832	267.21832	444.1111	381.0	51999	974.1534	560.24	1618.6365	-293.25012	974.1483	560.23785	1614.8856	-342.71637	7.0688014	4.3425636	44.94296	-11.019101	-1000.27264	1676.633	760.1960003376007
14	1394.7068	673.80566	2441.26	350.32272	405.70657	0.0	405.70657	405.70657	768.4	222.0	55999	907.76105	495.4269	1521.9033	-274.97375	907.7578	495.3946	1514.3481	-316.56183	6.9416537	4.3292985	59.048717	-10.395839	-930.7821	1477.0972	816.5493366718292
15	828.5675	1290.8176	3050.0496	-76.96431	1699.4691	0.00012207031	1699.4692	1699.4692	1000.0	1000.0	59999	843.734	436.98938	1477.0347	-266.34073	843.735	436.9412	1412.1626	-310.21136	6.8448186	4.1004133	64.42983	-12.847213	-864.03015	1184.0743	887.7205891609192
16	3304.3945	619.11383	4081.864	2476.8933	6116.556	0.00048828125	6116.5566	6116.5566	929.5	1000.0	63999	802.0219	392.87253	1408.6508	-247.93819	802.0192	392.85562	1384.8151	-256.3662	6.3296776	3.986101	73.95337	-10.495827	-820.4569	1293.0277	955.7278406620026
17	3321.8252	525.55225	3818.0334	2440.909	2843.265	0.00024414062	2843.2646	2843.2646	1000.0	1000.0	67999	762.69226	352.2962	1331.826	-182.18008	762.691	352.26663	1346.9283	-221.18187	6.001651	3.7661214	55.567383	-11.549736	-778.2171	1012.8324	1024.4239037036896
