Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	133.97151	29.471601	281.0647	88.462524	208.58264	0.0	208.58264	208.58264	20.176767	38.0	3999	20.511753	34.79252	140.66118	-31.295313	20.51451	34.792923	139.68468	-31.12922	-23.57116	16.817179	29.296822786331177
2	136.42885	27.58055	227.63446	89.999916	1483.6592	0.0	1483.6592	1483.6592	20.392857	378.0	7999	83.80905	88.10434	304.40353	-35.101887	83.80885	88.109825	304.0292	-39.492268	-103.21647	24.501768	73.379629611969
3	91.650215	47.36406	269.26373	55.380363	55.89454	3.8146973e-06	55.894535	55.894535	17.18884	15.0	11999	206.06763	148.80696	701.7077	-102.967606	206.0681	148.78172	716.78076	-114.863014	-237.38464	198.82147	109.08054709434509
4	58.593693	12.749799	119.46442	-0.2986398	106.05088	0.0	106.05088	106.05088	16.495832	85.0	15999	204.89276	198.10715	510.96585	-107.09095	204.9076	198.08516	510.86465	-106.19126	-219.92787	118.53265	147.40104055404663
5	242.56877	269.00894	1312.3895	-276.66003	4498.9385	0.0	4498.9385	4498.9385	94.9	1000.0	19999	158.66702	214.09088	618.6406	-81.96564	158.6639	214.09685	616.2981	-81.84134	-184.88457	70.91876	203.1457600593567
6	2679.003	1012.9222	4797.6025	1292.3572	1127.4529	0.0	1127.4529	1127.4529	458.55554	246.0	23999	215.6726	265.44342	711.17664	-66.194244	215.67403	265.445	712.67694	-66.70327	-245.9937	85.54938	244.1755669116974
7	2393.9365	1241.721	5414.3403	1080.3032	4962.5903	0.0	4962.5903	4962.5903	304.83334	1000.0	27999	284.85977	306.68988	818.51794	-53.877163	284.86166	306.69043	816.0684	-55.486687	-315.95895	107.46878	299.71686720848083
8	4567.5186	2334.651	7894.8013	2080.3176	4060.2847	0.0	4060.2847	4060.2847	602.7143	855.0	31999	341.94196	336.19556	932.78723	-50.96872	341.94153	336.2061	925.7675	-49.492954	-374.04132	123.97063	353.14281129837036
9	2253.027	1573.8367	6306.9307	592.6552	12822.498	0.0	12822.498	12822.498	364.72726	804.0	35999	386.60733	362.93115	1001.67413	-61.646572	386.6038	362.9421	998.4429	-58.990425	-418.9565	181.39491	404.89175176620483
10	4346.918	1998.4513	7234.051	1548.4402	7653.1865	0.0	7653.1865	7653.1865	560.7143	1000.0	39999	419.4503	389.8192	1090.2087	-63.82366	419.4475	389.8318	1089.5505	-64.72473	-453.45892	190.57144	460.2207305431366
11	6121.054	2816.1006	10665.727	1924.349	8796.065	0.0009765625	8796.066	8796.066	834.0	1000.0	43999	445.58264	416.11462	1184.7487	-64.58181	445.58047	416.12	1172.713	-65.237595	-478.86896	199.52177	515.9283323287964
12	10675.295	4772.8145	17573.328	4109.434	19821.377	0.0	19821.377	19821.377	1000.0	1000.0	47999	470.35385	431.63525	1234.3263	-68.786896	470.35068	431.6402	1231.194	-67.5906	-504.4214	229.3386	571.1906595230103
13	19313.607	318.1375	19638.791	18979.547	19750.78	0.0	19750.78	19750.78	1000.0	1000.0	51999	535.001	456.74158	1297.3359	-68.151924	534.9973	456.74542	1300.4282	-67.641655	-567.9882	487.49316	626.352992773056
14	19846.701	17.394363	19876.805	19835.56	19814.736	0.0	19814.736	19814.736	1000.0	1000.0	55999	619.2229	490.3192	1364.8236	-105.690254	619.21704	490.33124	1363.0402	-82.467804	-652.5576	723.54376	681.8917450904846
15	19840.121	9.757092	19849.758	19823.844	19885.436	0.0	19885.436	19885.436	1000.0	1000.0	59999	702.5325	519.8703	1422.343	-78.80591	702.5281	519.88275	1419.0627	-81.067535	-734.73926	958.7502	737.327653169632
16	19820.4	72.48062	19884.352	19697.936	19849.596	0.0	19849.596	19849.596	1000.0	1000.0	63999	783.8392	544.9459	1472.0292	-101.95194	783.83496	544.9606	1469.159	-95.28659	-815.7153	1278.1334	793.0099675655365
17	19876.066	5.4194765	19883.443	19868.912	19881.65	0.001953125	19881.648	19881.648	1000.0	1000.0	67999	861.60016	563.3237	1497.6654	-77.10366	861.5984	563.33386	1509.5471	-85.14058	-895.5019	1683.4757	849.1683542728424
18	19856.44	11.884553	19875.557	19846.123	19911.816	0.0	19911.816	19911.816	1000.0	1000.0	71999	926.9664	577.748	1532.755	-119.442116	926.96686	577.7569	1529.787	-97.57756	-958.70874	1823.8462	905.1658062934875
